team,dst_int,dst_safety,dst_sacks,dst_tackles,dst_fum_rec,dst_fum_force,dst_td,dst_pts_allowed,dst_pts_allowed_g,dst_pass_yds_allowed,dst_rush_yds_allowed,dst_yds_allowed,dst_avg_yds_allowed,site_pts,site_fppg,data_src,id,src_id,pos,player,dst_fum_recvr,dst_fumbles,dst_yds_against,dst_pts_against,opp,bye,draft_rank,idp_solo,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,yahoo_site_points,return_tds
PHI,0.63,NA,2.5,NA,0.53,NA,0.15,24.75,NA,NA,NA,354.61,NA,5.92,NA,NumberFire,0518,philadelphia-dst,D,Philadelphia D/ST,NA,NA,NA,NA,KC,NA,NA,NA,NA,0.15,11.69,#8,23,5.92,3800,1.56,5.92,5.92,NA
CAR,0.71,NA,2.59,NA,0.56,NA,0.13,26,NA,NA,NA,370.05,NA,5.85,NA,NumberFire,0527,carolina-dst,D,Carolina D/ST,NA,NA,NA,NA,DAL,NA,NA,NA,NA,0.09,11.61,#4,24,5.78,3000,1.93,5.78,5.78,NA
TB,0.67,NA,2.57,NA,0.6,NA,0.14,26,NA,NA,NA,357.52,NA,5.83,NA,NumberFire,0525,tampa-bay-dst,D,Tampa Bay D/ST,NA,NA,NA,NA,SF,NA,NA,NA,NA,0.08,11.58,#2,25,5.76,3900,1.48,5.76,5.76,NA
ARI,0.62,NA,2.3,NA,0.5,NA,0.13,26,NA,NA,NA,377.77,NA,5.29,NA,NumberFire,0519,arizona-dst,D,Arizona D/ST,NA,NA,NA,NA,HOU,NA,NA,NA,NA,-0.36,10.94,#9,26,5.23,3400,1.54,5.23,5.23,NA
CHI,0.68,NA,2.18,NA,0.49,NA,0.12,28.25,NA,NA,NA,377.92,NA,4.68,NA,NumberFire,0521,chicago-dst,D,Chicago D/ST,NA,NA,NA,NA,DET,NA,NA,NA,NA,-0.84,10.2,#5,27,4.62,3200,1.44,4.62,4.62,NA
LV,0.77,NA,1.99,NA,0.6,NA,0.12,29.5,NA,NA,NA,392.15,NA,4.54,NA,NumberFire,0513,las-vegas-d-st,D,Las Vegas D/ST,NA,NA,NA,NA,MIA,NA,NA,NA,NA,-0.96,10.04,#1,28,4.49,3300,1.36,4.49,4.49,NA
Detroit Lions,0.99,0.07,3.29,NA,0.63,NA,0.16,18.28,NA,NA,NA,NA,NA,7.87,NA,NFL,0522,100010,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04
Buffalo Bills,1.03,0.06,3.02,NA,0.65,NA,0.15,17.47,NA,NA,NA,NA,NA,7.7,NA,NFL,0501,100003,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05
Dallas Cowboys,1.12,0.06,2.91,NA,0.58,NA,0.15,19.36,NA,NA,NA,NA,NA,7.51,NA,NFL,0516,100008,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03
Washington Commanders,0.82,0.08,3.37,NA,0.61,NA,0.15,19.03,NA,NA,NA,NA,NA,7.47,NA,NFL,0520,100032,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03
Kansas City Chiefs,1.03,0.03,2.56,NA,0.59,NA,0.15,21.55,NA,NA,NA,NA,NA,7.24,NA,NFL,0512,100016,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08
Pittsburgh Steelers,0.89,0.03,2.96,NA,0.66,NA,0.15,22.35,NA,NA,NA,NA,NA,7.08,NA,NFL,0510,100027,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01
Cleveland Browns,1.05,0.06,2.57,NA,0.64,NA,0.13,17.69,NA,NA,NA,NA,NA,7.03,NA,NFL,0507,100007,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03
Los Angeles Chargers,1.06,0.03,2.58,NA,0.58,NA,0.16,22.16,NA,NA,NA,NA,NA,7,NA,NFL,0514,100028,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02
Jacksonville Jaguars,0.94,0.06,2.52,NA,0.63,NA,0.15,18.22,NA,NA,NA,NA,NA,6.92,NA,NFL,0509,100015,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04
Miami Dolphins,0.93,0.05,2.83,NA,0.42,NA,0.16,17.39,NA,NA,NA,NA,NA,6.83,NA,NFL,0503,100019,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04
San Francisco 49ers,0.9,0.05,2.65,NA,0.54,NA,0.15,17.43,NA,NA,NA,NA,NA,6.77,NA,NFL,0530,100029,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04
Houston Texans,0.91,0.04,2.25,NA,0.71,NA,0.16,19.11,NA,NA,NA,NA,NA,6.77,NA,NFL,0532,100013,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04
Minnesota Vikings,0.84,0.03,2.82,NA,0.62,NA,0.14,20.01,NA,NA,NA,NA,NA,6.76,NA,NFL,0524,100020,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02
Seattle Seahawks,0.93,0.03,2.37,NA,0.62,NA,0.14,22.5,NA,NA,NA,NA,NA,6.55,NA,NFL,0515,100030,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03
New York Giants,0.88,0.03,2.39,NA,0.62,NA,0.15,24.42,NA,NA,NA,NA,NA,6.53,NA,NFL,0517,100023,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03
Denver Broncos,0.81,0.04,2.59,NA,0.56,NA,0.15,22.97,NA,NA,NA,NA,NA,6.49,NA,NFL,0511,100009,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03
Green Bay Packers,0.99,0.04,2.17,NA,0.56,NA,0.15,21.74,NA,NA,NA,NA,NA,6.43,NA,NFL,0523,100011,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03
Baltimore Ravens,0.93,0.04,2.29,NA,0.58,NA,0.14,20.44,NA,NA,NA,NA,NA,6.41,NA,NFL,0531,100002,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03
Los Angeles Rams,0.78,0.04,2.43,NA,0.6,NA,0.15,21.25,NA,NA,NA,NA,NA,6.35,NA,NFL,0528,100017,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03
Tampa Bay Buccaneers,0.84,0.03,2.2,NA,0.69,NA,0.15,24.35,NA,NA,NA,NA,NA,6.28,NA,NFL,0525,100031,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01
Cincinnati Bengals,0.78,0.03,2.35,NA,0.64,NA,0.14,24.64,NA,NA,NA,NA,NA,6.15,NA,NFL,0506,100006,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01
Chicago Bears,0.79,0.02,1.92,NA,0.69,NA,0.15,26.52,NA,NA,NA,NA,NA,6.12,NA,NFL,0521,100005,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05
Philadelphia Eagles,0.67,0.02,2.02,NA,0.7,NA,0.15,24.06,NA,NA,NA,NA,NA,6.06,NA,NFL,0518,100025,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06
Las Vegas Raiders,0.81,0.02,2.03,NA,0.7,NA,0.14,24.49,NA,NA,NA,NA,NA,6.05,NA,NFL,0513,100018,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02
New York Jets,0.84,0.02,2.03,NA,0.64,NA,0.15,25.33,NA,NA,NA,NA,NA,5.99,NA,NFL,0505,100024,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01
Carolina Panthers,0.77,0.03,2.19,NA,0.59,NA,0.15,25.55,NA,NA,NA,NA,NA,5.99,NA,NFL,0527,100004,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02
Tennessee Titans,0.72,0.02,2.26,NA,0.62,NA,0.15,24.3,NA,NA,NA,NA,NA,5.94,NA,NFL,0508,100012,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01
Arizona Cardinals,0.76,0.03,2.08,NA,0.54,NA,0.15,26.01,NA,NA,NA,NA,NA,5.7,NA,NFL,0519,100026,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01
