player,pos,team,games,fg,fg_att,fg_0019,fg_att_0019,fg_2029,fg_att_2029,fg_3039,fg_att_3039,fg_4049,fg_att_4049,fg_50,fg_att_50,xp,xp_att,site_pts,site_fppg,src_id,data_src,id,fg_50_att,fg_49,fg_49_att,fg_39,fg_att_39,opp,fg_miss,xp_miss,bye,curr_site_pts,draft_rank,fg_pct,xp_pct,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,draftkings_site_points,yahoo_site_points
Jake Elliott,K,PHI,1,2,2.2,0,0,0.5,0.5,0.7,0.8,0.5,0.5,0.3,0.3,3.4,3.6,9.4,9.4,2080295,CBS,13303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cameron Dicker,K,LAC,1,2,2.2,0,0,0.6,0.6,0.7,0.7,0.5,0.5,0.2,0.2,3.4,3.5,9.4,9.4,2961997,CBS,15979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Moody,K,SF,1,2,2.3,0,0,0.6,0.6,0.6,0.7,0.5,0.7,0.2,0.2,3,3.1,9,9,2968527,CBS,16286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jason Myers,K,SEA,1,2.1,2.5,0,0,0.5,0.5,0.8,0.9,0.5,0.7,0.3,0.3,2.6,2.6,8.9,8.9,2169640,CBS,12437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Bass,K,BUF,1,1.8,2,0,0,0.4,0.4,0.7,0.7,0.4,0.5,0.3,0.3,3.1,3.2,8.5,8.5,2188356,CBS,14983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harrison Butker,K,KC,1,2,2.3,0,0,0.5,0.5,0.7,0.8,0.5,0.6,0.3,0.3,2.5,2.6,8.5,8.5,2078888,CBS,13354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon Aubrey,K,DAL,1,1.9,2.2,0,0,0.5,0.6,0.6,0.7,0.5,0.6,0.2,0.2,2.1,2.4,7.8,7.8,2815718,CBS,16414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Gay,K,IND,1,1.9,2.1,0,0,0.4,0.5,0.6,0.6,0.5,0.5,0.3,0.3,2.1,2.1,7.8,7.8,2870511,CBS,14244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eddy Pineiro,K,CAR,1,1.9,2.2,0,0,0.4,0.4,0.6,0.7,0.6,0.7,0.3,0.3,2.1,2.2,7.8,7.8,2221833,CBS,13719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon McManus,K,JAC,1,1.8,2.3,0,0,0.4,0.4,0.5,0.6,0.6,0.7,0.3,0.3,2.3,2.5,7.7,7.7,2058320,CBS,11947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
