player,pos,team,games,fg,fg_att,fg_0019,fg_att_0019,fg_2029,fg_att_2029,fg_3039,fg_att_3039,fg_4049,fg_att_4049,fg_50,fg_att_50,xp,xp_att,site_pts,site_fppg,src_id,data_src,id,opp,fg_miss,xp_miss,bye,draft_rank,fg_pct,xp_pct,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,draftkings_site_points,yahoo_site_points
Jason Sanders,K,MIA,1,2.3,2.7,0,0,0.6,0.6,0.6,0.7,0.8,1,0.2,0.2,3.5,3.7,10.4,10.4,2131909,CBS,13832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Elliott,K,PHI,1,2.1,2.3,0,0,0.5,0.5,0.8,0.8,0.5,0.5,0.4,0.4,2.8,2.9,9.1,9.1,2080295,CBS,13303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Bass,K,BUF,1,1.9,2,0,0,0.4,0.4,0.7,0.8,0.4,0.5,0.3,0.3,3.1,3.2,8.8,8.8,2188356,CBS,14983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harrison Butker,K,KC,1,1.9,2.2,0,0,0.5,0.5,0.7,0.8,0.4,0.5,0.2,0.2,3.1,3.2,8.8,8.8,2078888,CBS,13354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Prater,K,ARI,1,2,2.2,0,0,0.4,0.4,0.7,0.8,0.4,0.6,0.3,0.3,2.2,2.3,8.2,8.2,1109832,CBS,8930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ka'imi Fairbairn,K,HOU,1,2,2.2,0,0,0.5,0.5,0.8,0.8,0.5,0.5,0.3,0.3,2.2,2.3,8.2,8.2,1996562,CBS,12860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joey Slye,K,WAS,1,1.8,2.2,0,0,0.5,0.5,0.5,0.5,0.5,0.7,0.3,0.3,2.8,3,8.2,8.2,3116871,CBS,14600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Moody,K,SF,1,1.9,2.2,0,0,0.6,0.6,0.6,0.7,0.5,0.6,0.2,0.2,2.4,2.4,8.1,8.1,2968527,CBS,16286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Riley Patterson,K,DET,1,1.6,1.8,0,0,0.4,0.4,0.7,0.7,0.5,0.6,0.1,0.1,3.1,3.1,7.9,7.9,2865368,CBS,15369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wil Lutz,K,DEN,1,1.9,2.4,0,0,0.6,0.6,0.7,0.7,0.4,0.6,0.3,0.3,2.1,2.2,7.8,7.8,2008545,CBS,12956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
