player,team,pass_att,pass_comp,pass_yds,pass_tds,pass_int,rush_att,rush_yds,rush_tds,fumbles_lost,site_pts,src_id,data_src,pos,id,opp,pass_09_tds,pass_1019_tds,pass_2029_tds,pass_3039_tds,pass_4049_tds,pass_50_tds,sacks,scoring_opp,bye,draft_rank,pass_comp_pct,pass_rate,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_ovr,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,draftkings_salary,draftkings_value,yahoo_site_points,two_pts
Desmond Ridder,ATL,NA,NA,215.92,1.16,0.73,NA,18.67,0.15,0.08,14.58,2567256,NFL,QB,15697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08
Ryan Tannehill,TEN,NA,NA,228.95,1.22,0.78,NA,12.82,0.11,0.06,14.42,2532956,NFL,QB,10697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06
Bryce Young,CAR,NA,NA,221.49,1.15,0.84,NA,13.15,0.12,0.06,13.87,2569606,NFL,QB,16148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09
Joshua Dobbs,ARI,NA,NA,192.94,1.03,0.88,NA,20.91,0.15,0.05,13.13,2558167,NFL,QB,13119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08
Stetson Bennett,LA,NA,NA,31.3,0.08,0.23,NA,0.43,0.02,0.01,1.34,2569939,NFL,QB,16153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04
Tyler Huntley,BAL,NA,NA,18.67,0.08,0.14,NA,2.61,0.04,0.02,1.31,2563560,NFL,QB,14789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03
Zach Wilson,NYJ,NA,NA,23.79,0.06,0.1,NA,NA,0.02,NA,1.19,2566391,NFL,QB,15239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04
Sam Darnold,SF,NA,NA,22.49,0.1,0.14,NA,0.05,0.02,0.01,1.18,2561036,NFL,QB,13592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03
Kyle Trask,TB,NA,NA,21.62,0.1,0.09,NA,NA,0.01,0.01,1.18,2566571,NFL,QB,15242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03
Sean Clifford,GB,NA,NA,19.57,0.1,0.12,NA,0.06,0.02,0.01,1.13,2569762,NFL,QB,16313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04
Clayton Tune,ARI,NA,NA,21.09,0.07,0.11,NA,0.4,0.02,0.01,1.12,2570236,NFL,QB,16160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04
Easton Stick,LAC,NA,NA,18.45,0.09,0.08,NA,0.06,0.02,0.01,1.1,2562745,NFL,QB,14069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03
Trey Lance,DAL,NA,NA,16.63,0.05,0.06,NA,0.61,0.02,0.01,1.03,2566532,NFL,QB,15240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06
Patrick Mahomes,NA,25.81368737,39.4988543,303.6960311,2.152453268,0.679963265,3.742598821,19.94506898,0.189,NA,NA,3139477,ESPN,QB,13116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Josh Allen,NA,23.26852006,35.24579969,257.3897325,2.265979177,0.845669109,7.266875286,38.18794943,0.521446247,NA,NA,3918298,ESPN,QB,13589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jalen Hurts,NA,18.84542486,30.6992469,230.0854303,1.413867453,0.710184054,9.399542869,52.72499512,0.604307856,NA,NA,4040715,ESPN,QB,14783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lamar Jackson,NA,19.29532281,30.12274611,214.3067047,1.512294524,0.830745103,10.23985764,61.6580769,0.308,NA,NA,3916387,ESPN,QB,13593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joe Burrow,NA,22.11061273,33.38059876,249.8692101,1.839572666,0.943221785,3.458424979,13.445593,0.209882582,NA,NA,3915511,ESPN,QB,14777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justin Herbert,NA,25.01873449,38.40511095,291.8874524,2.092702873,0.796843812,3.445583021,15.24551375,0.251784799,NA,NA,4038941,ESPN,QB,14779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justin Fields,NA,19.36752532,31.23849365,211.4755703,0.970369127,1.074461151,6.866779444,35.06257979,0.167314939,NA,NA,4362887,ESPN,QB,15238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trevor Lawrence,NA,23.00953204,36.64074564,241.7774194,1.382758225,0.924408959,3.901589155,17.69495297,0.153661002,NA,NA,4360310,ESPN,QB,15237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kirk Cousins,NA,23.90098334,36.22641309,270.2641144,1.665922689,0.682999907,1.62173979,5.763419418,0.062338896,NA,NA,14880,ESPN,QB,10700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daniel Jones,NA,20.99028862,32.78071474,237.2050517,1.376969824,0.789341327,4.955512198,27.67211469,0.15654003,NA,NA,3917792,ESPN,QB,14059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tua Tagovailoa,NA,24.93315669,37.43023314,262.995544,1.650577081,0.78375297,3.128490432,9.687893395,0.170860025,NA,NA,4241479,ESPN,QB,14778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aaron Rodgers,NA,22.10109732,33.50832067,251.5764813,2.3356286,0.521359714,2.181204949,7.767027614,0.095132971,NA,NA,8439,ESPN,QB,7836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Geno Smith,NA,22.59580962,34.54768106,242.8859801,1.085619618,0.554049076,2.856569097,10.5428563,0.11496262,NA,NA,15864,ESPN,QB,11150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Russell Wilson,NA,20.21288903,31.50407235,246.7747187,2.106475776,0.567093273,4.264606876,23.64847554,0.131788705,NA,NA,14881,ESPN,QB,10703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matthew Stafford,NA,21.71364947,32.57711291,248.9485585,2.234370354,0.953151604,2.33900961,6.668160578,0.0924681,NA,NA,12483,ESPN,QB,9431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jared Goff,NA,21.64763878,33.40102738,231.7312577,1.65525494,0.751854082,1.7142715,3.978871969,0.087181749,NA,NA,3046779,ESPN,QB,12611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kyler Murray,NA,22.90831374,36.25418818,252.0467027,1.599671611,0.707090941,6.009494103,33.65561211,0.333,NA,NA,3917315,ESPN,QB,14056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Derek Carr,NA,23.88227943,35.98204399,266.5752362,1.935397903,0.912644131,1.995147206,6.870632845,0.1201637,NA,NA,16757,ESPN,QB,11644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ryan Tannehill,NA,22.51760672,34.48756536,233.9961754,1.183271834,0.789989119,3.291402663,15.62748958,0.239048313,NA,NA,14876,ESPN,QB,10697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mac Jones,NA,21.85364952,33.26301592,234.8084058,1.338320064,0.917146299,2.675871553,9.098645267,0.084396835,NA,NA,4241464,ESPN,QB,15241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baker Mayfield,NA,21.08948555,33.68718957,251.16311,1.354492147,0.896345852,2.780778053,9.710252165,0.13,NA,NA,3052587,ESPN,QB,13590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jacoby Brissett,NA,18.39780655,29.26464748,201.4430306,1.333929096,0.526012372,3.449903784,12.54890998,0.194437414,NA,NA,2578570,ESPN,QB,12616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marcus Mariota,NA,20.82311393,33.76432391,240.2759759,1.009816247,0.576775909,4.922068277,27.35828069,0.171768712,NA,NA,2576980,ESPN,QB,12141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trey Lance,NA,16.74128441,26.51472862,201.6751216,1.504166651,0.729238201,8.474004816,37.95083501,0.26,NA,NA,4383351,ESPN,QB,15240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Davis Mills,NA,24.08944927,37.57582923,260.0818027,1.189214173,0.830897013,1.957941867,7.494270441,0.067086107,NA,NA,4242546,ESPN,QB,15252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mitch Trubisky,NA,22.85871802,35.70925298,236.9837679,1.30677916,0.707267666,3.214384848,13.47096943,0.112442457,NA,NA,3039707,ESPN,QB,13115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cooper Rush,NA,23.50517897,37.43256235,246.4689846,1.22397222,0.99855888,2.6,8.420680584,0.100951777,NA,NA,2972515,ESPN,QB,13124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jameis Winston,NA,21.8750057,33.62218522,238.591396,1.491638217,1.141648224,3.787364859,14.88320673,0.086333969,NA,NA,2969939,ESPN,QB,12140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carson Wentz,NA,21.50205452,33.39654531,248.8212368,1.924332825,0.749291033,3.534070864,14.93922621,0.163596358,NA,NA,2573079,ESPN,QB,12610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joe Flacco,NA,22.8857071,36.28499995,244.5599581,1.191599729,0.750347954,1.977678291,7.40807052,0.074445103,NA,NA,11252,ESPN,QB,9064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Ryan,NA,20.57052187,31.75144715,235.8844183,1.647882702,0.706424019,2.489523811,8.233409353,0.111290777,NA,NA,11237,ESPN,QB,9099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tom Brady,NA,26.1132092,40.81137999,285.8213874,1.908304126,0.810060052,1.587509308,1.39170189,0.121008876,NA,NA,2330,ESPN,QB,5848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
