player,pos,team,games,rush_att,rush_yds,rush_avg,rush_tds,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,opp,rush_09_tds,rush_1019_tds,rush_2029_tds,rush_3039_tds,rush_4049_tds,rush_50_tds,rec_rz_tgt,rush_50_yds,rush_100_yds,return_yds,scoring_opp,bye,draft_rank,misc_tds,misc_yds,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_ovr,ranks_pos,FanDuel FP,draftkings_site_points,yahoo_site_points,yahoo_salary,yahoo_value,return_tds,two_pts
OUTElijah Mitchell,RB,SF,NA,4.2,18.7,NA,0.1,0.5,0.5,3.6,NA,NA,0,0,3.23,NA,13728,FleaFlicker,15263,@WASSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,RB54,0.2,22.3,52%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leonard Fournette,RB,BUF,NA,3.9,15.7,NA,0.1,0.8,0.8,5.3,NA,NA,0,0,3,NA,12920,FleaFlicker,13129,NESun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,RB77,0.1,20.9,23%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jeff Wilson,RB,MIA,NA,2.8,13.4,NA,0.1,1.1,1.1,7.9,NA,NA,0,0,2.87,NA,14471,FleaFlicker,14017,@BALSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,RB52,0.1,21.3,47%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Breida,RB,NYG,NA,3.8,14.9,NA,0.1,1,1,7.5,NA,NA,0,0,2.86,NA,13358,FleaFlicker,13378,LARSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,RB70,0.1,22.4,17%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D'Ernest Johnson,RB,JAC,NA,4,15.5,NA,0.1,0.7,0.7,5.3,NA,NA,0,0,2.78,NA,15453,FleaFlicker,14331,CARSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,RB65,0.1,20.8,18%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Rodriguez,RB,WAS,NA,3.7,18.1,NA,0.1,0.3,0.3,1.8,NA,NA,0,0,2.7,NA,17762,FleaFlicker,16174,SFSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,RB63,0.1,19.9,19%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OUTTy Johnson,RB,BUF,NA,2.8,12.8,NA,0.1,0.7,0.7,6.1,NA,NA,0,0,2.61,NA,14842,FleaFlicker,14095,NESun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,RB74,0.1,18.9,5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boston Scott,RB,PHI,NA,2.3,11.1,NA,0.1,0.5,0.5,3.5,NA,NA,0,0,2.2,NA,13942,FleaFlicker,13814,ARISun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,RB87,0.1,14.5,8%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ameer Abdullah,RB,LV,NA,1.4,7.1,NA,0,1.2,1.2,8.9,NA,NA,0.1,0,2.12,NA,11207,FleaFlicker,12155,@INDSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,RB93,0.1,16,6%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Latavius Murray,RB,BUF,NA,2,10.1,NA,0.1,0.6,0.6,4,NA,NA,0,0,2.11,NA,9504,FleaFlicker,11390,NESun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,RB51,0.1,14.1,37%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pierre Strong,RB,CLE,NA,3.1,11.7,NA,0.1,0.5,0.5,3.5,NA,NA,0,0,2.1,NA,16909,FleaFlicker,15733,NYJThu 8:15 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,RB78,0.1,15.2,17%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joshua Kelley,RB,LAC,NA,3.4,14.3,NA,0.1,0.4,0.4,2.4,NA,NA,0,0,2.09,NA,15622,FleaFlicker,14807,@DENSun 4:25 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,RB60,0.1,16.7,34%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michael Carter,RB,ARI,NA,1,8.2,NA,0.1,1,1,6.5,NA,NA,0,0,1.94,NA,16618,FleaFlicker,15258,@PHISun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,RB68,0.1,14.8,24%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dare Ogunbowale,RB,HOU,NA,1.4,5.4,NA,0,0.8,0.8,7.3,NA,NA,0,0,1.73,NA,13581,FleaFlicker,13148,TENSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,0.1,12.7,1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Patrick Taylor,RB,GB,NA,1.5,8,NA,0.1,0.7,0.7,4.5,NA,NA,0,0,1.72,NA,16024,FleaFlicker,14817,@MINSun 8:20 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,RB94,0.1,12.4,8%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kevin Harris,RB,NE,NA,2.3,9.2,NA,0,0.5,0.5,3.4,NA,NA,0,0,1.63,NA,16946,FleaFlicker,15719,@BUFSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0.1,12.6,5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Craig Reynolds,RB,DET,NA,0,8,NA,0.1,0.4,0.4,2.6,NA,NA,0,0,1.5,NA,15434,FleaFlicker,14727,@DALSat 8:15 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,RB84,0.1,10.6,11%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melvin Gordon,RB,BAL,NA,0.3,6.8,NA,0,0.6,0.6,5.1,NA,NA,0,0,1.49,NA,11180,FleaFlicker,12151,MIASun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,RB86,0.1,11.9,11%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trey Sermon,RB,IND,NA,0.6,9.2,NA,0.1,0.2,0.2,1.1,NA,NA,0,0,1.45,NA,16323,FleaFlicker,15257,LVSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,RB82,0.1,10.3,12%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jeremy McNichols,RB,SF,NA,0,5.8,NA,0,0.6,0.6,4.1,NA,NA,0,0,1.35,NA,12999,FleaFlicker,13143,@WASSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,0.1,10,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kyle Juszczyk,RB,SF,NA,0.2,0.7,NA,0,0.8,0.8,6.9,NA,NA,0.1,0,1.24,NA,9410,FleaFlicker,11367,@WASSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,0.1,7.6,3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OUTKendre Miller,RB,NO,NA,0.6,5.7,NA,0,0.4,0.4,3.1,NA,NA,0,0,1.18,NA,17661,FleaFlicker,16171,@TBSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,RB71,0.1,8.8,44%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dalvin Cook,RB,NYJ,NA,0.6,6.3,NA,0,0.5,0.5,3,NA,NA,0,0,1.11,NA,12929,FleaFlicker,13128,@CLEThu 8:15 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,RB61,0,9.2,57%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Royce Freeman,RB,LAR,NA,0.3,6.9,NA,0.1,0.2,0.2,1.1,NA,NA,0,0,1.08,NA,13796,FleaFlicker,13617,@NYGSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,RB57,0.1,8,25%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jordan Mason,RB,SF,NA,0.2,5.1,NA,0.1,0.2,0.2,1.5,NA,NA,0,0,1.08,NA,17167,FleaFlicker,15972,@WASSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,RB69,0.1,6.6,17%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon Bolden,RB,LV,NA,0.8,3.8,NA,0,0.4,0.4,3.2,NA,NA,0,0,0.98,NA,9114,FleaFlicker,10932,@INDSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,0.1,7,2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DeeJay Dallas,RB,SEA,NA,0.7,3.6,NA,0,0.4,0.4,2.6,NA,NA,0,0,0.92,NA,15680,FleaFlicker,14815,PITSun 4:05 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,RB106,0.1,6.1,8%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
La'Mical Perine,RB,KC,NA,0,4.9,NA,0,0.2,0.2,1.4,NA,NA,0,0,0.88,NA,15723,FleaFlicker,14806,CINSun 4:25 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,6.4,1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OUTDeuce Vaughn,RB,DAL,NA,0,4.3,NA,0,0.3,0.3,2,NA,NA,0,0,0.88,NA,17759,FleaFlicker,16176,DETSat 8:15 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,RB88,0,6.3,22%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Brooks,RB,MIA,NA,0,4.8,NA,0,0.2,0.2,1.1,NA,NA,0,0,0.83,NA,18169,FleaFlicker,16387,@BALSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,5.9,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tank Bigsby,RB,JAC,NA,0.4,5.2,NA,0,0.2,0.2,1.1,NA,NA,0,0,0.82,NA,17625,FleaFlicker,16164,CARSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,RB80,0,6.2,43%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alec Ingold,RB,MIA,NA,0.3,0.7,NA,0,0.7,0.7,5.3,NA,NA,0,0,0.78,NA,15279,FleaFlicker,14420,@BALSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,6,1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michael Burton,RB,DEN,NA,0.6,2.5,NA,0,0.3,0.3,1.9,NA,NA,0,0,0.74,NA,11295,FleaFlicker,12325,LACSun 4:25 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,0,4.4,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hunter Luepke,RB,DAL,NA,1.1,3.5,NA,0,0.2,0.2,1.3,NA,NA,0,0,0.72,NA,18305,FleaFlicker,16391,DETSat 8:15 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,0,4.9,2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Raheem Blackshear,RB,CAR,NA,0.5,2.7,NA,0,0.3,0.3,2.2,NA,NA,0,0,0.67,NA,17510,FleaFlicker,15973,@JACSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,0,5,5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eric Gray,RB,NYG,NA,0,1.7,NA,0,0.4,0.4,2.6,NA,NA,0,0,0.67,NA,17758,FleaFlicker,16173,LARSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,RB101,0,4.3,13%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jonathan Ward,RB,TEN,NA,0,3.2,NA,0,0.2,0.2,1.4,NA,NA,0,0,0.64,NA,15816,FleaFlicker,15042,@HOUSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,0,4.6,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Christian McCaffrey,RB,SF,NA,18.58,85.68,NA,0.81,NA,4.5,40.19,NA,NA,0.38,NA,19.51,NA,christian-mccaffrey,NumberFire,13130,WSH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.8,29.22,#31,7,1,21.76,24.14,21.76,35,0.62,NA,NA
Kyren Williams,RB,LA,NA,20.13,90.84,NA,0.66,NA,2.29,17.03,NA,NA,0.13,NA,15.25,NA,kyren-williams,NumberFire,15710,NYG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.93,23.57,#20,18,2,16.37,17.68,16.37,12,1.36,NA,NA
Jonathan Taylor,RB,IND,NA,17.49,86.91,NA,0.71,NA,2.05,14.58,NA,NA,0.1,NA,14.93,NA,jonathan-taylor,NumberFire,14802,LV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.71,23.15,#14,24,3,15.93,17.02,15.93,NA,NA,NA,NA
Travis Etienne,RB,JAC,NA,16.57,71.22,NA,0.51,NA,2.84,22.4,NA,NA,0.13,NA,13.22,NA,travis-etienne,NumberFire,15253,CAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.56,20.88,#27,30,4,14.66,16.08,14.66,NA,NA,NA,NA
Rachaad White,RB,TB,NA,18.37,73.43,NA,0.5,NA,2.96,20.68,NA,NA,0.14,NA,13.1,NA,rachaad-white,NumberFire,15721,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.48,20.72,#9,32,5,14.61,16.17,14.61,18,0.81,NA,NA
Saquon Barkley,RB,NYG,NA,17.62,75.02,NA,0.42,NA,3.34,20.44,NA,NA,0.13,NA,12.67,NA,saquon-barkley,NumberFire,13604,LA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.19,20.15,#19,34,6,14.34,16.12,14.34,29,0.49,NA,NA
Derrick Henry,RB,TEN,NA,16.31,68.74,NA,0.58,NA,1.92,16.52,NA,NA,0.07,NA,12.5,NA,derrick-henry,NumberFire,12626,HOU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.08,19.92,#21,35,7,13.41,14.37,13.41,34,0.39,NA,NA
Tony Pollard,RB,DAL,NA,14.23,66.69,NA,0.48,NA,2.69,20.56,NA,NA,0.16,NA,12.39,NA,tony-pollard,NumberFire,14085,DET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.01,19.77,#22,36,8,13.71,15.17,13.71,28,0.49,NA,NA
Devin Singletary,RB,HOU,NA,16.84,72.92,NA,0.48,NA,2.04,16.46,NA,NA,0.11,NA,12.35,NA,devin-singletary,NumberFire,14080,TEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.98,19.72,#23,38,9,13.4,14.48,13.4,16,0.84,NA,NA
Breece Hall,RB,NYJ,NA,14.18,62.72,NA,0.3,NA,4.18,35.3,NA,NA,0.12,NA,12.2,NA,breece-hall,NumberFire,15708,CLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.88,19.52,#1,41,10,14.27,16.45,14.27,NA,NA,NA,NA
Kenneth Walker III,RB,SEA,NA,16.03,68.52,NA,0.51,NA,1.77,13.65,NA,NA,0.09,NA,11.85,NA,kenneth-walker-iii,NumberFire,15711,PIT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.64,19.06,#10,43,11,12.72,13.61,12.72,25,0.51,NA,NA
Alvin Kamara,RB,NO,NA,14.42,59.21,NA,0.31,NA,4.48,29.64,NA,NA,0.18,NA,11.84,NA,alvin-kamara,NumberFire,13132,TB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.64,19.04,#18,44,12,14.11,16.35,14.11,22,0.64,NA,NA
James Cook,RB,BUF,NA,15.15,66.9,NA,0.37,NA,2.45,21.08,NA,NA,0.13,NA,11.52,NA,james-cook,NumberFire,15715,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.42,18.62,#12,46,13,12.72,14.11,12.72,14,0.91,NA,NA
Ty Chandler,RB,MIN,NA,15.32,65.42,NA,0.52,NA,1.93,13.47,NA,NA,0.09,NA,11.51,NA,ty-chandler,NumberFire,15723,GB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.41,18.61,#26,47,14,12.43,13.45,12.43,NA,NA,NA,NA
Javonte Williams,RB,DEN,NA,14.81,63.13,NA,0.36,NA,2.92,18.75,NA,NA,0.17,NA,11.34,NA,javonte-williams,NumberFire,15256,LAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,18.38,#30,49,15,12.77,14.28,12.77,NA,NA,NA,NA
James Conner,RB,ARI,NA,15.28,65.68,NA,0.51,NA,1.92,13.32,NA,NA,0.06,NA,11.34,NA,james-conner,NumberFire,13146,PHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,18.38,#25,49,15,12.3,13.26,12.3,23,0.53,NA,NA
D'Andre Swift,RB,PHI,NA,13.47,60.99,NA,0.52,NA,2.23,14.55,NA,NA,0.12,NA,11.23,NA,d-andre-swift,NumberFire,14797,ARI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.23,18.23,#32,54,17,12.29,13.52,12.29,19,0.65,NA,NA
Joe Mixon,RB,CIN,NA,14.9,59.6,NA,0.43,NA,2.7,19.76,NA,NA,0.1,NA,11.1,NA,joe-mixon,NumberFire,13131,KC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.14,18.06,#6,55,18,12.49,13.84,12.49,25,0.5,NA,NA
Bijan Robinson,RB,ATL,NA,12.35,53.5,NA,0.28,NA,3.96,31.64,NA,NA,0.16,NA,10.95,NA,bijan-robinson,NumberFire,16161,CHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.04,17.86,#15,56,19,12.93,15.03,12.93,NA,NA,NA,NA
Chuba Hubbard,RB,CAR,NA,18.02,71.97,NA,0.38,NA,1.82,12.35,NA,NA,0.05,NA,10.9,NA,chuba-hubbard,NumberFire,15261,JAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,17.8,#17,57,20,11.84,12.8,11.84,15,0.79,NA,NA
Austin Ekeler,RB,LAC,NA,11.9,52.59,NA,0.32,NA,3.68,28.91,NA,NA,0.15,NA,10.68,NA,austin-ekeler-1,NumberFire,13404,DEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.86,17.5,#24,58,21,12.51,14.52,12.51,35,0.36,NA,NA
Jerome Ford,RB,CLE,NA,15.18,62.21,NA,0.43,NA,2.02,13.15,NA,NA,0.08,NA,10.56,NA,jerome-ford,NumberFire,15713,NYJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.77,17.35,#3,60,22,11.55,12.6,11.55,10,1.16,NA,NA
Jahmyr Gibbs,RB,DET,NA,11.09,49.14,NA,0.36,NA,3.46,23.92,NA,NA,0.18,NA,10.4,NA,jahmyr-gibbs,NumberFire,16162,DAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.67,17.13,#7,61,23,12.16,13.97,12.16,NA,NA,NA,NA
David Montgomery,RB,DET,NA,13.2,55.87,NA,0.44,NA,1.95,15.34,NA,NA,0.1,NA,10.24,NA,david-montgomery,NumberFire,14071,DAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.56,16.92,#7,62,24,11.2,12.25,11.2,21,0.53,NA,NA
Raheem Mostert,RB,MIA,NA,11.88,58.61,NA,0.42,NA,1.97,15.79,NA,NA,0.09,NA,10.24,NA,raheem-mostert,NumberFire,12447,BAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.56,16.92,#2,62,24,11.25,12.36,11.25,14,0.8,NA,NA
Aaron Jones,RB,GB,NA,11.45,55.98,NA,0.3,NA,3.1,20.61,NA,NA,0.17,NA,10.18,NA,aaron-jones,NumberFire,13319,MIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.52,16.84,#13,64,26,11.77,13.47,11.77,23,0.51,NA,NA
Clyde Edwards-Helaire,RB,KC,NA,13.19,54.57,NA,0.41,NA,1.84,14.06,NA,NA,0.1,NA,9.88,NA,clyde-edwards-helaire,NumberFire,14803,CIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.32,16.44,#29,67,27,10.84,11.77,10.84,10,1.08,NA,NA
Gus Edwards,RB,BAL,NA,11.75,54.39,NA,0.44,NA,1.11,9.67,NA,NA,0.06,NA,9.33,NA,gus-edwards,NumberFire,13850,MIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.95,15.71,#4,70,28,9.92,10.51,9.92,18,0.55,NA,NA
Najee Harris,RB,PIT,NA,14.84,59.56,NA,0.43,NA,1.12,6.38,NA,NA,0.04,NA,9.28,NA,najee-harris,NumberFire,15254,SEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.91,15.65,#28,72,29,9.83,10.47,9.83,20,0.49,NA,NA
Jaylen Warren,RB,PIT,NA,9.19,41.06,NA,0.29,NA,3.04,19.98,NA,NA,0.11,NA,8.34,NA,jaylen-warren,NumberFire,15742,SEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.28,14.4,#28,83,30,9.92,11.51,9.92,10,0.99,NA,NA
Ezekiel Elliott,RB,NE,NA,12.2,48.65,NA,0.26,NA,2.36,15.08,NA,NA,0.07,NA,8.18,NA,ezekiel-elliott,NumberFire,12625,BUF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.17,14.19,#11,85,31,9.39,10.65,9.39,20,0.47,NA,NA
Zamir White,RB,LV,NA,12.07,48.45,NA,0.32,NA,1.21,8.44,NA,NA,0.04,NA,7.74,NA,zamir-white,NumberFire,15714,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.88,13.6,#16,88,32,8.33,9.01,8.33,10,0.83,NA,NA
De'Von Achane,RB,MIA,NA,7.67,34.57,NA,0.22,NA,2.88,21.38,NA,NA,0.13,NA,7.61,NA,devon-achane,NumberFire,16167,BAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.79,13.43,#2,89,33,9.04,10.54,9.04,NA,NA,NA,NA
Kareem Hunt,RB,CLE,NA,10.17,41.86,NA,0.39,NA,1.04,7.19,NA,NA,0.04,NA,7.46,NA,kareem-hunt,NumberFire,13138,NYJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.69,13.23,#3,90,34,7.97,8.52,7.97,12,0.66,NA,NA
Tyjae Spears,RB,TEN,NA,7.53,31.1,NA,0.18,NA,3.2,22.93,NA,NA,0.1,NA,7.04,NA,tyjae-spears,NumberFire,16165,HOU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.41,12.67,#21,98,35,8.62,10.26,8.62,NA,NA,NA,NA
Antonio Gibson,RB,WSH,NA,7.48,30.15,NA,0.21,NA,3.07,22.5,NA,NA,0.09,NA,6.76,NA,antonio-gibson,NumberFire,14852,SF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.22,12.3,#8,105,36,8.32,10.01,8.32,17,0.49,NA,NA
A.J. Dillon,RB,GB,NA,9.3,37.43,NA,0.26,NA,1.4,11.31,NA,NA,0.05,NA,6.76,NA,aj-dillon,NumberFire,14805,MIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.22,12.3,#13,105,36,7.45,8.15,7.45,20,0.37,NA,NA
Tyler Allgeier,RB,ATL,NA,10.65,45.17,NA,0.21,NA,0.77,6.01,NA,NA,0.02,NA,6.51,NA,tyler-allgeier,NumberFire,15712,CHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05,11.97,#15,111,38,6.9,7.29,6.9,20,0.35,NA,NA
Isiah Pacheco,RB,KC,NA,8.16,35.58,NA,0.28,NA,1.2,8.36,NA,NA,0.07,NA,6.48,NA,isiah-pacheco,NumberFire,15749,CIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.03,11.93,#29,112,39,7.09,7.69,7.09,20,0.35,NA,NA
Josh Jacobs,RB,LV,NA,8.44,35.89,NA,0.26,NA,1.19,9.09,NA,NA,0.04,NA,6.22,NA,josh-jacobs,NumberFire,14073,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85,11.59,#16,117,40,6.77,7.43,6.77,36,0.19,NA,NA
Alexander Mattison,RB,MIN,NA,8.45,35.26,NA,0.23,NA,1.29,9.07,NA,NA,0.06,NA,6.07,NA,alexander-mattison,NumberFire,14223,GB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,11.39,#26,120,41,6.66,7.38,6.66,11,0.61,NA,NA
Khalil Herbert,RB,CHI,NA,7.54,32.73,NA,0.17,NA,1.8,13.05,NA,NA,0.08,NA,5.99,NA,khalil-herbert,NumberFire,15271,ATL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,11.28,#5,123,42,6.92,7.85,6.92,14,0.49,NA,NA
