player,pos,team,games,pass_att,pass_comp,pass_yds,pass_yds_g,pass_tds,pass_int,pass_rate,rush_att,rush_yds,rush_avg,rush_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,opp,pass_09_tds,pass_1019_tds,pass_2029_tds,pass_3039_tds,pass_4049_tds,pass_50_tds,sacks,scoring_opp,bye,curr_site_pts,draft_rank,pass_comp_pct,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_ovr,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,yahoo_site_points,two_pts
Patrick Mahomes II,QB,KC,NA,38.4,25.9,284,NA,2,0.8,NA,4.8,24.9,NA,0.1,0.1,21.3,NA,16413,FantasyPros,13116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lamar Jackson,QB,BAL,NA,31.6,21.5,235.8,NA,1.4,0.8,NA,8.2,47,NA,0.4,0.2,21,NA,17233,FantasyPros,13593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Josh Allen,QB,BUF,NA,34.3,23.7,242.3,NA,1.6,0.9,NA,6.5,35.2,NA,0.4,0.2,20.8,NA,17298,FantasyPros,13589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dak Prescott,QB,DAL,NA,35,24.2,273.1,NA,1.9,0.6,NA,4.3,16.6,NA,0.2,0.2,20.4,NA,15600,FantasyPros,12620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C.J. Stroud,QB,HOU,NA,33.8,21.3,268,NA,1.9,0.4,NA,2.4,10.2,NA,0.1,0.2,19.5,NA,23071,FantasyPros,16150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kyler Murray,QB,ARI,NA,31.4,20.6,237.1,NA,1.3,0.8,NA,6.3,33.6,NA,0.3,0.2,18.9,NA,18600,FantasyPros,14056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justin Fields,QB,CHI,NA,32.2,19.5,217.3,NA,1.3,0.9,NA,8.4,45.3,NA,0.3,0.2,18.7,NA,19781,FantasyPros,15238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brock Purdy,QB,SF,NA,31.4,21.4,262.1,NA,1.7,0.5,NA,3.4,12.9,NA,0.2,0.1,18.7,NA,19797,FantasyPros,15698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justin Herbert,QB,LAC,NA,35.2,23.7,262.1,NA,1.7,0.8,NA,3.8,15.2,NA,0.2,0.1,18.6,NA,18635,FantasyPros,14779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sam Howell,QB,WAS,NA,35.4,23.3,264.7,NA,1.7,0.9,NA,4,17.5,NA,0.1,0.2,18.6,NA,23045,FantasyPros,15693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tua Tagovailoa,QB,MIA,NA,33.7,23.4,272.4,NA,1.8,0.8,NA,2.2,7.2,NA,0.1,0.2,18.1,NA,19198,FantasyPros,14778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jared Goff,QB,DET,NA,35.8,24.2,276.8,NA,1.7,0.7,NA,1.7,4.9,NA,0.1,0.2,17.8,NA,15501,FantasyPros,12611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joshua Dobbs,QB,MIN,NA,33.3,22,224.9,NA,1.3,0.8,NA,6.2,33.2,NA,0.3,0.3,17.8,NA,16417,FantasyPros,13119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trevor Lawrence,QB,JAC,NA,34.3,22.9,246.7,NA,1.3,0.8,NA,5.1,23.2,NA,0.2,0.2,17.2,NA,19780,FantasyPros,15237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jordan Love,QB,GB,NA,34.2,21,243,NA,1.4,1,NA,4.1,16.9,NA,0.2,0.2,16.8,NA,19246,FantasyPros,14782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Russell Wilson,QB,DEN,NA,29.6,19.4,206.8,NA,1.4,0.7,NA,5,25.8,NA,0.1,0.1,16.5,NA,11180,FantasyPros,10703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Geno Smith,QB,SEA,NA,33.9,22.2,252.3,NA,1.5,0.9,NA,2.7,11.6,NA,0.1,0.2,16.4,NA,11687,FantasyPros,11150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baker Mayfield,QB,TB,NA,34.4,21.9,245.7,NA,1.3,0.9,NA,3.6,14.3,NA,0.1,0.2,15.7,NA,17237,FantasyPros,13590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matthew Stafford,QB,LAR,NA,31.7,20.2,240.4,NA,1.4,0.8,NA,1.6,5.3,NA,0,0.1,15.2,NA,9451,FantasyPros,9431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Will Levis,QB,TEN,NA,32.2,19.4,224.7,NA,1.2,0.9,NA,2.8,10.8,NA,0.1,0.1,14.2,NA,22987,FantasyPros,16149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dorian Thompson-Robinson,QB,CLE,NA,29.1,17.3,185.4,NA,0.9,1.1,NA,7.7,27,NA,0.2,0.1,13.8,NA,20086,FantasyPros,16158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bryce Young,QB,CAR,NA,32,19.8,208.4,NA,1.1,0.8,NA,5,16.2,NA,0.1,0.1,13.7,NA,22900,FantasyPros,16148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tommy DeVito,QB,NYG,NA,26.1,17,183.4,NA,0.9,0.8,NA,5.4,25.7,NA,0.2,0.1,13.5,NA,25746,FantasyPros,16441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zach Wilson,QB,NYJ,NA,35,20.9,218,NA,0.9,0.9,NA,3.5,18.1,NA,0.1,0.2,13.4,NA,22679,FantasyPros,15239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aidan O'Connell,QB,LV,NA,31.3,20.2,220.8,NA,1,0.9,NA,1.8,6.5,NA,0.1,0.2,12.6,NA,24330,FantasyPros,16159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenny Pickett,QB,PIT,NA,29.5,18.3,196.7,NA,0.9,0.8,NA,2.7,12.2,NA,0.1,0.1,12.5,NA,22722,FantasyPros,15692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carson Wentz,QB,LAR,NA,0,0,14.9,NA,0,0.1,NA,0,0,NA,0,0,0.7,NA,15520,FantasyPros,12610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cooper Rush,QB,DAL,NA,0,0,12.8,NA,0,0,NA,0,0.3,NA,0,0,0.6,NA,16477,FantasyPros,13124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Huntley,QB,BAL,NA,0,0,7.7,NA,0,0.1,NA,0,0.2,NA,0,0,0.5,NA,19297,FantasyPros,14789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ryan Tannehill,QB,TEN,NA,0,0,9.3,NA,0.1,0.1,NA,0,0,NA,0,0,0.5,NA,11174,FantasyPros,10697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyson Bagent,QB,CHI,NA,0,0,8.9,NA,0,0.1,NA,0,0.2,NA,0,0,0.5,NA,25321,FantasyPros,16384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sam Darnold,QB,SF,NA,0,0,8,NA,0,0,NA,0,0,NA,0,0,0.5,NA,17236,FantasyPros,13592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jacoby Brissett,QB,WAS,NA,0,0,6.8,NA,0,0,NA,0,0.1,NA,0,0,0.4,NA,15642,FantasyPros,12616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Barkley,QB,NYG,NA,0,0,8.6,NA,0,0.1,NA,0,0,NA,0,0,0.4,NA,11686,FantasyPros,11151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sean Clifford,QB,GB,NA,0,0,6.6,NA,0,0.1,NA,0,0,NA,0,0,0.4,NA,20073,FantasyPros,16313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C.J. Beathard,QB,JAC,NA,0,0,6.4,NA,0,0,NA,0,0.1,NA,0,0,0.4,NA,16419,FantasyPros,13125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mitch Trubisky,QB,PIT,NA,0,0,5.9,NA,0,0,NA,0,0,NA,0,0,0.3,NA,16381,FantasyPros,13115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Davis Mills,QB,HOU,NA,0,0,6.8,NA,0,0,NA,0,0,NA,0,0,0.3,NA,22799,FantasyPros,15252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Teddy Bridgewater,QB,DET,NA,0,0,6.5,NA,0,0,NA,0,0,NA,0,0,0.3,NA,12088,FantasyPros,11640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andy Dalton,QB,CAR,NA,0,0,5.9,NA,0,0,NA,0,0,NA,0,0,0.3,NA,9907,FantasyPros,10313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jarrett Stidham,QB,DEN,NA,0,0,5.6,NA,0,0,NA,0,0.1,NA,0,0,0.3,NA,18604,FantasyPros,14063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blaine Gabbert,QB,KC,NA,0,0,5.7,NA,0,0,NA,0,0,NA,0,0,0.3,NA,9858,FantasyPros,10262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Browning,QB,CIN,NA,0,0,5.9,NA,0,0,NA,0,0,NA,0,0,0.3,NA,18557,FantasyPros,14358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clayton Tune,QB,ARI,NA,0,0,5.5,NA,0,0,NA,0,0.1,NA,0,0,0.3,NA,25227,FantasyPros,16160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Easton Stick,QB,LAC,NA,0,0,5.9,NA,0,0.1,NA,0,0,NA,0,0,0.3,NA,18446,FantasyPros,14069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jimmy Garoppolo,QB,LV,NA,0,0,5.1,NA,0,0,NA,0,0,NA,0,0,0.3,NA,12208,FantasyPros,11760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nick Mullens,QB,MIN,NA,0,0,4.9,NA,0,0.1,NA,0,0,NA,0,0,0.2,NA,16726,FantasyPros,13968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mike White,QB,MIA,NA,0,0,4.6,NA,0,0,NA,0,0,NA,0,0,0.2,NA,17447,FantasyPros,13598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marcus Mariota,QB,PHI,NA,0,0,3,NA,0,0,NA,0,0.2,NA,0,0,0.2,NA,13890,FantasyPros,12141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kyle Allen,QB,BUF,NA,0,0,3.3,NA,0,0,NA,0,0,NA,0,0,0.2,NA,17869,FantasyPros,13879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P.J. Walker,QB,CLE,NA,0,0,4.8,NA,0,0,NA,0,0,NA,0,0,0.2,NA,16841,FantasyPros,13416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drew Lock,QB,SEA,NA,0,0,3.5,NA,0,0,NA,0,0,NA,0,0,0.2,NA,18225,FantasyPros,14057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kyle Trask,QB,TB,NA,0,0,3.9,NA,0,0,NA,0,0,NA,0,0,0.2,NA,19800,FantasyPros,15242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tim Boyle,QB,NYJ,NA,0,0,5.9,NA,0,0.1,NA,0,0,NA,0,0,0.2,NA,17801,FantasyPros,13873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mahomes, Patrick",QB,KCC,NA,38.4,25.9,296,NA,2.3,0.7,NA,4.1,24,NA,0.1,0.1,26.2,NA,NA,FantasySharks,13116,PHI,1.6,0.4,0,0.1,0.2,0,1.4,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allen, Josh",QB,BUF,NA,31.6,21,235,NA,1.8,1,NA,6.8,39,NA,0.6,0.3,24.9,NA,NA,FantasySharks,13589,NYJ,0.6,0.7,0.3,0.1,0.1,0.1,1.5,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hurts, Jalen",QB,PHI,NA,27.7,18.7,216,NA,1.4,0.8,NA,10.5,43,NA,0.7,0.3,23.4,NA,NA,FantasySharks,14783,@KCC,0.4,0.3,0.3,0.2,0.1,0.1,2.7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Purdy, Brock",QB,SFO,NA,29.8,20.1,267,NA,1.8,0.5,NA,2.6,9,NA,0.2,0.2,21.6,NA,NA,FantasySharks,15698,TBB,0.6,0.4,0.3,0.3,0,0.1,1.6,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jackson, Lamar",QB,BAL,NA,30,20.3,225,NA,1.1,0.6,NA,9,50,NA,0.4,0.4,21.6,NA,NA,FantasySharks,13593,CIN,0.4,0.5,0.1,0,0.1,0,2.3,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Herbert, Justin",QB,LAC,NA,36,24.3,260,NA,1.7,0.7,NA,4.2,12,NA,0.2,0.1,21.4,NA,NA,FantasySharks,14779,@GBP,0.8,0.5,0.2,0.2,0,0,2.4,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Prescott, Dak",QB,DAL,NA,31,20.9,245,NA,1.9,0.9,NA,3.8,16,NA,0.2,0.1,21.4,NA,NA,FantasySharks,12620,@CAR,0.8,0.5,0.4,0.1,0.1,0,2.4,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stroud, C.J.",QB,HOU,NA,34,21,270,NA,1.5,0.4,NA,2.3,9,NA,0.2,0.4,20.6,NA,NA,FantasySharks,16150,ARI,0.7,0.3,0.2,0,0,0.2,1.9,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tagovailoa, Tua",QB,MIA,NA,33,22.3,270,NA,1.9,0.8,NA,2.6,6,NA,0,0.2,20.5,NA,NA,FantasySharks,14778,LVR,0.7,0.4,0.2,0.2,0.2,0.2,1.8,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Howell, Sam",QB,WAS,NA,37.5,24.4,262,NA,1.6,0.8,NA,3.1,16,NA,0.1,0.2,20.4,NA,NA,FantasySharks,15693,NYG,0.6,0.3,0.3,0.3,0,0.1,4.1,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Goff, Jared",QB,DET,NA,35,23.6,270,NA,1.6,0.5,NA,2,3,NA,0.1,0.1,20.4,NA,NA,FantasySharks,12611,CHI,0.7,0.2,0.4,0.2,0.2,0,1.5,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fields, Justin",QB,CHI,NA,27.3,16.9,190,NA,1.3,0.9,NA,8,48,NA,0.3,0.3,20.1,NA,NA,FantasySharks,15238,@DET,0.5,0.3,0.3,0,0.1,0.1,3.1,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Smith, Geno",QB,SEA,NA,36.3,24.2,265,NA,1.6,0.7,NA,2.8,12,NA,0,0.2,20,NA,NA,FantasySharks,11150,@LAR,0.7,0.4,0.2,0.2,0,0.1,2.2,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Murray, Kyler",QB,ARI,NA,35.9,22.8,217,NA,1,0.7,NA,5.8,35,NA,0.4,0.4,19.9,NA,NA,FantasySharks,14056,@HOU,0.6,0.1,0.2,0,0,0,2.2,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Love, Jordan",QB,GBP,NA,30.7,18.7,210,NA,1.5,0.9,NA,2.5,14,NA,0.1,0,17.8,NA,NA,FantasySharks,14782,LAC,0.7,0.2,0.2,0.2,0,0.1,1.8,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wilson, Russell",QB,DEN,NA,27.8,18.1,195,NA,1.5,0.6,NA,4.4,23,NA,0.1,0.3,17.5,NA,NA,FantasySharks,10703,MIN,0.7,0.5,0.2,0,0,0.1,3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dobbs, Joshua",QB,MIN,NA,26.8,17.9,183,NA,1.2,0.4,NA,3.8,23,NA,0.3,0.5,17.3,NA,NA,FantasySharks,13119,@DEN,0.6,0.2,0.3,0.1,0,0.1,1.8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mayfield, Baker",QB,TBB,NA,32.2,20.7,220,NA,1.3,0.6,NA,3.4,11,NA,0,0,17.2,NA,NA,FantasySharks,13590,@SFO,0.7,0.1,0.3,0.1,0.2,0,2,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stafford, Matthew",QB,LAR,NA,33,21,235,NA,1.4,1,NA,2,8,NA,0.1,0.2,17.1,NA,NA,FantasySharks,9431,SEA,0.6,0.3,0.3,0.1,0,0.1,2.7,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lawrence, Trevor",QB,JAC,NA,32,21.6,225,NA,1,0.7,NA,4.8,24,NA,0.1,0.5,16.8,NA,NA,FantasySharks,15237,TEN,0.4,0.3,0.2,0.1,0.1,0.1,2.3,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Thompson-Robinson, Dorian",QB,CLE,NA,32.4,18.9,207,NA,1,1.1,NA,4.6,21,NA,0.1,0.3,15.5,NA,NA,FantasySharks,16158,PIT,0.4,0.5,0,0,0.1,0,3,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Levis, Will",QB,TEN,NA,29.9,18.1,210,NA,0.9,0.6,NA,2.7,9,NA,0.1,0.1,14.7,NA,NA,FantasySharks,16149,@JAC,0.2,0.3,0.1,0.1,0.1,0.1,3.1,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Young, Bryce",QB,CAR,NA,34.4,21.2,198,NA,1,0.8,NA,2.8,16,NA,0.1,0.2,14.7,NA,NA,FantasySharks,16148,DAL,0.7,0.2,0.1,0,0,0,3.3,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"O'Connell, Aidan",QB,LVR,NA,30,18.9,205,NA,1,0.9,NA,1.8,5,NA,0.1,0.2,14.1,NA,NA,FantasySharks,16159,@MIA,0.6,0.2,0,0.1,0,0,2.1,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wilson, Zach",QB,NYJ,NA,33.5,19.7,210,NA,0.6,0.6,NA,3.1,19,NA,0.1,0.4,13.9,NA,NA,FantasySharks,15239,@BUF,0.3,0.1,0,0,0.1,0.1,3.2,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pickett, Kenny",QB,PIT,NA,30.5,18.8,188,NA,0.6,0.5,NA,3.5,8,NA,0.2,0,13.3,NA,NA,FantasySharks,15692,@CLE,0.2,0.1,0,0,0.1,0.1,1.9,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DeVito, Tommy",QB,NYG,NA,25,16.9,155,NA,0.7,0.8,NA,3.7,19,NA,0.2,0.1,13,NA,NA,FantasySharks,16441,@WAS,0.4,0.2,0,0.1,0,0,4,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mills, Davis",QB,HOU,NA,11.6,7.4,79,NA,0.4,0.4,NA,1.1,4,NA,0.1,0.1,6.2,NA,NA,FantasySharks,15252,ARI,0.2,0.2,0,0,0,0,0.5,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Trubisky, Mitchell",QB,PIT,NA,13,8.1,89,NA,0.4,0.8,NA,1.4,5,NA,0,0,6,NA,NA,FantasySharks,13115,@CLE,0.1,0.1,0.2,0,0,0,0.9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bagent, Tyson",QB,CHI,NA,10.9,7.3,62,NA,0.2,0.3,NA,1.2,6,NA,0.3,0.3,5.4,NA,NA,FantasySharks,16384,@DET,0.2,0,0,0,0,0,0.5,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huntley, Tyler",QB,BAL,NA,7.7,5.2,46,NA,0.3,0.1,NA,2.7,10,NA,0.1,0.1,4.4,NA,NA,FantasySharks,14789,CIN,0.3,0,0,0,0,0,0.4,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tannehill, Ryan",QB,TEN,NA,9.6,5.7,64,NA,0.2,0.3,NA,0.6,2,NA,0,0.1,3.8,NA,NA,FantasySharks,10697,@JAC,0.1,0.1,0,0,0,0,1.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Garoppolo, Jimmy",QB,LVR,NA,9.7,5.9,57,NA,0.2,0.5,NA,0.6,1,NA,0,0,3.5,NA,NA,FantasySharks,11760,@MIA,0.1,0.1,0,0,0,0,0.5,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mariota, Marcus",QB,PHI,NA,3.3,2,23,NA,0.2,0.1,NA,1.1,5,NA,0,0,2.5,NA,NA,FantasySharks,12141,@KCC,0.1,0,0,0,0,0,0.3,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dalton, Andy",QB,CAR,NA,4.2,2.8,34,NA,0.2,0.1,NA,0.6,1,NA,0,0,2.4,NA,NA,FantasySharks,10313,DAL,0.1,0.1,0,0,0,0,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
