player,pos,team,games,rush_att,rush_yds,rush_avg,rush_tds,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,opp,rush_09_tds,rush_1019_tds,rush_2029_tds,rush_3039_tds,rush_4049_tds,rush_50_tds,rec_rz_tgt,rush_50_yds,rush_100_yds,return_yds,scoring_opp,bye,draft_rank,misc_tds,misc_yds,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_ovr,ranks_pos,FanDuel FP,draftkings_site_points,draftkings_salary,draftkings_value,yahoo_site_points,yahoo_salary,yahoo_value,return_tds,two_pts
Jahmyr Gibbs,RB,DET,1,10.6,55.5,5.2,0.4,5.8,4.5,29.4,29.4,6.5,0,0.1,9.2,9.2,3162723,CBS,16162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
James Cook,RB,BUF,1,11.6,56.9,4.9,0.2,2.8,2.3,25.5,25.5,11.1,0.2,0.1,9.2,9.2,2975698,CBS,15715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brian Robinson Jr.,RB,WAS,1,12.8,49.4,3.9,0.3,2.1,1.7,20.2,20.2,11.9,0.2,0.1,8.8,8.8,2741207,CBS,15716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chuba Hubbard,RB,CAR,1,15.2,56.7,3.7,0.5,2.6,2.2,15.1,15.1,6.9,0,0.1,8.8,8.8,2865693,CBS,15261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Najee Harris,RB,PIT,1,14.9,59.8,4,0.4,2.6,1.9,12.9,12.9,6.8,0.1,0.1,8.8,8.8,2741200,CBS,15254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austin Ekeler,RB,LAC,1,11.5,42.1,3.7,0.4,5,3.6,28.6,28.6,7.9,0.1,0.2,8.6,8.6,2820090,CBS,13404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Keaton Mitchell,RB,BAL,1,10,56,5.6,0.3,2.3,1.8,17.7,17.7,9.8,0.1,0.1,8.2,8.2,3164710,CBS,16178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Josh Jacobs,RB,LV,1,13.4,54.8,4.1,0.4,2.5,1.9,15.3,15.3,8.1,0,0.1,8.2,8.2,2257876,CBS,14073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aaron Jones,RB,GB,1,10,40.7,4.1,0.2,4,2.9,24.7,24.7,8.5,0.2,0.1,8.2,8.2,2071937,CBS,13319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jerome Ford,RB,CLE,1,11.8,48.3,4.1,0.2,4.3,3,19,19,6.3,0.3,0.1,7.8,7.8,2966543,CBS,15713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
