player,pos,team,games,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,rush_att,rush_yds,rush_avg,rush_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,opp,rec_rz_tgt,rec_09_tds,rec_1019_tds,rec_2029_tds,rec_3039_tds,rec_4049_tds,rec_50_tds,return_yds,scoring_opp,bye,curr_site_pts,draft_rank,misc_tds,misc_yds,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_ovr,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,draftkings_salary,draftkings_value,yahoo_site_points,return_tds,pass_comp,pass_att,pass_yds,pass_tds,pass_int
Marquez Callaway,WR,LV,NA,NA,0,2.1,NA,NA,0,0,0,NA,0,0,0.2,NA,19505,FantasyPros,15034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tim Jones,WR,JAC,NA,NA,0.1,1.7,NA,NA,0,0,0.1,NA,0,0,0.2,NA,23438,FantasyPros,16005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cam Sims,WR,NYG,NA,NA,0.2,1.7,NA,NA,0,0,0,NA,0,0,0.2,NA,18016,FantasyPros,13895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colton Dowell,WR,TEN,NA,NA,0.2,1.7,NA,NA,0,0,0,NA,0,0,0.2,NA,25467,FantasyPros,16354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andrei Iosivas,WR,CIN,NA,NA,0,1.9,NA,NA,0,0,0.1,NA,0,0,0.2,NA,25335,FantasyPros,16207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lance McCutcheon,WR,HOU,NA,NA,0.1,1.3,NA,NA,0,0,0,NA,0,0,0.2,NA,24812,FantasyPros,15993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dareke Young,WR,SEA,NA,NA,0.1,1.3,NA,NA,0,0,0,NA,0,0,0.2,NA,24570,FantasyPros,15941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trent Taylor,WR,CHI,NA,NA,0,1.2,NA,NA,0,0,0.2,NA,0,0,0.2,NA,16505,FantasyPros,13316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daylen Baldwin,WR,CLE,NA,NA,0.1,1.1,NA,NA,0,0,0,NA,0,0,0.1,NA,25211,FantasyPros,16125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Keelan Cole Sr.,WR,LV,NA,NA,0.1,1.1,NA,NA,0,0,0,NA,0,0,0.1,NA,16864,FantasyPros,13412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maurice Alexander,WR,DET,NA,NA,0.1,0.9,NA,NA,0,0,0,NA,0,0,0.1,NA,25205,FantasyPros,16066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dezmon Patmon,WR,CAR,NA,NA,0.1,0.8,NA,NA,0,0,0,NA,0,0,0.1,NA,19736,FantasyPros,14998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Johnson,WR,LAR,NA,NA,0,1,NA,NA,0,0,0,NA,0,0,0.1,NA,18633,FantasyPros,14864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lawrence Cager,WR,NYG,NA,NA,0,0.9,NA,NA,0,0,0,NA,0,0,0.1,NA,19701,FantasyPros,15041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chosen Anderson,WR,MIA,NA,NA,0,0.8,NA,NA,0,0,0,NA,0,0,0.1,NA,15688,FantasyPros,12930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mike Strachan,WR,IND,NA,NA,0,0.7,NA,NA,0,0,0,NA,0,0,0.1,NA,23395,FantasyPros,15478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kristian Wilkerson,WR,LV,NA,NA,0,0.7,NA,NA,0,0,0,NA,0,0,0.1,NA,19891,FantasyPros,15528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N'Keal Harry,WR,MIN,NA,NA,0,0.6,NA,NA,0,0,0,NA,0,0,0.1,NA,18222,FantasyPros,14101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cade Johnson,WR,SEA,NA,NA,0,0.6,NA,NA,0,0,0,NA,0,0,0.1,NA,22808,FantasyPros,15325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jefferson, Justin",WR,MIN,NA,12,7.6,106,NA,NA,0.5,NA,1,NA,0,0,14.1,NA,NA,FantasySharks,14836,TBB,1.8,0.2,0.2,0.1,0,0,0,0,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hill, Tyreek",WR,MIA,NA,10.5,6.7,92,NA,NA,0.4,NA,2,NA,0.1,0,12.4,NA,NA,FantasySharks,12801,@LAC,0.9,0.2,0,0.1,0,0.1,0.1,1,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chase, Ja'Marr",WR,CIN,NA,11,6,80,NA,NA,0.7,NA,2,NA,0,0.1,12.2,NA,NA,FantasySharks,15281,@CLE,1.4,0.2,0.2,0.2,0.1,0.1,0,0,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brown, A.J.",WR,PHI,NA,9.8,5.6,88,NA,NA,0.5,NA,0,NA,0,0.1,11.9,NA,NA,FantasySharks,14104,@NEP,0.9,0.1,0.1,0.1,0.1,0.1,0.1,1,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adams, Davante",WR,LVR,NA,9.5,6.4,80,NA,NA,0.6,NA,0.1,NA,0,0,11.8,NA,NA,FantasySharks,11675,@DEN,1.5,0.3,0.1,0,0,0.1,0.1,0,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lamb, CeeDee",WR,DAL,NA,9.4,6.5,81,NA,NA,0.5,NA,4,NA,0,0,11.6,NA,NA,FantasySharks,14832,@NYG,1.1,0.2,0.1,0.1,0.1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diggs, Stefon",WR,BUF,NA,8.1,6,72,NA,NA,0.6,NA,-0.1,NA,0,0,10.6,NA,NA,FantasySharks,12186,@NYJ,1.4,0.2,0.2,0,0.1,0.1,0,0,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Doubs, Romeo",WR,GBP,NA,6.5,4.4,63,NA,NA,0.6,NA,2,NA,0.1,0.1,10.6,NA,NA,FantasySharks,15779,@CHI,1.2,0.2,0.3,0.1,0.1,0,0.1,1,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allen, Keenan",WR,LAC,NA,10.5,7.3,81,NA,NA,0.4,NA,0,NA,0,0,10.5,NA,NA,FantasySharks,11222,MIA,1.5,0.3,0.1,0,0.1,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Waddle, Jaylen",WR,MIA,NA,7.9,5.1,78,NA,NA,0.4,NA,1,NA,0,0,10.3,NA,NA,FantasySharks,15284,@LAC,0.6,0.2,0,0,0,0,0.1,4,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higgins, Tee",WR,CIN,NA,7.2,5,70,NA,NA,0.5,NA,0,NA,0,0,10.2,NA,NA,FantasySharks,14835,@CLE,0.8,0.2,0.1,0.1,0,0.1,0.1,0,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cooper, Amari",WR,CLE,NA,8,5,70,NA,NA,0.5,NA,0.1,NA,0,0,9.9,NA,NA,FantasySharks,12175,CIN,1.1,0.2,0.1,0.1,0.1,0.1,0,0,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Metcalf, DK",WR,SEA,NA,9,5.5,67,NA,NA,0.5,NA,0.1,NA,0,0.1,9.7,NA,NA,FantasySharks,14102,LAR,1.5,0.2,0.2,0.1,0,0,0.1,0,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"St. Brown, Amon-Ra",WR,DET,NA,8.9,6.2,68,NA,NA,0.4,NA,4,NA,0,0,9.7,NA,NA,FantasySharks,15287,@KCC,1.4,0.2,0.1,0,0,0,0,0,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hopkins, DeAndre",WR,TEN,NA,8,6,70,NA,NA,0.5,NA,0,NA,0,0.1,9.7,NA,NA,FantasySharks,11232,@NOS,0.8,0.1,0.1,0.1,0.1,0,0.1,0,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Olave, Chris",WR,NOS,NA,9,5,71,NA,NA,0.5,NA,0,NA,0,0.1,9.6,NA,NA,FantasySharks,15754,TEN,0.8,0.1,0.2,0.1,0,0,0.1,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Smith, DeVonta",WR,PHI,NA,8.7,5.7,74,NA,NA,0.4,NA,0.1,NA,0,0,9.6,NA,NA,FantasySharks,15282,@NEP,1,0.2,0.1,0,0.1,0.1,0,0,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Evans, Mike",WR,TBB,NA,8.4,5,60,NA,NA,0.6,NA,0,NA,0,0,9.6,NA,NA,FantasySharks,11671,@MIN,1.2,0.3,0.1,0,0.1,0.1,0.1,0,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wilson, Garrett",WR,NYJ,NA,9.2,6,72,NA,NA,0.4,NA,1,NA,0,0.1,9.4,NA,NA,FantasySharks,15753,BUF,1.2,0.1,0,0.1,0.1,0,0.1,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lockett, Tyler",WR,SEA,NA,7.6,4.8,64,NA,NA,0.5,NA,0,NA,0,0,9.4,NA,NA,FantasySharks,12187,LAR,0.6,0.1,0,0,0.2,0.1,0,0,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Samuel, Deebo",WR,SFO,NA,5.7,3.4,45,NA,NA,0.2,NA,22,NA,0.3,0.1,9.3,NA,NA,FantasySharks,14136,@PIT,0.6,0.1,0,0,0,0.1,0,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kirk, Christian",WR,JAC,NA,8.6,5.3,66,NA,NA,0.4,NA,2,NA,0,0,9.2,NA,NA,FantasySharks,13633,@IND,1.2,0.2,0.1,0.1,0,0,0,0,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Valdes-Scantling, Marquez",WR,KCC,NA,5.9,3.9,57,NA,NA,0.5,NA,1,NA,0.1,0,8.9,NA,NA,FantasySharks,13793,DET,1.2,0.3,0.1,0,0,0,0,0,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Williams, Mike",WR,LAC,NA,7.7,4.9,70,NA,NA,0.3,NA,0,NA,0,0,8.8,NA,NA,FantasySharks,13154,MIA,1.2,0,0.2,0,0,0,0,0,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moore, D.J.",WR,CHI,NA,6.6,3.8,54,NA,NA,0.5,NA,3,NA,0,0,8.8,NA,NA,FantasySharks,13635,GBP,0.7,0.3,0.1,0.1,0,0,0,1,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"London, Drake",WR,ATL,NA,8.4,5.1,61,NA,NA,0.3,NA,5,NA,0.1,0.1,8.5,NA,NA,FantasySharks,15751,CAR,1.3,0.2,0.1,0,0,0,0,2,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Godwin, Chris",WR,TBB,NA,9.5,7,68,NA,NA,0.3,NA,1,NA,0,0.1,8.5,NA,NA,FantasySharks,13163,@MIN,1.2,0.2,0.1,0,0,0,0,0,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Addison, Jordan",WR,MIN,NA,7.1,4.5,55,NA,NA,0.5,NA,0,NA,0,0,8.4,NA,NA,FantasySharks,16186,TBB,1.2,0.2,0.1,0.1,0,0.1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brown, Marquise",WR,ARI,NA,9,6.5,65,NA,NA,0.3,NA,1,NA,0,0,8.2,NA,NA,FantasySharks,14105,@WAS,1.1,0.1,0,0.1,0,0,0.1,0,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Collins, Nico",WR,HOU,NA,7.7,4.1,55,NA,NA,0.4,NA,0,NA,0,0,8.2,NA,NA,FantasySharks,15290,@BAL,1,0.2,0.2,0,0,0,0,0,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"McLaurin, Terry",WR,WAS,NA,7,4.5,62,NA,NA,0.3,NA,1,NA,0,0,8.2,NA,NA,FantasySharks,14109,ARI,0.6,0,0.1,0,0.1,0.1,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pickens, George",WR,PIT,NA,6.4,3.5,55,NA,NA,0.3,NA,3,NA,0.1,0,7.9,NA,NA,FantasySharks,15762,SFO,0.9,0.1,0.1,0,0.1,0,0,1,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pittman, Michael",WR,IND,NA,8,6,60,NA,NA,0.3,NA,2,NA,0,0,7.8,NA,NA,FantasySharks,14842,JAC,0.8,0.1,0.1,0,0,0,0,0,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jeudy, Jerry",WR,DEN,NA,6.8,4.4,62,NA,NA,0.2,NA,2,NA,0,0,7.7,NA,NA,FantasySharks,14833,LVR,0.7,0.1,0,0.1,0,0,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ridley, Calvin",WR,JAC,NA,7.5,5.5,52,NA,NA,0.4,NA,1,NA,0,0,7.7,NA,NA,FantasySharks,13629,@IND,0.9,0.2,0.1,0.1,0,0,0,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Johnson, Diontae",WR,PIT,NA,10.9,5.9,62,NA,NA,0.2,NA,2,NA,0,0.1,7.6,NA,NA,FantasySharks,14208,SFO,1.5,0,0.1,0,0,0,0,0,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Smith-Schuster, JuJu",WR,NEP,NA,6.8,4.9,58,NA,NA,0.3,NA,-0.2,NA,0,0.2,7.5,NA,NA,FantasySharks,13156,PHI,1.1,0.1,0,0,0,0.1,0,0,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sutton, Courtland",WR,DEN,NA,8.2,5,60,NA,NA,0.2,NA,0,NA,0,0,7.5,NA,NA,FantasySharks,13630,LVR,1.1,0.1,0.1,0.1,0,0,0,0,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dotson, Jahan",WR,WAS,NA,6,4,50,NA,NA,0.4,NA,3,NA,0,0,7.5,NA,NA,FantasySharks,15755,ARI,0.6,0.1,0.1,0.1,0,0,0,1,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jones, Zay",WR,JAC,NA,7.9,5.3,55,NA,NA,0.2,NA,1,NA,0,0,7.1,NA,NA,FantasySharks,13176,@IND,1,0.1,0,0.1,0,0,0.1,0,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Smith-Njigba, Jaxon",WR,SEA,NA,5.2,3.2,39,NA,NA,0.5,NA,2,NA,0,0,7,NA,NA,FantasySharks,16185,LAR,0.6,0,0.2,0.1,0.1,0,0,6,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Meyers, Jakobi",WR,LVR,NA,7,4,50,NA,NA,0.3,NA,0,NA,0,0.1,6.8,NA,NA,FantasySharks,14127,@DEN,0.9,0.2,0,0,0.1,0.1,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aiyuk, Brandon",WR,SFO,NA,5.6,3.6,50,NA,NA,0.3,NA,1,NA,0,0,6.7,NA,NA,FantasySharks,14840,@PIT,0.6,0.1,0.1,0,0.1,0,0,0,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bateman, Rashod",WR,BAL,NA,6.5,4.2,51,NA,NA,0.3,NA,0,NA,0,0.1,6.7,NA,NA,FantasySharks,15293,HOU,0.4,0.1,0,0.1,0,0,0.1,0,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Davis, Gabriel",WR,BUF,NA,5.5,2.7,43,NA,NA,0.4,NA,0,NA,0,0.1,6.7,NA,NA,FantasySharks,14845,@NYJ,1.2,0.1,0.2,0.1,0,0,0.1,0,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Osborn, K.J.",WR,MIN,NA,5.9,3.5,41,NA,NA,0.4,NA,0,NA,0,0,6.4,NA,NA,FantasySharks,14977,TBB,0.8,0.2,0.1,0.1,0,0,0,0,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Parker, DeVante",WR,NEP,NA,4.3,2.9,44,NA,NA,0.3,NA,0,NA,0,0,6.3,NA,NA,FantasySharks,12176,PHI,0.4,0.1,0,0.1,0,0.1,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jefferson, Van",WR,LAR,NA,5.8,3.3,46,NA,NA,0.3,NA,1,NA,0,0,6.3,NA,NA,FantasySharks,14858,@SEA,0.6,0.2,0,0.1,0,0,0,0,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Robinson, Wan'Dale",WR,NYG,NA,5.9,3.8,44,NA,NA,0.3,NA,0,NA,0,0,6.2,NA,NA,FantasySharks,15757,DAL,0.6,0.2,0,0.1,0,0,0.1,0,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Raymond, Kalif",WR,DET,NA,5.1,3.5,53,NA,NA,0.1,NA,2,NA,0,0,6.2,NA,NA,FantasySharks,13066,@KCC,0.7,0.1,0,0,0,0,0,1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Slayton, Darius",WR,NYG,NA,6.2,3.5,50,NA,NA,0.2,NA,-0.5,NA,0,0.1,6,NA,NA,FantasySharks,14122,DAL,0.3,0,0,0.1,0,0,0,0,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Peoples-Jones, Donovan",WR,CLE,NA,5.6,3.3,47,NA,NA,0.2,NA,0,NA,0,0,6,NA,NA,FantasySharks,14857,CIN,0.7,0.1,0.1,0,0,0,0,0,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cooks, Brandin",WR,DAL,NA,6.7,3.9,42,NA,NA,0.2,NA,0,NA,0,0,5.7,NA,NA,FantasySharks,11674,@NYG,0.9,0.1,0.1,0,0,0,0,0,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lazard, Allen",WR,NYJ,NA,5.8,3.3,44,NA,NA,0.2,NA,0,NA,0,0,5.7,NA,NA,FantasySharks,13632,BUF,0.8,0.1,0.1,0.1,0,0,0,0,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Thomas, Michael",WR,NOS,NA,4.8,3.1,40,NA,NA,0.2,NA,1,NA,0,0,5.6,NA,NA,FantasySharks,12652,TEN,0.4,0.1,0,0.1,0,0,0,7,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moore, Rondale",WR,ARI,NA,8.1,5.3,51,NA,NA,0.1,NA,1,NA,0,0,5.6,NA,NA,FantasySharks,15283,@WAS,1,0,0,0.1,0,0,0,5,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mooney, Darnell",WR,CHI,NA,6.2,3.5,46,NA,NA,0.1,NA,1,NA,0,0,5.6,NA,NA,FantasySharks,14974,GBP,0.7,0.1,0.1,0,0,0,0,4,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Campbell, Parris",WR,NYG,NA,5.8,3.8,42,NA,NA,0.2,NA,1,NA,0,0,5.5,NA,NA,FantasySharks,14112,DAL,0.5,0.1,0,0,0,0,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
