player,pos,team,games,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,rush_att,rush_yds,rush_avg,rush_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,opp,rec_rz_tgt,rec_09_tds,rec_1019_tds,rec_2029_tds,rec_3039_tds,rec_4049_tds,rec_50_tds,return_yds,scoring_opp,bye,draft_rank,misc_tds,misc_yds,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_ovr,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,draftkings_salary,draftkings_value,yahoo_site_points,yahoo_salary,yahoo_value,return_tds
Alec Pierce,WR,IND,NA,NA,2.52,35.93,NA,NA,0.17,0,0,NA,0,NA,4.59,NA,alec-pierce,NumberFire,15768,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.14,9.32,#23,135,52,5.83,5100,1.14,7.12,3300,2.16,5.83,11,0.53,NA
Darius Slayton,WR,NYG,NA,NA,2.61,39.61,NA,NA,0.1,0,0,NA,0,NA,4.55,NA,darius-slayton,NumberFire,14122,DAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.16,9.26,#4,139,54,5.83,5500,1.06,7.16,3200,2.24,5.83,10,0.58,NA
Noah Brown,WR,HOU,NA,NA,2.52,34.15,NA,NA,0.17,0,0,NA,0,NA,4.38,NA,noah-brown,NumberFire,13172,CIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.27,9.03,#17,140,55,5.66,5400,1.05,6.95,3700,1.88,5.66,13,0.44,NA
Brandon Powell,WR,MIN,NA,NA,3.02,29.2,NA,NA,0.2,0.51,2.48,NA,0.02,NA,4.33,NA,brandon-powell,NumberFire,13910,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.3,8.96,#6,141,56,5.9,5200,1.13,7.47,3200,2.33,5.9,10,0.59,NA
Terrace Marshall Jr.,WR,CAR,NA,NA,3.04,36.13,NA,NA,0.13,0,0,NA,0,NA,4.31,NA,terrace-marshall-jr,NumberFire,15308,CHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.32,8.94,#29,142,57,5.83,4600,1.27,7.4,3000,2.47,5.83,10,0.58,NA
Wan'Dale Robinson,WR,NYG,NA,NA,2.85,33.95,NA,NA,0.1,0.28,1.59,NA,0.01,NA,4.16,NA,wan-dale-robinson,NumberFire,15757,DAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.41,8.73,#4,144,58,5.64,5700,0.99,7.07,3700,1.91,5.64,10,0.56,NA
Odell Beckham,WR,BAL,NA,NA,2.37,28.12,NA,NA,0.22,0,0,NA,0,NA,4.11,NA,odell-beckham,NumberFire,11679,CLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.45,8.67,#1,147,59,5.32,5500,0.97,6.51,3800,1.71,5.32,10,0.53,NA
Elijah Moore,WR,CLE,NA,NA,2.72,30.94,NA,NA,0.14,0,0,NA,0,NA,3.9,NA,elijah-moore,NumberFire,15288,BAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.58,8.38,#2,150,60,5.27,5400,0.98,6.65,3600,1.85,5.27,12,0.44,NA
Trey Palmer,WR,TB,NA,NA,2.4,28.7,NA,NA,0.16,0,0,NA,0,NA,3.79,NA,trey-palmer,NumberFire,16199,TEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.65,8.23,#26,155,61,4.97,5100,0.97,6.21,3200,1.94,4.97,12,0.41,NA
Josh Reynolds,WR,DET,NA,NA,1.88,27.21,NA,NA,0.17,0,0,NA,0,NA,3.73,NA,josh-reynolds,NumberFire,13168,LAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.69,8.15,#25,157,62,4.66,6100,0.76,5.61,3800,1.48,4.66,17,0.27,NA
Kalif Raymond,WR,DET,NA,NA,1.96,26.85,NA,NA,0.15,0.28,1.5,NA,0.01,NA,3.65,NA,kalif-raymond,NumberFire,13066,LAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.74,8.04,#25,160,63,4.64,4800,0.97,5.69,3100,1.84,4.64,12,0.39,NA
Drake London,WR,ATL,NA,NA,2.23,27.29,NA,NA,0.16,0,0,NA,0,NA,3.64,NA,drake-london,NumberFire,15751,ARI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.75,8.03,#31,161,64,4.76,6500,0.73,5.9,5500,1.07,4.76,19,0.25,NA
Van Jefferson,WR,ATL,NA,NA,1.81,26.6,NA,NA,0.13,0,0,NA,0,NA,3.42,NA,van-jefferson,NumberFire,14858,ARI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.89,7.73,#31,163,65,4.31,5000,0.86,5.23,3300,1.58,4.31,10,0.43,NA
Khalil Shakir,WR,BUF,NA,NA,2.23,25.14,NA,NA,0.15,0,0,NA,0,NA,3.37,NA,khalil-shakir,NumberFire,15761,DEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.93,7.67,#32,165,66,4.47,5200,0.86,5.61,3300,1.7,4.47,14,0.32,NA
Marvin Mims,WR,DEN,NA,NA,1.62,21.6,NA,NA,0.13,0.54,3.03,NA,0.01,NA,3.3,NA,marvin-mims,NumberFire,16189,BUF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.97,7.57,#14,167,67,4.07,4900,0.83,4.9,NA,NA,4.07,NA,NA,NA
Jalin Hyatt,WR,NYG,NA,NA,2.07,28.24,NA,NA,0.07,0,0,NA,0,NA,3.17,NA,jalin-hyatt,NumberFire,16183,DAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.06,7.4,#4,169,68,4.22,4900,0.86,5.28,3000,1.76,4.22,10,0.42,NA
Nick Westbrook-Ikhine,WR,TEN,NA,NA,2.01,25.79,NA,NA,0.1,0,0,NA,0,NA,3.16,NA,nick-westbrook-ikhine,NumberFire,15109,TB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.06,7.38,#21,170,69,4.14,5400,0.77,5.17,3400,1.52,4.14,13,0.32,NA
Tyquan Thornton,WR,NE,NA,NA,2.11,23.72,NA,NA,0.13,0,0,NA,0,NA,3.11,NA,tyquan-thornton,NumberFire,15787,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.09,7.31,#15,173,70,4.17,4600,0.91,5.24,3000,1.75,4.17,10,0.42,NA
Josh Downs,WR,IND,NA,NA,1.75,22.94,NA,NA,0.13,0,0,NA,0,NA,3.07,NA,josh-downs,NumberFire,16187,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.12,7.26,#23,174,71,3.93,6000,0.66,4.81,5000,0.96,3.93,21,0.19,NA
Jameson Williams,WR,DET,NA,NA,1.71,21.86,NA,NA,0.14,0,0,NA,0,NA,3.02,NA,jameson-williams,NumberFire,15756,LAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.15,7.19,#25,177,72,3.84,5400,0.71,4.72,3400,1.39,3.84,12,0.32,NA
Rashod Bateman,WR,BAL,NA,NA,1.92,22.27,NA,NA,0.13,0,0,NA,0,NA,2.99,NA,rashod-bateman,NumberFire,15293,CLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.17,7.15,#1,180,73,3.95,5200,0.76,4.92,3200,1.54,3.95,10,0.4,NA
Mack Hollins,WR,ATL,NA,NA,1.67,22.22,NA,NA,0.12,0,0,NA,0,NA,2.9,NA,mack-hollins,NumberFire,13289,ARI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.23,7.03,#31,181,74,3.76,5500,0.68,4.6,3500,1.31,3.76,10,0.38,NA
Isaiah McKenzie,WR,IND,NA,NA,1.83,19.95,NA,NA,0.12,0.3,1.68,NA,0.01,NA,2.86,NA,isaiah-mckenzie-1,NumberFire,13313,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.26,6.98,#23,183,75,3.72,4600,0.81,4.7,3000,1.57,3.72,10,0.37,NA
Allen Robinson,WR,PIT,NA,NA,1.91,20.25,NA,NA,0.13,0,0,NA,0,NA,2.81,NA,allen-robinson,NumberFire,11678,GB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.29,6.91,#16,185,76,3.76,4700,0.8,4.72,3000,1.57,3.76,10,0.38,NA
Robert Woods,WR,HOU,NA,NA,1.78,20.68,NA,NA,0.12,0,0,NA,0,NA,2.76,NA,robert-woods-1,NumberFire,11228,CIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.32,6.84,#17,186,77,3.66,5300,0.69,4.56,4000,1.14,3.66,16,0.23,NA
Kyle Philips,WR,TEN,NA,NA,1.8,21.84,NA,NA,0.11,0,0,NA,0,NA,2.75,NA,kyle-philips,NumberFire,15901,TB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.33,6.83,#21,187,78,3.66,5000,0.73,4.6,3000,1.53,3.66,10,0.37,NA
Andrei Iosivas,WR,CIN,NA,NA,1.45,17.48,NA,NA,0.16,0,0,NA,0,NA,2.65,NA,andrei-iosivas,NumberFire,16207,HOU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.39,6.69,#22,188,79,3.39,4900,0.69,4.14,3000,1.38,3.39,10,0.34,NA
John Metchie III,WR,HOU,NA,NA,1.64,20.23,NA,NA,0.11,0,0,NA,0,NA,2.63,NA,john-metchie-iii,NumberFire,15759,CIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.41,6.67,#17,189,80,3.46,4500,0.77,4.3,3000,1.43,3.46,10,0.35,NA
Chris Moore,WR,TEN,NA,NA,1.65,19.68,NA,NA,0.09,0,0,NA,0,NA,2.5,NA,chris-moore,NumberFire,12773,TB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.49,6.49,#21,192,81,3.29,4800,0.69,4.14,3000,1.38,3.29,10,0.33,NA
K.J. Osborn,WR,MIN,NA,NA,1.74,18.67,NA,NA,0.1,0,0,NA,0,NA,2.44,NA,k-j-osborn,NumberFire,14977,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.53,6.41,#6,194,82,3.3,5600,0.59,4.19,4200,1,3.3,15,0.22,NA
Khadarel Hodge,WR,ATL,NA,NA,1.34,18.44,NA,NA,0.08,0,0,NA,0,NA,2.33,NA,khadarel-hodge,NumberFire,13963,ARI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.6,6.26,#31,198,83,2.95,5400,0.55,3.64,3400,1.07,2.95,11,0.27,NA
Dontayvion Wicks,WR,GB,NA,NA,1.29,18.03,NA,NA,0.09,0,0,NA,0,NA,2.32,NA,dontayvion-wicks,NumberFire,16195,PIT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.61,6.25,#8,201,84,2.95,5100,0.58,3.61,3300,1.09,2.95,11,0.27,NA
Hunter Renfrow,WR,LV,NA,NA,2.07,19.3,NA,NA,0.08,0,0,NA,0,NA,2.29,NA,hunter-renfrow,NumberFire,14123,NYJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.63,6.21,#7,203,85,3.35,4900,0.68,4.43,3000,1.48,3.35,10,0.34,NA
Curtis Samuel,WR,WSH,NA,NA,1.51,15.14,NA,NA,0.08,0.37,2.12,NA,0.01,NA,2.26,NA,curtis-samuel,NumberFire,13157,SEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.65,6.17,#12,204,86,3,6000,0.5,3.77,3900,0.97,3,17,0.18,NA
Jamison Crowder,WR,WSH,NA,NA,1.78,16.89,NA,NA,0.1,0,0,NA,0,NA,2.25,NA,jamison-crowder,NumberFire,12184,SEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.65,6.15,#12,205,87,3.16,5300,0.6,4.06,3400,1.19,3.16,13,0.24,NA
