player,pos,team,games,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,rush_att,rush_yds,rush_avg,rush_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,opp,rec_rz_tgt,rec_09_tds,rec_1019_tds,rec_2029_tds,rec_3039_tds,rec_4049_tds,rec_50_tds,return_yds,scoring_opp,bye,draft_rank,misc_tds,misc_yds,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_ovr,ranks_pos,FanDuel FP,draftkings_site_points,yahoo_site_points,return_tds
"Bobo, Jake",WR,SEA,NA,1.6,1,12,NA,NA,0.1,NA,1,NA,0.1,0,2.3,NA,NA,FantasySharks,16393,@BAL,0.2,0.1,0,0,0,0,0,2,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Renfrow, Hunter",WR,LVR,NA,3.7,2.2,21,NA,NA,0,NA,0,NA,0,0,2.3,NA,NA,FantasySharks,14123,NYG,0.6,0,0,0,0,0,0,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Skowronek, Ben",WR,LAR,NA,2.5,1.4,15,NA,NA,0.1,NA,1,NA,0,0,2.3,NA,NA,FantasySharks,15491,@GBP,0.3,0,0,0.1,0,0,0,1,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Beckham, Odell",WR,BAL,NA,4.6,2,21,NA,NA,0,NA,0,NA,0,0,2.3,NA,NA,FantasySharks,11679,SEA,1,0,0,0,0,0,0,3,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Shakir, Khalil",WR,BUF,NA,1.9,1.5,18,NA,NA,0.1,NA,-0.1,NA,0,0,2.2,NA,NA,FantasySharks,15761,@CIN,0.1,0,0,0,0,0,0,1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Irwin, Trenton",WR,CIN,NA,1.6,1.1,14,NA,NA,0.1,NA,1,NA,0,0,2.2,NA,NA,FantasySharks,14551,BUF,0.3,0.1,0,0,0,0.1,0,1,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Robinson, Allen",WR,PIT,NA,3.8,2.4,20,NA,NA,0,NA,1,NA,0,0,2.1,NA,NA,FantasySharks,11678,TEN,0.4,0,0,0,0,0,0,1,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wicks, Dontayvion",WR,GBP,NA,2.6,1.2,16,NA,NA,0.1,NA,0,NA,0,0,2,NA,NA,FantasySharks,16195,LAR,0.4,0,0,0,0.1,0,0,1,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zaccheaus, Olamide",WR,PHI,NA,2.9,1.4,15,NA,NA,0.1,NA,0,NA,0,0,2,NA,NA,FantasySharks,14592,DAL,0.4,0,0,0,0.1,0,0,1,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cracraft, River",WR,MIA,NA,1.3,0.8,11,NA,NA,0.1,NA,0,NA,0,0,2,NA,NA,FantasySharks,13862,@KCC,0.3,0.1,0,0,0,0,0,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Shenault, Laviska",WR,CAR,NA,1.6,1.3,10,NA,NA,0,NA,7,NA,0,0,1.9,NA,NA,FantasySharks,14838,IND,0.1,0,0,0,0,0,0,15,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hyatt, Jalin",WR,NYG,NA,2.1,1,20,NA,NA,0,NA,0,NA,0,0,1.9,NA,NA,FantasySharks,16183,@LVR,0.1,0,0,0,0,0,0,1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Metchie, John",WR,HOU,NA,2.2,1.6,17,NA,NA,0,NA,1,NA,0,0,1.9,NA,NA,FantasySharks,15759,TBB,0.3,0,0,0,0,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hardman, Mecole",WR,KCC,NA,2.5,1.3,13,NA,NA,0.1,NA,1,NA,0,0,1.9,NA,NA,FantasySharks,14113,MIA,0.5,0,0,0,0,0,0,2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Johnston, Quentin",WR,LAC,NA,3,1.8,18,NA,NA,0,NA,0,NA,0,0,1.8,NA,NA,FantasySharks,16188,@NYJ,0.6,0,0,0,0,0,0,2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Duvernay, Devin",WR,BAL,NA,2.2,1.1,11,NA,NA,0,NA,4,NA,0,0,1.8,NA,NA,FantasySharks,14847,SEA,0.3,0,0,0,0,0,0,14,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turpin, KaVontae",WR,DAL,NA,1,0.6,5,NA,NA,0,NA,4,NA,0.1,0,1.7,NA,NA,FantasySharks,15981,@PHI,0.6,0,0,0,0,0,0,34,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Thompkins, Deven",WR,TBB,NA,2.7,1.7,11,NA,NA,0.1,NA,2,NA,0,0.1,1.5,NA,NA,FantasySharks,15977,@HOU,0.4,0.1,0,0,0,0,0,20,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brown, Dyami",WR,WAS,NA,1.8,0.9,13,NA,NA,0,NA,1,NA,0,0,1.5,NA,NA,FantasySharks,15292,@NEP,0.2,0,0,0,0,0,0,6,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jones, Julio",WR,PHI,NA,1.7,0.9,8,NA,NA,0.1,NA,1,NA,0,0,1.5,NA,NA,FantasySharks,10271,DAL,0.5,0.1,0,0,0,0,0,2,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"McKenzie, Isaiah",WR,IND,NA,1.9,1.1,11,NA,NA,0,NA,2,NA,0,0,1.4,NA,NA,FantasySharks,13313,@CAR,0.2,0,0,0,0,0,0,4,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dortch, Greg",WR,ARI,NA,1.7,1.1,9,NA,NA,0.1,NA,1,NA,0,0,1.3,NA,NA,FantasySharks,14108,@CLE,0.2,0.1,0,0,0,0,0,9,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Harty, Deonte",WR,BUF,NA,1.2,0.9,9,NA,NA,0.1,NA,0,NA,0,0,1.3,NA,NA,FantasySharks,14558,@CIN,0.2,0.1,0,0,0,0,0,1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Claypool, Chase",WR,MIA,NA,2.2,0.9,11,NA,NA,0,NA,1,NA,0,0,1.3,NA,NA,FantasySharks,14841,@KCC,0.2,0,0,0,0,0,0,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scott, Tyler",WR,CHI,NA,2.2,1,9,NA,NA,0,NA,3,NA,0,0,1.3,NA,NA,FantasySharks,16205,@NOS,0.2,0,0,0,0,0,0,7,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Robinson, Demarcus",WR,LAR,NA,2.2,1.3,11,NA,NA,0,NA,0,NA,0,0,1.2,NA,NA,FantasySharks,12785,@GBP,0.3,0,0,0,0,0,0,5,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boutte, Kayshon",WR,NEP,NA,2.8,1.1,13,NA,NA,0,NA,-0.1,NA,0,0.1,1.2,NA,NA,FantasySharks,16193,WAS,0.3,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tolbert, Jalen",WR,DAL,NA,2.6,1.2,12,NA,NA,0,NA,1,NA,0,0,1.2,NA,NA,FantasySharks,15788,@PHI,0.2,0,0,0,0,0,0,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pascal, Zach",WR,ARI,NA,1.8,1,9,NA,NA,0,NA,2,NA,0,0,1.2,NA,NA,FantasySharks,13488,@CLE,0.1,0,0,0,0,0,0,2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Thornton, Tyquan",WR,NEP,NA,2.1,1.1,10,NA,NA,0,NA,0,NA,0,0,1.2,NA,NA,FantasySharks,15787,WAS,0.2,0,0,0,0,0,0,3,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Philips, Kyle",WR,TEN,NA,1.8,1,11,NA,NA,0,NA,0,NA,0,0,1.1,NA,NA,FantasySharks,15901,@PIT,0.3,0,0,0,0,0,0,4,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jones, Velus",WR,CHI,NA,1.3,0.6,5,NA,NA,0,NA,3,NA,0,0,1.1,NA,NA,FantasySharks,15767,@NOS,0.2,0,0,0,0,0,0,26,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Shepard, Sterling",WR,NYG,NA,2.5,1.3,10,NA,NA,0,NA,0,NA,0,0,1.1,NA,NA,FantasySharks,12658,@LVR,0.2,0,0,0,0,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Austin III, Calvin",WR,PIT,NA,2.3,1.2,9,NA,NA,0,NA,2,NA,0,0,1,NA,NA,FantasySharks,15777,TEN,0.1,0,0,0,0,0,0,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cobb, Randall",WR,NYJ,NA,2.2,1,8,NA,NA,0,NA,1,NA,0,0,1,NA,NA,FantasySharks,10308,LAC,0.5,0,0,0,0,0,0,3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bell, David",WR,CLE,NA,2.2,1.3,10,NA,NA,0,NA,0,NA,0,0,1,NA,NA,FantasySharks,15758,ARI,0.1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Davis, Derius",WR,LAC,NA,1.3,0.9,6,NA,NA,0,NA,4,NA,0,0,0.9,NA,NA,FantasySharks,16299,@NYJ,0.1,0,0,0,0,0,0,4,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"James, Richie",WR,KCC,NA,1.5,0.9,7,NA,NA,0,NA,0,NA,0,0,0.9,NA,NA,FantasySharks,13724,MIA,0.2,0,0,0,0,0,0,1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Harry, N'Keal",WR,MIN,NA,1.7,0.8,8,NA,NA,0,NA,0.1,NA,0,0,0.8,NA,NA,FantasySharks,14101,@ATL,0.1,0,0,0,0,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jones, Charlie",WR,CIN,NA,1.1,0.5,5,NA,NA,0.1,NA,0.1,NA,0,0,0.8,NA,NA,FantasySharks,16203,BUF,0.2,0.1,0,0,0,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nailor, Jalen",WR,MIN,NA,1.5,0.7,7,NA,NA,0,NA,0,NA,0,0,0.8,NA,NA,FantasySharks,15786,@ATL,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pringle, Byron",WR,WAS,NA,1,0.5,5,NA,NA,0,NA,0,NA,0,0,0.7,NA,NA,FantasySharks,13863,@NEP,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gipson, Xavier",WR,NYJ,NA,1,0.4,3,NA,NA,0,NA,3,NA,0,0,0.7,NA,NA,FantasySharks,16416,LAC,0.1,0,0,0,0,0,0,22,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tucker, Tre",WR,LVR,NA,1.2,0.5,4,NA,NA,0,NA,3,NA,0,0,0.7,NA,NA,FantasySharks,16287,NYG,0.2,0,0,0,0,0,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Toure, Samori",WR,GBP,NA,1,0.3,5,NA,NA,0,NA,0,NA,0,0,0.7,NA,NA,FantasySharks,15841,LAR,0.2,0,0,0,0,0,0,7,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Guyton, Jalen",WR,LAC,NA,1.1,0.7,3,NA,NA,0,NA,1,NA,0,0,0.6,NA,NA,FantasySharks,14337,@NYJ,0.1,0,0,0,0,0,0,6,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Reagor, Jalen",WR,NEP,NA,0.8,0.4,5,NA,NA,0,NA,1,NA,0,0,0.6,NA,NA,FantasySharks,14839,WAS,0.1,0,0,0,0,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carter, DeAndre",WR,LVR,NA,1.2,0.6,6,NA,NA,0,NA,0,NA,0,0,0.6,NA,NA,FantasySharks,12394,NYG,0.2,0,0,0,0,0,0,22,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crowder, Jamison",WR,WAS,NA,0.4,0.3,4,NA,NA,0,NA,0,NA,0,0,0.5,NA,NA,FantasySharks,12184,@NEP,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ezukanma, Erik",WR,MIA,NA,0.7,0.2,3,NA,NA,0,NA,2,NA,0,0,0.5,NA,NA,FantasySharks,15780,@KCC,0.1,0,0,0,0,0,0,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tillman, Cedric",WR,CLE,NA,1.9,0.6,3,NA,NA,0,NA,2,NA,0,0,0.5,NA,NA,FantasySharks,16191,ARI,0.3,0,0,0,0,0,0,3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kirkwood, Keith",WR,NOS,NA,1.2,0.4,4,NA,NA,0,NA,0,NA,0,0,0.5,NA,NA,FantasySharks,13882,CHI,0.2,0,0,0,0,0,0,2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ross, Justyn",WR,KCC,NA,1.3,0.5,4,NA,NA,0,NA,0.1,NA,0,0,0.4,NA,NA,FantasySharks,15763,MIA,0.4,0,0,0,0,0,0,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Milne, Dax",WR,WAS,NA,0.7,0.3,2,NA,NA,0,NA,0.1,NA,0,0,0.4,NA,NA,FantasySharks,15326,@NEP,0.1,0,0,0,0,0,0,3,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hollister, Cody",WR,TEN,NA,0.5,0.2,4,NA,NA,0,NA,0,NA,0,0,0.4,NA,NA,FantasySharks,13851,@PIT,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jarrett, Rakim",WR,TBB,NA,1.2,0.5,3,NA,NA,0,NA,0,NA,0,0,0.3,NA,NA,FantasySharks,16198,@HOU,0,0,0,0,0,0,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Woods, Michael",WR,CLE,NA,0.5,0.3,2,NA,NA,0,NA,0,NA,0,0,0.2,NA,NA,FantasySharks,15792,ARI,0,0,0,0,0,0,0,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wallace, Tylan",WR,BAL,NA,0.7,0.3,2,NA,NA,0,NA,0,NA,0,0,0.2,NA,NA,FantasySharks,15285,SEA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hutchinson, Xavier",WR,HOU,NA,0.7,0.3,2,NA,NA,0,NA,0,NA,0,0,0.2,NA,NA,FantasySharks,16201,TBB,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jackson, Trishton",WR,MIN,NA,0.2,0.2,2,NA,NA,0,NA,0,NA,0,0,0.2,NA,NA,FantasySharks,14859,@ATL,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boykin, Miles",WR,PIT,NA,0.8,0.3,2,NA,NA,0,NA,0,NA,0,0,0.2,NA,NA,FantasySharks,14125,TEN,0.1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Charles, Irvin",WR,NYJ,NA,1.2,0.1,2,NA,NA,0,NA,0,NA,0,0,0.2,NA,NA,FantasySharks,15984,LAC,0.1,0,0,0,0,0,0,3,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ali, Josh",WR,ATL,NA,0.7,0.1,2,NA,NA,0,NA,0,NA,0,0,0.2,NA,NA,FantasySharks,16141,MIN,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Heath, Malik",WR,GBP,NA,1.4,0.3,1,NA,NA,0,NA,0,NA,0,0,0.1,NA,NA,FantasySharks,16413,LAR,0.3,0,0,0,0,0,0,3,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Treadwell, Laquon",WR,BAL,NA,0.3,0.1,1,NA,NA,0,NA,0,NA,0,0,0.1,NA,NA,FantasySharks,12645,SEA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Taylor, Trent",WR,CHI,NA,0.4,0.1,0,NA,NA,0,NA,0,NA,0,0,0.1,NA,NA,FantasySharks,13316,@NOS,0,0,0,0,0,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyreek Hill,WR,MIA,NA,NA,6,91,NA,NA,0.8,0,0,NA,0,NA,13.9,NA,15607,FFToday,12801,KC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A.J. Brown,WR,PHI,NA,NA,7,96,NA,NA,0.5,0,0,NA,0,NA,12.6,NA,16527,FFToday,14104,DAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ja'Marr Chase,WR,CIN,NA,NA,7,91,NA,NA,0.5,0,0,NA,0,NA,12.1,NA,17533,FFToday,15281,BUF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CeeDee Lamb,WR,DAL,NA,NA,7,87,NA,NA,0.5,0,0,NA,0,NA,11.7,NA,17141,FFToday,14832,PHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stefon Diggs,WR,BUF,NA,NA,6,84,NA,NA,0.5,0,0,NA,0,NA,11.4,NA,15156,FFToday,12186,CIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Davante Adams,WR,LV,NA,NA,6,78,NA,NA,0.5,0,0,NA,0,NA,10.8,NA,14102,FFToday,11675,NYG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Keenan Allen,WR,LAC,NA,NA,7,82,NA,NA,0.4,0,0,NA,0,NA,10.6,NA,13003,FFToday,11222,NYJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cooper Kupp,WR,LAR,NA,NA,6,82,NA,NA,0.4,0,0,NA,0,NA,10.6,NA,15932,FFToday,13164,GB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adam Thielen,WR,CAR,NA,NA,7,77,NA,NA,0.4,0,0,NA,0,NA,10.1,NA,14449,FFToday,11938,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mike Evans,WR,TB,NA,NA,5,70,NA,NA,0.5,0,0,NA,0,NA,10,NA,14172,FFToday,11671,HOU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michael Pittman Jr.,WR,IND,NA,NA,6,75,NA,NA,0.4,0,0,NA,0,NA,9.9,NA,17183,FFToday,14842,CAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Garrett Wilson,WR,NYJ,NA,NA,6,81,NA,NA,0.3,0,0,NA,0,NA,9.9,NA,18248,FFToday,15753,LAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jaylen Waddle,WR,MIA,NA,NA,5,74,NA,NA,0.4,0,0,NA,0,NA,9.8,NA,17740,FFToday,15284,KC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Olave,WR,NO,NA,NA,5,73,NA,NA,0.4,0,0,NA,0,NA,9.7,NA,18169,FFToday,15754,CHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DK Metcalf,WR,SEA,NA,NA,5,66,NA,NA,0.4,0,0,NA,0,NA,9,NA,16650,FFToday,14102,BAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Terry McLaurin,WR,WAS,NA,NA,5,65,NA,NA,0.4,0,0,NA,0,NA,8.9,NA,16648,FFToday,14109,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zay Flowers,WR,BAL,NA,NA,6,65,NA,NA,0.3,1,5,NA,0,NA,8.8,NA,18516,FFToday,16190,SEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nico Collins,WR,HOU,NA,NA,5,68,NA,NA,0.3,0,0,NA,0,NA,8.6,NA,17540,FFToday,15290,TB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diontae Johnson,WR,PIT,NA,NA,5,68,NA,NA,0.3,0,0,NA,0,NA,8.6,NA,16616,FFToday,14208,TEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Puka Nacua,WR,LAR,NA,NA,5,68,NA,NA,0.3,0,0,NA,0,NA,8.6,NA,18605,FFToday,16211,GB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amari Cooper,WR,CLE,NA,NA,5,67,NA,NA,0.3,0,0,NA,0,NA,8.5,NA,15143,FFToday,12175,ARI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DeAndre Hopkins,WR,TEN,NA,NA,5,66,NA,NA,0.3,0,0,NA,0,NA,8.4,NA,13167,FFToday,11232,PIT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D.J. Moore,WR,CHI,NA,NA,5,66,NA,NA,0.3,0,0,NA,0,NA,8.4,NA,16146,FFToday,13635,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Christian Watson,WR,GB,NA,NA,5,60,NA,NA,0.3,1,6,NA,0,NA,8.4,NA,18237,FFToday,15789,LAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jordan Addison,WR,MIN,NA,NA,5,64,NA,NA,0.3,0,0,NA,0,NA,8.2,NA,18453,FFToday,16186,ATL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Godwin,WR,TB,NA,NA,5,64,NA,NA,0.3,0,0,NA,0,NA,8.2,NA,15881,FFToday,13163,HOU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Lockett,WR,SEA,NA,NA,5,58,NA,NA,0.4,0,0,NA,0,NA,8.2,NA,15237,FFToday,12187,BAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tee Higgins,WR,CIN,NA,NA,5,62,NA,NA,0.3,0,0,NA,0,NA,8,NA,17104,FFToday,14835,BUF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drake London,WR,ATL,NA,NA,5,62,NA,NA,0.3,0,0,NA,0,NA,8,NA,18137,FFToday,15751,MIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
George Pickens,WR,PIT,NA,NA,4,62,NA,NA,0.3,0,0,NA,0,NA,8,NA,18179,FFToday,15762,TEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DeVonta Smith,WR,PHI,NA,NA,5,62,NA,NA,0.3,0,0,NA,0,NA,8,NA,17708,FFToday,15282,DAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tank Dell,WR,HOU,NA,NA,4,53,NA,NA,0.3,2,8,NA,0,NA,7.9,NA,18502,FFToday,16204,TB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rashee Rice,WR,KC,NA,NA,5,63,NA,NA,0.2,0,0,NA,0,NA,7.5,NA,18624,FFToday,16194,MIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
