player,pos,team,games,rush_att,rush_yds,rush_avg,rush_tds,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,opp,rush_09_tds,rush_1019_tds,rush_2029_tds,rush_3039_tds,rush_4049_tds,rush_50_tds,rec_rz_tgt,rush_50_yds,rush_100_yds,return_yds,scoring_opp,bye,draft_rank,misc_tds,misc_yds,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_ovr,ranks_pos,FanDuel FP,draftkings_site_points,yahoo_site_points,return_tds,two_pts
Ameer Abdullah,RB,LV,NA,1.06,4.31,NA,0.03,NA,0.96,6.77,NA,NA,0.04,NA,1.47,NA,ameer-abdullah,NumberFire,12155,BUF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.34,5.28,#20,278,79,1.97,2.47,1.97,NA,NA
Isaiah Spiller,RB,LAC,NA,1.71,6.87,NA,0.03,NA,0.27,2,NA,NA,0.01,NA,1.11,NA,isaiah-spiller,NumberFire,15709,TEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.58,4.8,#22,289,80,1.24,1.39,1.24,NA,NA
Michael Carter,RB,NYJ,NA,0.55,2.29,NA,0.01,NA,0.78,6.29,NA,NA,0.03,NA,1.08,NA,michael-carter-ii,NumberFire,15258,DAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.6,4.76,#1,290,81,1.47,1.87,1.47,NA,NA
Gary Brightwell,RB,NYG,NA,1.4,6.01,NA,0.04,NA,0.24,1.69,NA,NA,0.01,NA,1.07,NA,gary-brightwell,NumberFire,15462,ARI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.61,4.75,#9,291,82,1.17,1.3,1.17,NA,NA
Anthony McFarland Jr.,RB,PIT,NA,1.12,4.83,NA,0.03,NA,0.47,3.22,NA,NA,0.02,NA,1.07,NA,anthony-mcfarland-jr,NumberFire,14804,CLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.61,4.75,#2,291,82,1.32,1.57,1.32,NA,NA
Alec Ingold,RB,MIA,NA,0.25,1.02,NA,0.01,NA,0.75,5.67,NA,NA,0.04,NA,0.96,NA,alec-ingold,NumberFire,14420,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.68,4.6,#10,293,84,1.34,1.72,1.34,NA,NA
Kyle Juszczyk,RB,SF,NA,0.61,2.54,NA,0.02,NA,0.45,4.37,NA,NA,0.03,NA,0.94,NA,kyle-juszczyk,NumberFire,11367,LA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.7,4.58,#17,294,85,1.2,1.43,1.2,NA,NA
C.J. Ham,RB,MIN,NA,0.46,1.93,NA,0.01,NA,0.69,4.95,NA,NA,0.03,NA,0.93,NA,c-j-ham-1,NumberFire,12923,PHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.71,4.57,#8,295,86,1.25,1.61,1.25,NA,NA
Chris Rodriguez Jr.,RB,WSH,NA,1.19,5.03,NA,0.02,NA,0.23,1.68,NA,NA,0.01,NA,0.86,NA,chris-rodriguez-jr,NumberFire,16174,DEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.75,4.47,#28,297,87,0.95,1.07,0.95,NA,NA
Mike Boone,RB,HOU,NA,0.55,2.38,NA,0.01,NA,0.48,3.65,NA,NA,0.02,NA,0.81,NA,mike-boone,NumberFire,13868,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.79,4.41,#11,300,88,1.02,1.26,1.02,NA,NA
