player,dst_sacks,dst_int,dst_fum_rec,dst_fum_force,dst_td,dst_safety,dst_pts_allowed,dst_yds_allowed,site_pts,src_id,data_src,pos,id,team,opp,bye,draft_rank,idp_solo,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,draftkings_salary,draftkings_value,yahoo_site_points,yahoo_salary,yahoo_value,return_tds
Washington Commanders,4.1,0.8,0.5,0.8,0.2,0,19.1,301.8,8.7,8310,FantasyPros,DST,0520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Buffalo Bills,2.5,1,0.5,0.8,0.2,0,16,305,7.6,8030,FantasyPros,DST,0501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Francisco 49ers,2.7,0.9,0.5,0.7,0.2,0,18.2,336.4,7.6,8270,FantasyPros,DST,0530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New York Giants,3.8,0.8,0.6,0.9,0.2,0,21,329,7.5,8200,FantasyPros,DST,0517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tampa Bay Buccaneers,3,0.8,0.5,0.8,0.2,0,17.7,319.3,7.4,8290,FantasyPros,DST,0525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cleveland Browns,2.6,0.8,0.6,0.7,0.2,0,18.3,323.1,7.4,8070,FantasyPros,DST,0507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Seattle Seahawks,2.4,0.8,0.6,0.7,0.2,0,19.4,306.4,7.2,8260,FantasyPros,DST,0515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indianapolis Colts,3.5,0.7,0.6,1,0.2,0,21.5,338,7,8130,FantasyPros,DST,0502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles Rams,2.5,0.8,0.5,0.7,0.2,0,19.2,307.4,7,8280,FantasyPros,DST,0528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Las Vegas Raiders,2.2,0.9,0.5,0.5,0.2,0,17.5,306.3,6.8,8220,FantasyPros,DST,0513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Green Bay Packers,3,0.8,0.5,0.7,0.2,0,20.8,319.5,6.6,8110,FantasyPros,DST,0523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pittsburgh Steelers,2.8,0.8,0.6,1.1,0.2,0,22,348.9,6.5,8240,FantasyPros,DST,0510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jacksonville Jaguars,2.7,0.8,0.6,0.9,0.2,0,20.4,335.5,6.4,8140,FantasyPros,DST,0509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Detroit Lions,2.7,0.8,0.6,0.7,0.1,0,21.8,341.4,6.2,8100,FantasyPros,DST,0522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Miami Dolphins,2.7,0.8,0.5,0.8,0.1,0,26,374.5,6.2,8160,FantasyPros,DST,0503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kansas City Chiefs,2.5,0.8,0.6,0.8,0.2,0,21.4,350,6.1,8150,FantasyPros,DST,0512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Philadelphia Eagles,2.2,0.9,0.6,0.9,0.1,0,25,405,6,8230,FantasyPros,DST,0518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Orleans Saints,2.5,0.8,0.5,0.6,0.2,0,20.4,328.6,5.9,8190,FantasyPros,DST,0529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chicago Bears,2.3,0.8,0.5,0.7,0.2,0,20.5,334,5.8,8050,FantasyPros,DST,0521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arizona Cardinals,2.5,0.8,0.4,0.6,0.1,0,25.9,354.1,5.8,8000,FantasyPros,DST,0519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baltimore Ravens,2.2,0.8,0.5,0.8,0.2,0,20.7,343.7,5.8,8020,FantasyPros,DST,0531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atlanta Falcons,2.1,0.8,0.5,0.7,0.2,0,21.5,313.6,5.7,8010,FantasyPros,DST,0526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Denver Broncos,2,0.8,0.5,0.7,0.2,0,23.4,361.1,5.6,8090,FantasyPros,DST,0511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Minnesota Vikings,2.3,0.6,0.5,0.8,0.1,0,25.5,358.6,5.4,8170,FantasyPros,DST,0524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles Chargers,2,0.7,0.6,0.9,0.2,0,27.4,393.8,5.4,8250,FantasyPros,DST,0514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New England Patriots,1.7,0.8,0.6,0.8,0.1,0,24.6,363.1,5.3,8180,FantasyPros,DST,0504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bills, Buffalo",3.9,1.2,0.9,NA,0.2,0.1,13.6,275.7,16.9,NA,FantasySharks,D,0501,BUF,@NEP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commanders, Washington",3.5,1,0.7,NA,0.1,0,18.8,258,14,NA,FantasySharks,D,0520,WAS,@NYG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saints, New Orleans",2.5,1.1,0.3,NA,0.2,0,15.9,295.4,13.3,NA,FantasySharks,D,0529,NOS,JAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jaguars, Jacksonville",2.2,1.3,1.1,NA,0.2,0,19.1,331.1,13.3,NA,FantasySharks,D,0509,JAC,@NOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
