player,dst_sacks,dst_int,dst_fum_rec,dst_fum_force,dst_td,dst_safety,dst_pts_allowed,dst_yds_allowed,site_pts,src_id,data_src,pos,id,team,opp,bye,draft_rank,idp_solo,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,draftkings_salary,draftkings_value,yahoo_site_points,yahoo_salary,yahoo_value,return_tds
Indianapolis Colts,3.5,0.7,0.6,1,0.1,NA,21.5,338,11.88,2341,FleaFlicker,DST,0502,IND,CLESun 1:00 PM,11,D/ST21,0,40%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pittsburgh Steelers,2.8,0.8,0.6,1.1,0.1,NA,22,348.9,10.84,2352,FleaFlicker,DST,0510,PIT,@LARSun 4:05 PM,6,D/ST8,0,82%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tampa Bay Buccaneers,3,0.8,0.5,0.8,0.2,NA,17.7,319.3,10.58,2357,FleaFlicker,DST,0525,TB,ATLSun 1:00 PM,5,D/ST18,0,43%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Green Bay Packers,3,0.8,0.5,0.7,0.1,NA,20.8,319.5,10.42,2339,FleaFlicker,DST,0523,GB,@DENSun 4:25 PM,6,D/ST16,0,27%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jacksonville Jaguars,2.7,0.8,0.6,0.9,0.2,NA,20.4,335.5,10.38,2342,FleaFlicker,DST,0509,JAC,@NOThu 8:15 PM,9,D/ST12,0,42%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Francisco 49ers,2.7,0.9,0.6,0.7,0.2,NA,18.2,336.4,10.37,2355,FleaFlicker,DST,0530,SF,@MINMon 8:15 PM,9,D/ST2,0,96%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Buffalo Bills,2.5,1,0.5,0.8,0.2,NA,16,305,10.19,2331,FleaFlicker,DST,0501,BUF,@NESun 1:00 PM,13,D/ST7,0,97%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Miami Dolphins,2.7,0.8,0.5,0.8,0.1,NA,26,374.5,10.04,2344,FleaFlicker,DST,0503,MIA,@PHISun 8:20 PM,10,D/ST11,0,64%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cleveland Browns,2.6,0.8,0.6,0.7,0.2,NA,18.3,323.1,9.86,2335,FleaFlicker,DST,0507,CLE,@INDSun 1:00 PM,5,D/ST9,0,43%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kansas City Chiefs,2.5,0.8,0.6,0.8,0.1,NA,21.4,350,9.69,2343,FleaFlicker,DST,0512,KC,LACSun 4:25 PM,10,D/ST14,0,81%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
