player,pos,team,games,fg,fg_att,fg_long,fg_2029,fg_att_2029,fg_3039,fg_att_3039,fg_4049,fg_att_4049,fg_50,fg_att_50,xp,xp_att,site_pts,site_fppg,src_id,data_src,id,opp,fg_0019,fg_miss,bye,draft_rank,fg_pct,xp_pct,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,draftkings_site_points,yahoo_site_points
Randy Bullock,K,TEN,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1632503,CBS,10862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harrison Butker,K,KC,NA,1.6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,NA,7.5,NA,16712,FantasyPros,13354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justin Tucker,K,BAL,NA,1.7,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,NA,7.4,NA,11465,FantasyPros,10976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Younghoe Koo,K,ATL,NA,1.6,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,NA,7.3,NA,16910,FantasyPros,13403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evan McPherson,K,CIN,NA,1.6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,7.2,NA,23297,FantasyPros,15368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michael Badgley,K,DET,NA,1.4,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,NA,7.2,NA,17693,FantasyPros,13980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cameron Dicker,K,LAC,NA,1.7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,7.1,NA,23901,FantasyPros,15979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jason Myers,K,SEA,NA,1.7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA,7.1,NA,14003,FantasyPros,12437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ryan Succop,K,TB,NA,1.7,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,7,NA,9549,FantasyPros,9686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brett Maher,K,DAL,NA,1.6,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,NA,7,NA,12378,FantasyPros,13909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Graham Gano,K,NYG,NA,1.6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,NA,7,NA,9232,FantasyPros,9694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daniel Carlson,K,LV,NA,1.7,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,7,NA,17420,FantasyPros,13718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Robbie Gould,K,SF,NA,1.5,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,7,NA,9534,FantasyPros,8153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mason Crosby,K,GB,NA,1.4,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,NA,7,NA,9433,FantasyPros,8742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nick Folk,K,NE,NA,1.6,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,NA,6.8,NA,9491,FantasyPros,8851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cairo Santos,K,CHI,NA,1.5,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,NA,6.7,NA,13731,FantasyPros,11945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Riley Patterson,K,JAC,NA,1.5,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,NA,6.7,NA,23370,FantasyPros,15369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
