player,pos,team,games,rush_att,rush_yds,rush_avg,rush_tds,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,opp,rush_09_tds,rush_1019_tds,rush_2029_tds,rush_3039_tds,rush_4049_tds,rush_50_tds,rec_rz_tgt,rush_50_yds,rush_100_yds,return_yds,scoring_opp,bye,draft_rank,misc_tds,misc_yds,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_ovr,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,yahoo_site_points,yahoo_salary,yahoo_value,return_tds,two_pts
"Elliott, Ezekiel",RB,DAL,NA,13,57,NA,0.5,2.7,1.7,10,NA,NA,0,0,10,NA,NA,FantasySharks,12625,NYG,0.4,0.1,0,0,0,0,0.4,0.1,0,0,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Murray, Latavius",RB,DEN,NA,13,50,NA,0.5,3.4,2.7,17,NA,NA,0,0,9.9,NA,NA,FantasySharks,11390,@CAR,0.5,0,0,0,0,0,0.2,0.1,0,0,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"White, Rachaad",RB,TBB,NA,11,48,NA,0.4,3.9,3.1,18,NA,NA,0.1,0,9.7,NA,NA,FantasySharks,15721,@CLE,0.3,0.1,0,0,0,0,0.5,0.1,0,24,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Harris, Damien",RB,NEP,NA,11,55,NA,0.5,1.9,1.6,12,NA,NA,0,0,9.4,NA,NA,FantasySharks,14075,@MIN,0.4,0,0,0,0,0,0.4,0.1,0,0,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carter, Michael",RB,NYJ,NA,11.3,47,NA,0.4,3.8,2.7,21,NA,NA,0,0,9.1,NA,NA,FantasySharks,15258,CHI,0.3,0,0,0.1,0,0,0.5,0.1,0,0,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Robinson, Brian",RB,WAS,NA,14.5,52,NA,0.3,2.6,2.2,16,NA,NA,0.1,0,9.1,NA,NA,FantasySharks,15716,ATL,0.3,0,0,0,0,0,0.2,0.1,0,0,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dillon, AJ",RB,GBP,NA,11.5,52,NA,0.2,3,2,17,NA,NA,0.1,0,9.1,NA,NA,FantasySharks,14805,@PHI,0.1,0.1,0,0,0,0,0.2,0.1,0,0,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Akers, Cam",RB,LAR,NA,13,55,NA,0.4,2.3,1.6,10,NA,NA,0,0.1,8.6,NA,NA,FantasySharks,14799,@KCC,0.2,0.2,0,0,0,0,0.3,0,0,0,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hunt, Kareem",RB,CLE,NA,9,40,NA,0.4,3,2.5,18,NA,NA,0.1,0,8.3,NA,NA,FantasySharks,13138,TBB,0.3,0,0.1,0,0,0,0.5,0.1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Swift, D'Andre",RB,DET,NA,7.5,31,NA,0.4,3.5,2.5,15,NA,NA,0.2,0,8,NA,NA,FantasySharks,14797,BUF,0.3,0,0,0,0,0,0.6,0.1,0,0,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
