player,pos,team,games,pass_att,pass_comp,pass_yds,pass_yds_g,pass_tds,pass_int,pass_rate,rush_att,rush_yds,rush_avg,rush_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,opp,pass_09_tds,pass_1019_tds,pass_2029_tds,pass_3039_tds,pass_4049_tds,pass_50_tds,sacks,scoring_opp,bye,curr_site_pts,draft_rank,pass_comp_pct,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_ovr,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,yahoo_site_points,yahoo_salary,yahoo_value,rec,rec_yds,rec_tds,two_pts
Jalen Hurts,QB,PHI,NA,31.64,20.48,236.08,NA,1.49,0.65,NA,10.15,48.21,NA,0.6,NA,22.13,NA,jalen-hurts,NumberFire,14783,PIT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.26,30,#14,2,2,22.81,9200,2.48,23.05,22.81,39,0.58,NA,NA,NA,NA
Lamar Jackson,QB,BAL,NA,31.73,20.55,218.15,NA,1.62,0.73,NA,9.2,53.47,NA,0.29,NA,20.67,NA,lamar-jackson,NumberFire,13593,TB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.86,28.48,#4,3,3,21.4,8500,2.52,21.54,21.4,33,0.65,NA,NA,NA,NA
Joe Burrow,QB,CIN,NA,36.12,23.54,282.56,NA,1.83,0.75,NA,4.58,18.68,NA,0.22,NA,19.88,NA,joe-burrow,NumberFire,14777,CLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.11,27.65,#30,4,4,20.66,8600,2.4,20.92,20.66,38,0.54,NA,NA,NA,NA
Tua Tagovailoa,QB,MIA,NA,36.29,23.78,274.57,NA,2.05,0.78,NA,2.32,9.73,NA,0.12,NA,19.15,NA,tua-tagovailoa,NumberFire,14778,DET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.42,26.88,#32,5,5,19.92,7700,2.59,20.07,19.92,34,0.59,NA,NA,NA,NA
Kirk Cousins,QB,MIN,NA,36.71,24.47,268.38,NA,2.01,0.7,NA,1.65,6.63,NA,0.08,NA,18.19,NA,kirk-cousins,NumberFire,10700,ARI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.51,25.87,#11,6,6,18.86,7800,2.42,19.1,18.86,28,0.67,NA,NA,NA,NA
Tom Brady,QB,TB,NA,37.54,25.16,275.35,NA,1.9,0.55,NA,1.64,3.64,NA,0.07,NA,18.15,NA,tom-brady,NumberFire,5848,BAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.47,25.83,#22,7,7,18.73,7100,2.64,18.85,18.73,28,0.67,NA,NA,NA,NA
Kyler Murray,QB,ARI,NA,34.04,23.27,225.02,NA,1.42,0.7,NA,6.73,34.12,NA,0.34,NA,18.05,NA,kyler-murray,NumberFire,14056,MIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.38,25.72,#13,8,8,18.73,8200,2.28,19.13,18.73,33,0.57,NA,NA,NA,NA
Dak Prescott,QB,DAL,NA,33.6,21.96,235.36,NA,1.84,0.63,NA,2.88,12.83,NA,0.2,NA,17.68,NA,dak-prescott,NumberFire,12620,CHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.03,25.33,#18,9,9,18.27,7200,2.54,18.5,18.27,30,0.61,NA,NA,NA,NA
Geno Smith,QB,SEA,NA,33.08,22.46,236,NA,1.5,0.89,NA,4.76,21.37,NA,0.26,NA,16.96,NA,geno-smith-1,NumberFire,11150,NYG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.35,24.57,#25,12,10,17.83,7000,2.55,18.09,17.83,29,0.61,NA,NA,NA,NA
Derek Carr,QB,LV,NA,35.45,23.24,238.13,NA,1.65,0.68,NA,2.99,11.89,NA,0.14,NA,16.32,NA,derek-carr,NumberFire,11644,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.74,23.9,#23,13,11,16.93,7200,2.35,17.25,16.93,28,0.6,NA,NA,NA,NA
Marcus Mariota,QB,ATL,NA,25.85,16.14,188.87,NA,1.19,0.63,NA,6.83,31.84,NA,0.38,NA,15.95,NA,marcus-mariota,NumberFire,12141,CAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.4,23.5,#12,15,12,16.55,6900,2.4,16.89,16.55,25,0.66,NA,NA,NA,NA
Russell Wilson,QB,DEN,NA,32.2,19.77,231.3,NA,1.25,0.55,NA,4.53,24.85,NA,0.1,NA,15.92,NA,russell-wilson,NumberFire,10703,JAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.37,23.47,#24,16,13,16.49,7000,2.36,16.69,16.49,26,0.63,NA,NA,NA,NA
Daniel Jones,QB,NYG,NA,29.17,19.2,191.89,NA,1.06,0.62,NA,7.21,34.83,NA,0.33,NA,15.68,NA,daniel-jones,NumberFire,14059,SEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.14,23.22,#29,17,14,16.28,7500,2.17,16.56,16.28,27,0.6,NA,NA,NA,NA
Jared Goff,QB,DET,NA,34.1,22.77,240.58,NA,1.57,0.76,NA,1.61,6.33,NA,0.09,NA,15.14,NA,jared-goff,NumberFire,12611,MIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.64,22.64,#19,19,15,15.92,7300,2.18,16.17,15.92,30,0.53,NA,NA,NA,NA
Trevor Lawrence,QB,JAC,NA,34.34,21.96,221.02,NA,1.22,0.77,NA,4.13,18,NA,0.21,NA,14.88,NA,trevor-lawrence,NumberFire,15237,DEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.39,22.37,#3,21,16,15.67,7000,2.24,15.89,15.67,25,0.63,NA,NA,NA,NA
Matthew Stafford,QB,LA,NA,33.89,23.34,248.27,NA,1.42,0.76,NA,1.52,6.07,NA,0.05,NA,14.75,NA,matthew-stafford,NumberFire,9431,SF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.27,22.23,#10,23,17,15.52,7000,2.22,15.69,15.52,23,0.67,NA,NA,NA,NA
Sam Ehlinger,QB,IND,NA,32.93,20.22,231.32,NA,1.22,0.99,NA,4.09,18.61,NA,0.16,NA,14.57,NA,sam-ehlinger,NumberFire,15250,WSH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,22.04,#20,27,18,15.54,6000,2.59,15.8,15.54,20,0.78,NA,NA,NA,NA
Aaron Rodgers,QB,GB,NA,34.24,22.25,231.65,NA,1.31,0.29,NA,1.23,5.83,NA,0.03,NA,14.57,NA,aaron-rodgers,NumberFire,7836,BUF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,22.04,#2,27,18,14.84,6800,2.18,14.96,14.84,24,0.62,NA,NA,NA,NA
Mac Jones,QB,NE,NA,30.73,19.26,220.2,NA,1.15,0.71,NA,4.47,18.55,NA,0.18,NA,14.51,NA,mac-jones,NumberFire,15241,NYJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.05,21.97,#5,30,20,15.23,6600,2.31,15.47,15.23,23,0.66,NA,NA,NA,NA
Malik Willis,QB,TEN,NA,29.27,18.33,208.89,NA,0.87,0.74,NA,7.22,29.87,NA,0.27,NA,14.32,NA,malik-willis,NumberFire,15694,HOU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.87,21.77,#28,31,21,15.06,6700,2.25,15.42,15.06,21,0.72,NA,NA,NA,NA
Jimmy Garoppolo,QB,SF,NA,31.1,20.81,248,NA,1.25,0.76,NA,1.19,4.65,NA,0.05,NA,13.87,NA,jimmy-garoppolo,NumberFire,11760,LA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.45,21.29,#6,33,22,14.63,7100,2.06,14.82,14.63,23,0.64,NA,NA,NA,NA
Davis Mills,QB,HOU,NA,33.17,21.97,238.16,NA,1.28,0.73,NA,1.06,4.45,NA,0.05,NA,13.66,NA,davis-mills,NumberFire,15252,TEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.26,21.06,#15,36,23,14.44,6500,2.22,14.6,14.44,23,0.63,NA,NA,NA,NA
P.J. Walker,QB,CAR,NA,33.15,21.37,229.64,NA,1.25,0.89,NA,1.73,7.7,NA,0.08,NA,13.4,NA,p-j-walker,NumberFire,13416,ATL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.01,20.79,#31,38,24,14.31,6400,2.24,14.48,14.31,20,0.72,NA,NA,NA,NA
Andy Dalton,QB,NO,NA,31.06,19.8,208.8,NA,1.31,0.79,NA,2.26,8.49,NA,0.11,NA,13.38,NA,andy-dalton,NumberFire,10313,LV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,20.76,#26,39,25,14.19,7100,2,14.3,14.19,26,0.55,NA,NA,NA,NA
Justin Fields,QB,CHI,NA,23.61,14.2,158.55,NA,0.76,0.56,NA,9.07,41.63,NA,0.32,NA,13.34,NA,justin-fields,NumberFire,15238,DAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.96,20.72,#1,40,26,13.91,6500,2.14,14.45,13.91,20,0.7,NA,NA,NA,NA
Jacoby Brissett,QB,CLE,NA,31.65,19.16,205.52,NA,1.08,0.62,NA,3.26,14.17,NA,0.15,NA,13.32,NA,jacoby-brissett,NumberFire,12616,CIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.94,20.7,#8,41,27,13.92,6600,2.11,14.12,13.92,20,0.7,NA,NA,NA,NA
Kenny Pickett,QB,PIT,NA,34.31,22,219.75,NA,1.03,0.79,NA,3.2,13.64,NA,0.12,NA,13.08,NA,kenny-pickett,NumberFire,15692,PHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.72,20.44,#7,44,28,13.86,6600,2.1,14.08,13.86,20,0.69,NA,NA,NA,NA
Zach Wilson,QB,NYJ,NA,32.31,18.4,199.71,NA,1.02,0.72,NA,3.58,16.03,NA,0.15,NA,12.82,NA,zach-wilson,NumberFire,15239,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.48,20.16,#9,47,29,13.51,6400,2.11,13.72,13.51,21,0.64,NA,NA,NA,NA
Taylor Heinicke,QB,WSH,NA,31.82,21.33,208.9,NA,1.08,0.86,NA,3.23,14.66,NA,0.1,NA,12.77,NA,taylor-heinicke,NumberFire,12476,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.43,20.11,#17,48,30,13.58,6400,2.12,13.77,13.58,22,0.62,NA,NA,NA,NA
Taysom Hill,QB,NO,NA,2.68,1.75,19.56,NA,0.11,0.07,NA,4.23,20.16,NA,0.26,NA,4.93,NA,taysom-hill,NumberFire,13424,LV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.54,11.4,#26,130,31,5.11,6500,0.79,5.33,5.11,19,0.27,NA,NA,NA,NA
Josh Allen,QB,BUF,NA,NA,NA,266.08,NA,1.93,0.84,NA,NA,40.67,NA,0.37,0.11,22.93,NA,2560955,NFL,13589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09
Jalen Hurts,QB,PHI,NA,NA,NA,236.44,NA,1.5,0.85,NA,NA,46.77,NA,0.44,0.1,21.23,NA,2564832,NFL,14783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18
Lamar Jackson,QB,BAL,NA,NA,NA,230.14,NA,1.42,0.63,NA,NA,54.7,NA,0.3,0.08,20.92,NA,2560757,NFL,13593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09
Tom Brady,QB,TB,NA,NA,NA,318.86,NA,2.06,0.67,NA,NA,NA,NA,0.05,0.04,19.93,NA,2504211,NFL,5848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03
Kirk Cousins,QB,MIN,NA,NA,NA,290.05,NA,2.07,0.72,NA,NA,5.82,NA,0.09,0.05,19.78,NA,2532820,NFL,10700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16
Kyler Murray,QB,ARI,NA,NA,NA,248.23,NA,1.48,0.82,NA,NA,35.19,NA,0.2,0.03,19.19,NA,2562382,NFL,14056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16
Joe Burrow,QB,CIN,NA,NA,NA,271.88,NA,1.8,0.9,NA,NA,14.65,NA,0.21,0.05,19.16,NA,2563722,NFL,14777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13
Dak Prescott,QB,DAL,NA,NA,NA,249.9,NA,1.92,0.77,NA,NA,13.89,NA,0.13,0.08,18.75,NA,2555260,NFL,12620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3
Andy Dalton,QB,NO,NA,NA,NA,264.79,NA,1.73,0.8,NA,NA,12.29,NA,0.11,0.06,18,NA,2495143,NFL,10313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16
Matthew Stafford,QB,LA,NA,NA,NA,284.73,NA,1.78,0.72,NA,NA,4.51,NA,0.07,0.07,17.98,NA,79860,NFL,9431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09
Tua Tagovailoa,QB,MIA,NA,NA,NA,266.6,NA,1.78,0.69,NA,NA,8.6,NA,0.11,0.07,17.94,NA,2564499,NFL,14778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08
Derek Carr,QB,LV,NA,NA,NA,274.86,NA,1.76,0.75,NA,NA,8.66,NA,0.08,0.05,17.9,NA,2543499,NFL,11644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06
Geno Smith,QB,SEA,NA,NA,NA,240.75,NA,1.52,0.84,NA,NA,23.99,NA,0.17,0.1,17.25,NA,2539335,NFL,11150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marcus Mariota,QB,ATL,NA,NA,NA,202.71,NA,1.16,0.52,NA,NA,38.05,NA,0.29,0.14,17.15,NA,2552466,NFL,12141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09
Daniel Jones,QB,NYG,NA,NA,NA,201.11,NA,0.88,0.73,NA,NA,42.82,NA,0.33,0.19,16.31,NA,2562299,NFL,14059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16
Jimmy Garoppolo,QB,SF,NA,NA,NA,259.36,NA,1.63,0.9,NA,NA,3.16,NA,0.06,0.05,15.73,NA,2543801,NFL,11760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03
Russell Wilson,QB,DEN,NA,NA,NA,223.86,NA,1.24,0.71,NA,NA,20.27,NA,0.16,0.06,15.42,NA,2532975,NFL,10703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03
Jared Goff,QB,DET,NA,NA,NA,245.02,NA,1.47,0.77,NA,NA,4.3,NA,0.07,0.07,15.31,NA,2555334,NFL,12611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23
Justin Fields,QB,CHI,NA,NA,NA,161.24,NA,0.89,0.71,NA,NA,52.54,NA,0.24,0.08,15.26,NA,2565920,NFL,15238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07
Aaron Rodgers,QB,GB,NA,NA,NA,250.08,NA,1.54,0.58,NA,NA,0.25,NA,0.05,0.04,15.25,NA,2506363,NFL,7836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trevor Lawrence,QB,JAX,NA,NA,NA,227.71,NA,1.12,0.93,NA,NA,21.25,NA,0.2,0.07,15.15,NA,2566163,NFL,15237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12
Sam Ehlinger,QB,IND,NA,NA,NA,210.7,NA,1.13,0.78,NA,NA,24.03,NA,0.16,0.07,14.79,NA,2566142,NFL,15250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09
Davis Mills,QB,HOU,NA,NA,NA,245.08,NA,1.41,0.8,NA,NA,3.27,NA,0.06,0.05,14.67,NA,2566136,NFL,15252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12
Mac Jones,QB,NE,NA,NA,NA,222.98,NA,1.14,0.91,NA,NA,19.49,NA,0.14,0.11,14.47,NA,2566334,NFL,15241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12
Jacoby Brissett,QB,CLE,NA,NA,NA,215.34,NA,1.12,0.79,NA,NA,16.09,NA,0.14,0.07,13.94,NA,2555261,NFL,12616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06
Malik Willis,QB,TEN,NA,NA,NA,193.33,NA,0.9,0.76,NA,NA,27.71,NA,0.23,0.11,13.92,NA,2567667,NFL,15694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09
Kenny Pickett,QB,PIT,NA,NA,NA,233.02,NA,1.16,1.51,NA,NA,16.3,NA,0.17,0.05,13.65,NA,2568162,NFL,15692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08
Zach Wilson,QB,NYJ,NA,NA,NA,187.93,NA,1.05,0.59,NA,NA,19.21,NA,0.16,0.05,13.52,NA,2566391,NFL,15239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1
Taylor Heinicke,QB,WAS,NA,NA,NA,224.24,NA,1.02,0.92,NA,NA,10.35,NA,0.09,0.02,12.94,NA,2553656,NFL,12476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1
P.J. Walker,QB,CAR,NA,NA,NA,202.38,NA,0.91,0.97,NA,NA,6.44,NA,0.09,0.05,11.1,NA,2558904,NFL,13416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11
Bailey Zappe,QB,NE,NA,NA,NA,33.52,NA,0.12,0.14,NA,NA,NA,NA,0.01,NA,1.66,NA,2567961,NFL,15696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03
Sam Howell,QB,WAS,NA,NA,NA,26.57,NA,0.11,0.2,NA,NA,0.69,NA,0.02,0.01,1.35,NA,2568333,NFL,15693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04
Kyle Trask,QB,TB,NA,NA,NA,26.04,NA,0.08,0.12,NA,NA,0.41,NA,0.02,0.02,1.32,NA,2566571,NFL,15242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04
Cooper Rush,QB,DAL,NA,NA,NA,21.75,NA,0.09,0.06,NA,NA,0.01,NA,0.01,NA,1.23,NA,2559242,NFL,13124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03
Jameis Winston,QB,NO,NA,NA,NA,20.81,NA,0.1,0.09,NA,NA,0.05,NA,0.01,0.01,1.16,NA,2552033,NFL,12140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03
Brock Purdy,QB,SF,NA,NA,NA,16.83,NA,0.05,0.12,NA,NA,0.37,NA,0.02,0.01,0.85,NA,2568216,NFL,15698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04
Joshua Dobbs,QB,CLE,NA,NA,NA,18.11,NA,0.05,0.16,NA,NA,0.53,NA,0.02,0.01,0.82,NA,2558167,NFL,13119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03
Jordan Love,QB,GB,NA,NA,NA,14.71,NA,0.04,0.1,NA,NA,0.03,NA,0.01,0.01,0.81,NA,2564007,NFL,14782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11
Colt McCoy,QB,ARI,NA,NA,NA,16.58,NA,0.04,0.06,NA,NA,0.04,NA,0.01,NA,0.81,NA,497123,NFL,9899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02
Trevor Siemian,QB,CHI,NA,NA,NA,17.19,NA,0.09,0.16,NA,NA,NA,NA,NA,NA,0.79,NA,2553457,NFL,12381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03
Armani Rogers,QB,WAS,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,NA,NA,0.76,NA,2568351,NFL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28,2.98,0.03,NA
Desmond Ridder,QB,ATL,NA,NA,NA,9.61,NA,0.07,0.07,NA,NA,0.29,NA,0.02,0.01,0.73,NA,2567256,NFL,15697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04
Nick Mullens,QB,MIN,NA,NA,NA,11.34,NA,0.05,0.08,NA,NA,0.01,NA,0.01,NA,0.71,NA,2558979,NFL,13968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08
Tyler Huntley,QB,BAL,NA,NA,NA,9.74,NA,0.06,0.04,NA,NA,0.22,NA,0.01,0.01,0.67,NA,2563560,NFL,14789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03
Josh Allen,QB,NA,NA,23.26852006,35.24579969,257.3897325,NA,2.265979177,0.845669109,NA,7.266875286,38.18794943,NA,0.521446247,NA,NA,NA,3918298,ESPN,13589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Patrick Mahomes,QB,NA,NA,25.81368737,39.4988543,303.6960311,NA,2.152453268,0.679963265,NA,3.742598821,19.94506898,NA,0.189,NA,NA,NA,3139477,ESPN,13116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justin Herbert,QB,NA,NA,25.01873449,38.40511095,291.8874524,NA,2.092702873,0.796843812,NA,3.445583021,15.24551375,NA,0.251784799,NA,NA,NA,4038941,ESPN,14779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lamar Jackson,QB,NA,NA,19.29532281,30.12274611,214.3067047,NA,1.512294524,0.830745103,NA,10.23985764,61.6580769,NA,0.308,NA,NA,NA,3916387,ESPN,13593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
