player,pos,team,games,fg,fg_att,fg_0019,fg_att_0019,fg_2029,fg_att_2029,fg_3039,fg_att_3039,fg_4049,fg_att_4049,fg_50,fg_att_50,xp,xp_att,site_pts,site_fppg,src_id,data_src,id,opp,fg_miss,bye,draft_rank,fg_pct,xp_pct,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,draftkings_site_points,yahoo_site_points
Harrison Butker,K,KC,1,1.9,2.3,0,0,0.6,0.6,0.6,0.7,0.4,0.6,0.3,0.3,3,3.3,8.7,8.7,2078888,CBS,13354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greg Zuerlein,K,NYJ,1,1.9,2.2,0,0,0.4,0.4,0.6,0.6,0.5,0.7,0.3,0.3,2.7,2.9,8.4,8.4,1971893,CBS,10868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Bass,K,BUF,1,1.8,2,0,0,0.4,0.4,0.6,0.7,0.6,0.7,0.2,0.2,2.9,3,8.3,8.3,2188356,CBS,14983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brett Maher,K,DAL,1,1.9,2.1,0,0,0.6,0.6,0.5,0.5,0.5,0.6,0.3,0.3,2.6,2.8,8.3,8.3,1630817,CBS,13909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cameron Dicker,K,LAC,1,1.8,2,0,0,0.5,0.5,0.6,0.7,0.5,0.6,0.1,0.1,2.8,2.8,8.2,8.2,2961997,CBS,15979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wil Lutz,K,NO,1,1.8,2.3,0,0,0.4,0.4,0.7,0.8,0.4,0.6,0.2,0.2,2.7,2.8,8.1,8.1,2008545,CBS,12956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Elliott,K,PHI,1,1.5,1.9,0,0,0.4,0.4,0.6,0.6,0.3,0.5,0.2,0.2,3.3,3.5,7.8,7.8,2080295,CBS,13303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greg Joseph,K,MIN,1,1.8,2.3,0,0,0.6,0.6,0.5,0.5,0.4,0.5,0.2,0.2,2.3,2.6,7.7,7.7,2926810,CBS,13898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nick Folk,K,NE,1,1.8,2,0,0,0.4,0.4,0.5,0.6,0.6,0.8,0.2,0.2,2.2,2.3,7.6,7.6,410721,CBS,8851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mason Crosby,K,GB,1,1.7,2.1,0,0,0.6,0.6,0.7,0.7,0.4,0.5,0.1,0.1,2.5,2.7,7.6,7.6,408969,CBS,8742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
