player,pos,team,games,rush_att,rush_yds,rush_avg,rush_tds,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,opp,rush_09_tds,rush_1019_tds,rush_2029_tds,rush_3039_tds,rush_4049_tds,rush_50_tds,rec_rz_tgt,rush_50_yds,rush_100_yds,return_yds,scoring_opp,bye,curr_site_pts,draft_rank,misc_tds,misc_yds,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_ovr,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,draftkings_salary,draftkings_value,yahoo_site_points,return_tds,two_pts
Devin Singletary,RB,BUF,NA,11.2,46.7,NA,0.5,2,2,15.8,NA,NA,0.1,0.1,9.41,NA,14736,FleaFlicker,14080,@CINMon 8:30 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,RB24,0.6,62.5,91%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D'Andre Swift,RB,DET,NA,8.8,42.3,NA,0.2,3.2,3.2,28.3,NA,NA,0.1,0.1,9.28,NA,15601,FleaFlicker,14797,CHISun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,RB21,0.4,70.5,95%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Raheem Mostert,RB,MIA,NA,11.7,49.4,NA,0.4,1.8,1.8,12.3,NA,NA,0.1,0.1,9.05,NA,11455,FleaFlicker,12447,@NESun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,RB25,0.5,61.7,86%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jerick McKinnon,RB,KC,NA,6.7,23.8,NA,0.1,3.5,3.5,30.9,NA,NA,0.4,0,8.47,NA,10310,FleaFlicker,11761,DENSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,RB40,0.5,54.6,70%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Latavius Murray,RB,DEN,NA,12.2,51.5,NA,0.2,2.2,2.2,13.3,NA,NA,0.1,0,8.14,NA,9504,FleaFlicker,11390,@KCSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,RB47,0.3,64.8,69%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cordarrelle Patterson,RB,ATL,NA,10,45,NA,0.3,1.2,1.2,9.6,NA,NA,0.1,0.1,7.4,NA,9317,FleaFlicker,11225,ARISun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,RB28,0.3,54.5,89%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rachaad White,RB,TB,NA,10.5,40.8,NA,0.1,2.7,2.7,18.9,NA,NA,0.1,0.1,7.21,NA,16882,FleaFlicker,15721,CARSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,RB31,0.2,59.7,70%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Royce Freeman,RB,HOU,NA,11.8,47.5,NA,0.2,1.2,1.2,9.1,NA,NA,0,0,6.92,NA,13796,FleaFlicker,13617,JACSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,RB85,0.2,56.6,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chuba Hubbard,RB,CAR,NA,10.5,40.5,NA,0.2,2,2,14.5,NA,NA,0.1,0.1,6.72,NA,16361,FleaFlicker,15261,@TBSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,RB49,0.2,55,47%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jeff Wilson,RB,MIA,NA,10.1,39.6,NA,0.2,1.3,1.3,10.1,NA,NA,0.1,0.1,6.39,NA,14471,FleaFlicker,14017,@NESun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,RB32,0.3,49.7,73%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michael Carter,RB,NYJ,NA,6.4,26.1,NA,0.1,2.5,2.5,20.9,NA,NA,0.1,0,5.82,NA,16618,FleaFlicker,15258,@SEASun 4:05 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,RB38,0.2,47,77%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
James Cook,RB,BUF,NA,7.8,32,NA,0.1,1.8,1.8,14.3,NA,NA,0.1,0.1,5.8,NA,16839,FleaFlicker,15715,@CINMon 8:30 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,RB39,0.2,46.3,70%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gus Edwards,RB,BAL,NA,11,42.1,NA,0.2,0.2,0.2,1.7,NA,NA,0,0.1,5.63,NA,14191,FleaFlicker,13850,PITSun 8:20 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,RB43,0.2,43.9,58%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Khalil Herbert,RB,CHI,NA,7.7,32.6,NA,0.2,1.2,1.2,8.5,NA,NA,0,0,5.39,NA,16552,FleaFlicker,15271,@DETSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,RB41,0.2,41.1,65%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ronald Jones,RB,KC,NA,0,26.8,NA,0.2,1.1,1.1,9.5,NA,NA,0.1,0,4.99,NA,13785,FleaFlicker,13606,DENSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,RB91,0.2,36.3,24%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malik Davis,RB,DAL,NA,8,28.9,NA,0.1,1.2,1.2,9.9,NA,NA,0.1,0.1,4.98,NA,17413,FleaFlicker,15738,@TENW 27-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,4.98,RB104,0.2,38.7,10%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kareem Hunt,RB,CLE,NA,5.8,23.7,NA,0.1,1.9,1.9,13.5,NA,NA,0.1,0,4.66,NA,12934,FleaFlicker,13138,@WASSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,RB34,0.2,37.2,84%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Samaje Perine,RB,CIN,NA,5.5,21.5,NA,0.1,1.9,1.9,14.9,NA,NA,0.1,0,4.5,NA,13011,FleaFlicker,13133,BUFMon 8:30 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,RB48,0.1,36.4,55%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Julius Chestnut,RB,TEN,NA,8.4,27,NA,0.2,0.9,0.9,6.5,NA,NA,0,0,4.41,NA,17227,FleaFlicker,15965,DALL 13-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4.41,RB113,0.2,33.5,4%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenneth Gainwell,RB,PHI,NA,4.2,19.3,NA,0.2,1.8,1.8,12.3,NA,NA,0,0,4.4,NA,16480,FleaFlicker,15255,NOSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,RB46,0.2,31.6,52%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deon Jackson,RB,IND,NA,5.5,22,NA,0.1,1.8,1.8,12.8,NA,NA,0.1,0,4.18,NA,16681,FleaFlicker,15277,@NYGSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,RB64,0.1,34.7,32%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Damien Harris,RB,NE,NA,5.2,23.2,NA,0.2,0.6,0.6,5.2,NA,NA,0,0,4.04,NA,14712,FleaFlicker,14075,MIASun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,RB37,0.2,28.4,74%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joshua Kelley,RB,LAC,NA,6.3,24.8,NA,0.1,0.9,0.9,6.8,NA,NA,0,0.1,4.03,NA,15622,FleaFlicker,14807,LARSun 4:25 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,RB59,0.2,31.6,22%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jaylen Warren,RB,PIT,NA,5.5,19.9,NA,0.1,1.6,1.6,12.1,NA,NA,0,0,3.92,NA,17137,FleaFlicker,15742,@BALSun 8:20 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,RB42,0.1,32,36%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dare Ogunbowale,RB,HOU,NA,7.1,23.3,NA,0.1,1.1,1.1,8.5,NA,NA,0,0,3.9,NA,13581,FleaFlicker,13148,JACSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,RB92,0.1,31.8,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chase Edmonds,RB,DEN,NA,5.4,20.4,NA,0.1,1.6,1.6,11.7,NA,NA,0.1,0,3.81,NA,13870,FleaFlicker,13726,@KCSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,RB53,0.1,32,54%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marlon Mack,RB,DEN,NA,3.6,17.1,NA,0.1,0.9,0.9,6.5,NA,NA,0,0,3.2,NA,13044,FleaFlicker,13234,@KCSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,RB77,0.1,23.6,25%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justin Jackson,RB,DET,NA,3.6,15.4,NA,0.1,1.1,1.1,9.9,NA,NA,0,0,3.17,NA,14018,FleaFlicker,13620,CHISun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,RB78,0.1,25.3,11%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kyren Williams,RB,LAR,NA,3.8,16.6,NA,0.1,0.9,0.9,7.3,NA,NA,0,0,2.91,NA,17004,FleaFlicker,15710,@LACSun 4:25 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,RB60,0.1,23.8,35%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
David Johnson,RB,NO,NA,4,15.4,NA,0.1,1.1,1.1,8.3,NA,NA,0,0,2.88,NA,11187,FleaFlicker,12171,@PHISun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,RB109,0.1,23.8,6%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenyan Drake,RB,BAL,NA,0,13.7,NA,0.1,1.1,1.1,7.6,NA,NA,0,0,2.83,NA,12101,FleaFlicker,12630,PITSun 8:20 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,RB51,0.1,21.2,43%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DeeJay Dallas,RB,SEA,NA,1.8,9.7,NA,0,1.8,1.8,12.9,NA,NA,0.1,0,2.78,NA,15680,FleaFlicker,14815,NYJSun 4:05 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,RB82,0.1,22.6,12%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Qadree Ollison,RB,DAL,NA,0,15.2,NA,0.1,0.7,0.7,3.4,NA,NA,0,0,2.68,NA,14828,FleaFlicker,14097,@TENW 27-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2.68,NA,0.1,18.5,1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jordan Wilkins,RB,IND,NA,3.1,14.4,NA,0.1,0.9,0.9,5.9,NA,NA,0,0,2.59,NA,13969,FleaFlicker,13789,@NYGSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,RB120,0.1,20.4,1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trayveon Williams,RB,CIN,NA,0,13.6,NA,0.1,0.7,0.7,4.9,NA,NA,0,0,2.57,NA,14818,FleaFlicker,14076,BUFMon 8:30 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.1,18.5,1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jordan Mason,RB,SF,NA,4,17.9,NA,0.1,0.3,0.3,1.4,NA,NA,0,0,2.56,NA,17167,FleaFlicker,15972,@LVSun 4:05 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,RB67,0.1,19.4,23%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alexander Mattison,RB,MIN,NA,3.4,14.5,NA,0.1,0.6,0.6,4.5,NA,NA,0,0,2.54,NA,14700,FleaFlicker,14223,@GBSun 4:25 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,RB44,0.1,19,64%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taiwan Jones,RB,BUF,NA,0,12,NA,0.1,0.9,0.9,7,NA,NA,0,0,2.48,NA,7526,FleaFlicker,10368,@CINMon 8:30 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,0.1,19,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JaMycal Hasty,RB,JAC,NA,2.3,12.4,NA,0.1,0.9,0.9,6.4,NA,NA,0,0,2.44,NA,15936,FleaFlicker,14821,@HOUSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,RB71,0.1,18.8,18%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boston Scott,RB,PHI,NA,3,12.7,NA,0.1,0.5,0.5,2.8,NA,NA,0,0,2.41,NA,13942,FleaFlicker,13814,NOSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,RB63,0.1,15.4,15%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pierre Strong,RB,NE,NA,2.7,10.6,NA,0.1,0.9,0.9,8,NA,NA,0,0,2.32,NA,16909,FleaFlicker,NA,MIASun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,RB80,0.1,18.6,23%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Breida,RB,NYG,NA,3.2,12.4,NA,0.1,0.7,0.7,5.3,NA,NA,0,0,2.27,NA,13358,FleaFlicker,13378,INDSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,RB66,0.1,17.7,14%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyrion Davis-Price,RB,SF,NA,3.6,15.8,NA,0.1,0.2,0.2,1.6,NA,NA,0,0,2.24,NA,16886,FleaFlicker,15746,@LVSun 4:05 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,RB68,0.1,17.4,23%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Patrick Taylor,RB,GB,NA,0,13.1,NA,0.1,0.2,0.2,1.4,NA,NA,0,0,2.16,NA,16024,FleaFlicker,14817,MINSun 4:25 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,RB114,0.1,14.5,1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kevin Harris,RB,NE,NA,1.3,12,NA,0.1,0.2,0.2,1.2,NA,NA,0,0,2.08,NA,16946,FleaFlicker,15719,MIASun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,RB97,0.1,13.2,12%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rex Burkhead,RB,HOU,NA,0.5,2.4,NA,0,1.6,1.6,13.3,NA,NA,0.1,0,1.97,NA,9426,FleaFlicker,11182,JACSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,RB57,0.1,15.7,24%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Badie,RB,DEN,NA,0,8.3,NA,0.1,0.8,0.8,6,NA,NA,0,0,1.95,NA,16972,FleaFlicker,15718,@KCSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,0.1,14.3,9%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Benny Snell,RB,PIT,NA,0,13.8,NA,0.1,0.3,0.3,1,NA,NA,0,0,1.92,NA,14790,FleaFlicker,14072,@BALSun 8:20 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,RB96,0.1,14.9,11%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Travis Homer,RB,SEA,NA,1.3,5.1,NA,0,1.1,1.1,8.8,NA,NA,0.1,0,1.91,NA,14810,FleaFlicker,14083,NYJSun 4:05 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,RB74,0.1,13.9,17%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jonathan Williams,RB,WAS,NA,1.5,8.9,NA,0.1,0.8,0.8,5.5,NA,NA,0,0,1.82,NA,9833,FleaFlicker,12635,CLESun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,0.1,14.4,1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Raheem Blackshear,RB,CAR,NA,1.6,7.6,NA,0.1,0.8,0.8,5.9,NA,NA,0,0,1.81,NA,17510,FleaFlicker,15973,@TBSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,RB84,0.1,13.5,13%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ke'Shawn Vaughn,RB,TB,NA,0,10.8,NA,0.1,0.2,0.2,1.6,NA,NA,0,0,1.8,NA,15620,FleaFlicker,14810,CARSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,RB89,0.1,12.4,8%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Darrynton Evans,RB,CHI,NA,0,10.4,NA,0.1,0.4,0.4,2.4,NA,NA,0,0,1.8,NA,15550,FleaFlicker,14808,@DETSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,RB98,0.1,12.8,6%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salvon Ahmed,RB,MIA,NA,0,13.7,NA,0.1,0.2,0.2,0,NA,NA,0,0,1.79,NA,15937,FleaFlicker,14811,@NESun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,RB95,0.1,13.7,4%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kene Nwangwu,RB,MIN,NA,0,9.2,NA,0.1,0.6,0.6,2.5,NA,NA,0,0,1.75,NA,16375,FleaFlicker,15414,@GBSun 4:25 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,RB118,0.1,11.8,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nyheim Hines,RB,BUF,NA,0.7,5,NA,0,1,1,8,NA,NA,0,0,1.7,NA,13900,FleaFlicker,13622,@CINMon 8:30 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,RB50,0.1,13,48%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gary Brightwell,RB,NYG,NA,1.9,7.6,NA,0.1,0.8,0.8,5.9,NA,NA,0,0,1.69,NA,16461,FleaFlicker,15462,INDSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,RB103,0.1,13.5,4%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ameer Abdullah,RB,LV,NA,0.3,1.9,NA,0,1.5,1.5,11.8,NA,NA,0,0,1.59,NA,11207,FleaFlicker,12155,SFSun 4:05 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,RB72,0,13.7,10%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Snoop Conner,RB,JAC,NA,1.6,10.8,NA,0.1,0.2,0.2,0.6,NA,NA,0,0,1.58,NA,16957,FleaFlicker,15725,@HOUSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,RB93,0.1,11.3,11%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ty Johnson,RB,NYJ,NA,1.9,8.3,NA,0.1,0.5,0.5,3.8,NA,NA,0,0,1.55,NA,14842,FleaFlicker,14095,@SEASun 4:05 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,RB83,0.1,12.1,12%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Giovani Bernard,RB,TB,NA,0,6.1,NA,0,0.5,0.5,5,NA,NA,0,0,1.51,NA,9341,FleaFlicker,11193,CARSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,RB100,0.1,11.1,6%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wayne Gallman,RB,SEA,NA,0,8.2,NA,0.1,0.4,0.4,2.4,NA,NA,0,0,1.46,NA,13021,FleaFlicker,13135,NYJSun 4:05 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0.1,10.6,1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kyle Juszczyk,RB,SF,NA,0.2,0.6,NA,0,1.1,1.1,9.8,NA,NA,0.1,0,1.44,NA,9410,FleaFlicker,11367,@LVSun 4:05 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,RB101,0.1,10.4,5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Keaontay Ingram,RB,ARI,NA,2.1,9.4,NA,0.1,0.2,0.2,1.3,NA,NA,0,0,1.41,NA,17007,FleaFlicker,15734,@ATLSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,RB70,0.1,10.7,20%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eno Benjamin,RB,NO,NA,0,8.9,NA,0.1,0.5,0.5,1.4,NA,NA,0,0,1.39,NA,15765,FleaFlicker,14801,@PHISun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,RB61,0.1,10.3,27%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alec Ingold,RB,MIA,NA,0.2,0.6,NA,0,1.3,1.3,8.8,NA,NA,0.1,0,1.36,NA,15279,FleaFlicker,14420,@NESun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,RB112,0.1,9.4,1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malcolm Brown,RB,LAR,NA,1.3,6.5,NA,0,0.6,0.6,3.6,NA,NA,0,0,1.31,NA,11724,FleaFlicker,12386,@LACSun 4:25 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,RB105,0.1,10.1,3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zamir White,RB,LV,NA,0,8.8,NA,0.1,0.2,0.2,0.6,NA,NA,0,0,1.28,NA,16918,FleaFlicker,15714,SFSun 4:05 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,RB62,0.1,9.4,29%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Avery Williams,RB,ATL,NA,1.8,5.4,NA,0,0.6,0.6,4.5,NA,NA,0,0,1.27,NA,13524,FleaFlicker,15454,ARISun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,RB106,0.1,9.9,4%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justice Hill,RB,BAL,NA,0.6,3.8,NA,0,0.8,0.8,5.5,NA,NA,0,0,1.14,NA,14767,FleaFlicker,14086,PITSun 8:20 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,RB90,0,9.2,8%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon Bolden,RB,LV,NA,0,0.4,NA,0,0.8,0.8,6.5,NA,NA,0,0,1.07,NA,9114,FleaFlicker,10932,SFSun 4:05 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,0.1,6.9,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Larry Rountree,RB,LAC,NA,0,4.9,NA,0,0.2,0.2,1,NA,NA,0,0,0.95,NA,16433,FleaFlicker,15272,LARSun 4:25 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,0.1,6,4%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D'Ernest Johnson,RB,CLE,NA,0,4.3,NA,0,0.3,0.3,1.8,NA,NA,0,0,0.91,NA,15453,FleaFlicker,14331,@WASSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,RB79,0.1,6.1,15%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michael Burton,RB,KC,NA,0,2.4,NA,0,0.3,0.3,1.6,NA,NA,0,0,0.64,NA,11295,FleaFlicker,12325,DENSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,RB119,0,4.1,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
