player,pos,team,games,rush_att,rush_yds,rush_avg,rush_tds,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,opp,rush_09_tds,rush_1019_tds,rush_2029_tds,rush_3039_tds,rush_4049_tds,rush_50_tds,rec_rz_tgt,rush_50_yds,rush_100_yds,return_yds,scoring_opp,bye,draft_rank,misc_tds,misc_yds,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_ovr,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,draftkings_salary,draftkings_value,yahoo_site_points,return_tds,two_pts
"Pollard, Tony",RB,DAL,NA,10,49,NA,0.2,3.5,2.6,21,NA,NA,0,0,8.2,NA,NA,FantasySharks,14085,TBB,0.1,0,0,0,0.1,0.1,0.6,0.1,0,45,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pierce, Dameon",RB,HOU,NA,10.7,37,NA,0.2,3.6,2.7,24,NA,NA,0.1,0.1,7.8,NA,NA,FantasySharks,15717,IND,0.2,0,0,0,0,0,0.5,0.1,0.1,0,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ingram, Mark",RB,NOS,NA,15.3,52,NA,0.1,3.7,2.9,18,NA,NA,0,0.1,7.7,NA,NA,FantasySharks,10276,@ATL,0.1,0.1,0,0,0,0,0.3,0.1,0,1,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hines, Nyheim",RB,IND,NA,5.6,30,NA,0.1,5.7,4.2,32,NA,NA,0.1,0.1,7.5,NA,NA,FantasySharks,13622,@HOU,0.1,0,0,0,0,0,0.8,0.1,0.1,7,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"McKissic, J.D.",RB,WAS,NA,4.7,20,NA,0.2,4.5,3.4,29,NA,NA,0.1,0,6.8,NA,NA,FantasySharks,13108,JAC,0.2,0.1,0,0,0,0,0.2,0.1,0.1,0,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carter, Michael",RB,NYJ,NA,8.9,39,NA,0.2,3.2,2,19,NA,NA,0,0.1,6.8,NA,NA,FantasySharks,15258,BAL,0.2,0,0,0,0,0,0.1,0.1,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Williams, Darrel",RB,ARI,NA,6.9,30,NA,0.3,2.3,1.8,16,NA,NA,0,0,6.7,NA,NA,FantasySharks,13623,KCC,0.3,0,0,0,0,0,0.4,0.1,0,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Davis, Mike",RB,BAL,NA,8.7,30,NA,0.2,3.1,2.1,14,NA,NA,0.1,0,6.2,NA,NA,FantasySharks,12164,@NYJ,0.2,0,0,0,0,0,0.4,0.1,0,0,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Drake, Kenyan",RB,BAL,NA,6.3,30,NA,0.2,3.5,2.5,21,NA,NA,0,0,6.1,NA,NA,FantasySharks,12630,@NYJ,0.2,0,0,0,0,0,0.5,0.1,0,16,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scott, Boston",RB,PHI,NA,5.4,25,NA,0.5,1.3,0.9,6,NA,NA,0,0,6,NA,NA,FantasySharks,13814,@DET,0.4,0,0,0.1,0,0,0.1,0,0,6,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"McKinnon, Jerick",RB,KCC,NA,5.4,26,NA,0.1,3,2.1,21,NA,NA,0.1,0,5.9,NA,NA,FantasySharks,11761,@ARI,0.1,0,0,0,0,0.1,0.6,0.1,0,2,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gainwell, Kenneth",RB,PHI,NA,6.5,27,NA,0.2,2.6,1.6,13,NA,NA,0.1,0.1,5.8,NA,NA,FantasySharks,15255,@DET,0.2,0,0,0,0,0,0.5,0.1,0,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Burkhead, Rex",RB,HOU,NA,9.9,33,NA,0.1,2.6,2.1,15,NA,NA,0,0,5.8,NA,NA,FantasySharks,11182,IND,0.1,0,0.1,0,0,0,0.3,0.1,0,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Foreman, D'Onta",RB,CAR,NA,8.1,34,NA,0.1,2.1,1.6,13,NA,NA,0,0,5.5,NA,NA,FantasySharks,13134,CLE,0.1,0,0,0,0,0,0.3,0.1,0,7,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Henderson, Darrell",RB,LAR,NA,7.6,33,NA,0.1,2.2,1.6,8,NA,NA,0.1,0,5.4,NA,NA,FantasySharks,14087,BUF,0.1,0,0,0,0,0,0.5,0,0,1,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hilliard, Dontrell",RB,TEN,NA,5.7,29,NA,0.1,3.1,2.6,15,NA,NA,0,0,5.4,NA,NA,FantasySharks,13871,NYG,0,0,0,0.1,0,0,0.6,0.1,0,20,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Walker III, Kenneth",RB,SEA,NA,8.8,28,NA,0.2,2.4,2.2,15,NA,NA,0,0.1,5.3,NA,NA,FantasySharks,15711,DEN,0.2,0,0,0,0,0,0.3,0.1,0,18,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hubbard, Chuba",RB,CAR,NA,7.8,26,NA,0.3,1.7,1,9,NA,NA,0,0,5.2,NA,NA,FantasySharks,15261,CLE,0.2,0,0,0,0,0,0.1,0,0,1,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wilson, Jeffery",RB,SFO,NA,7,27,NA,0.3,2,1.1,8,NA,NA,0,0,5.2,NA,NA,FantasySharks,14017,@CHI,0.3,0,0,0,0,0,0.4,0,0,0,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gaskin, Myles",RB,MIA,NA,8.3,27,NA,0.1,3.1,2.1,9,NA,NA,0.1,0,5,NA,NA,FantasySharks,14081,NEP,0.1,0,0,0,0,0,0.5,0,0,1,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"White, Zamir",RB,LVR,NA,4.8,21,NA,0.2,2.1,1.6,13,NA,NA,0,0,4.6,NA,NA,FantasySharks,15714,@LAC,0.1,0,0.1,0,0,0,0.3,0.1,0,8,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Johnson, Ty",RB,NYJ,NA,4.3,18,NA,0.1,2.7,1.7,17,NA,NA,0.1,0,4.5,NA,NA,FantasySharks,14095,BAL,0.1,0,0,0,0,0,0.2,0.1,0,6,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Michel, Sony",RB,LAC,NA,7,29,NA,0.1,1.1,0.7,5,NA,NA,0,0.1,4.3,NA,NA,FantasySharks,13607,LVR,0.1,0,0,0,0,0,0.1,0,0,4,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"White, Rachaad",RB,TBB,NA,4.9,21,NA,0.2,1.9,1.3,8,NA,NA,0.1,0.1,4,NA,NA,FantasySharks,15721,@DAL,0.1,0,0,0,0,0,0.3,0,0,1,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Johnson, D'Ernest",RB,CLE,NA,4.8,25,NA,0.1,1.2,0.9,6,NA,NA,0,0,3.7,NA,NA,FantasySharks,14331,@CAR,0.1,0,0,0,0,0,0.1,0,0,21,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Perine, Samaje",RB,CIN,NA,3.6,15,NA,0,1.8,1.5,12,NA,NA,0.1,0,3.6,NA,NA,FantasySharks,13133,PIT,0,0,0,0,0,0,0.3,0.1,0,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kelley, Joshua",RB,LAC,NA,5.2,21,NA,0.1,1.6,1.3,8,NA,NA,0,0,3.5,NA,NA,FantasySharks,14807,LVR,0.1,0,0,0,0,0,0.3,0,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Breida, Matt",RB,NYG,NA,5.1,20,NA,0,2.2,1.6,9,NA,NA,0.1,0.1,3.2,NA,NA,FantasySharks,13378,@TEN,0,0,0,0,0,0,0.1,0,0,2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cook, James",RB,BUF,NA,5.6,23,NA,0,1.3,0.9,6,NA,NA,0,0,3.1,NA,NA,FantasySharks,15715,@LAR,0,0,0,0,0,0,0.1,0,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moss, Zack",RB,BUF,NA,3.5,12,NA,0.2,1.2,0.8,7,NA,NA,0,0.1,2.9,NA,NA,FantasySharks,14798,@LAR,0.2,0,0,0,0,0,0.2,0,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Homer, Travis",RB,SEA,NA,3,15,NA,0,1.1,0.8,11,NA,NA,0,0,2.8,NA,NA,FantasySharks,14083,DEN,0,0,0,0,0,0,0.1,0,0,4,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Herbert, Khalil",RB,CHI,NA,4.1,17,NA,0.1,0.9,0.8,5,NA,NA,0,0,2.8,NA,NA,FantasySharks,15271,SFO,0.1,0,0.1,0,0,0,0.1,0,0,24,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Williams, Damien",RB,ATL,NA,3.5,15,NA,0.1,2.1,1.4,7,NA,NA,0,0.1,2.6,NA,NA,FantasySharks,11886,NOS,0.1,0,0,0,0,0,0.2,0,0,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abdullah, Ameer",RB,LVR,NA,2.1,6,NA,0,2.7,1.8,13,NA,NA,0.1,0,2.4,NA,NA,FantasySharks,12155,@LAC,0,0,0,0,0,0,0.4,0.1,0,37,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bolden, Brandon",RB,LVR,NA,2.1,8,NA,0,2.2,1.6,13,NA,NA,0,0,2.4,NA,NA,FantasySharks,10932,@LAC,0,0,0,0,0,0,0.3,0.1,0,6,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Williams, Jonathan",RB,WAS,NA,3.6,15,NA,0.1,1,0.7,4,NA,NA,0,0,2.3,NA,NA,FantasySharks,12635,JAC,0.1,0,0,0,0,0,0,0,0,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jones, Ronald",RB,KCC,NA,3.2,14,NA,0.1,0.5,0.4,2,NA,NA,0,0,2.2,NA,NA,FantasySharks,13606,@ARI,0.1,0,0,0,0,0,0,0,0,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dallas, DeeJay",RB,SEA,NA,1.8,7,NA,0.1,1.5,1.4,9,NA,NA,0,0,2.2,NA,NA,FantasySharks,14815,DEN,0.1,0,0,0,0,0,0.1,0,0,38,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ahmed, Salvon",RB,MIA,NA,4,11,NA,0,1.5,1,9,NA,NA,0,0,2.1,NA,NA,FantasySharks,14811,NEP,0,0,0,0,0,0,0.2,0,0,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bernard, Giovani",RB,TBB,NA,1.3,6,NA,0.1,1.3,0.9,5,NA,NA,0.1,0,2,NA,NA,FantasySharks,11193,@DAL,0.1,0,0,0,0,0,0.3,0,0,2,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Snell, Benny",RB,PIT,NA,3.6,10,NA,0.1,0.6,0.4,3,NA,NA,0,0,1.9,NA,NA,FantasySharks,14072,@CIN,0.1,0,0,0,0,0,0.1,0,0,0,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Juszczyk, Kyle",RB,SFO,NA,0.4,1,NA,0.1,1.8,1.4,14,NA,NA,0,0,1.9,NA,NA,FantasySharks,11367,@CHI,0.1,0,0,0,0,0,0.2,0.1,0,1,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vaughn, Ke'Shawn",RB,TBB,NA,2.3,11,NA,0.1,0.8,0.5,3,NA,NA,0,0.1,1.9,NA,NA,FantasySharks,14810,@DAL,0.1,0,0,0,0,0,0.1,0,0,1,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mostert, Raheem",RB,MIA,NA,4,15,NA,0,0.7,0.4,4,NA,NA,0,0,1.8,NA,NA,FantasySharks,12447,NEP,0,0,0,0,0,0,0.1,0,0,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ogunbowale, Dare",RB,HOU,NA,2.7,9,NA,0.1,1,0.5,4,NA,NA,0,0,1.8,NA,NA,FantasySharks,13148,IND,0.1,0,0,0,0,0,0.1,0,0,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Davis-Price, Tyrion",RB,SFO,NA,1.8,7,NA,0,1.6,1.2,10,NA,NA,0,0,1.7,NA,NA,FantasySharks,15746,@CHI,0,0,0,0,0,0,0.3,0,0,5,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montgomery, Ty",RB,NEP,NA,2.1,8,NA,0,1.7,1.1,8,NA,NA,0,0,1.7,NA,NA,FantasySharks,12261,@MIA,0,0,0,0,0,0,0.1,0,0,5,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Burton, Michael",RB,KCC,NA,1.7,7,NA,0.1,0.4,0.4,4,NA,NA,0,0,1.7,NA,NA,FantasySharks,12325,@ARI,0.1,0,0,0,0,0,0.1,0,0,1,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Reynolds, Craig",RB,DET,NA,3.6,12,NA,0,0.8,0.7,5,NA,NA,0,0,1.6,NA,NA,FantasySharks,14727,PHI,0,0,0,0,0,0,0,0,0,1,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jones, Tony",RB,NOS,NA,3.4,10,NA,0,0.9,0.4,3,NA,NA,0,0,1.4,NA,NA,FantasySharks,14828,@ATL,0,0,0,0,0,0,0.1,0,0,2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hasty, JaMycal",RB,JAC,NA,0.6,1,NA,0.1,1.6,1.3,9,NA,NA,0,0,1.3,NA,NA,FantasySharks,14821,@WAS,0.1,0,0,0,0,0,0.3,0,0,11,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Felton, Demetric",RB,CLE,NA,0.4,1,NA,0,1,0.8,7,NA,NA,0.1,0,1.3,NA,NA,FantasySharks,15270,@CAR,0,0,0,0,0,0,0.1,0,0,7,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Benjamin, Eno",RB,ARI,NA,1.9,6,NA,0.1,0.5,0.3,4,NA,NA,0,0,1.2,NA,NA,FantasySharks,14801,KCC,0,0,0.1,0,0,0,0,0,0,8,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pacheco, Isiah",RB,KCC,NA,2,6,NA,0.1,0.4,0.4,2,NA,NA,0,0,1.2,NA,NA,FantasySharks,15749,@ARI,0.1,0,0,0,0,0,0.1,0,0,1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Haskins, Hassan",RB,TEN,NA,2.3,9,NA,0,0.7,0.3,2,NA,NA,0,0,1.2,NA,NA,FantasySharks,15720,NYG,0,0,0,0,0,0,0.2,0,0,5,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allgeier, Tyler",RB,ATL,NA,2.7,8,NA,0,0.9,0.7,4,NA,NA,0,0,1.1,NA,NA,FantasySharks,15712,NOS,0,0,0,0,0,0,0.2,0,0,1,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jackson, Deon",RB,IND,NA,1.7,5,NA,0.1,0.3,0.2,1,NA,NA,0,0,1,NA,NA,FantasySharks,15277,@HOU,0.1,0,0,0,0,0,0,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spiller, Isaiah",RB,LAC,NA,1.8,5,NA,0,0.5,0.4,1,NA,NA,0.1,0,1,NA,NA,FantasySharks,15709,LVR,0,0,0,0,0,0,0.1,0,0,5,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Williams, Antonio",RB,NYG,NA,1.5,5,NA,0,0.2,0.2,0,NA,NA,0,0,0.9,NA,NA,FantasySharks,15220,@TEN,0,0,0,0,0,0,0,0,0,2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nwangwu, Kene",RB,MIN,NA,1.2,4,NA,0,1.1,0.9,5,NA,NA,0,0,0.9,NA,NA,FantasySharks,15414,GBP,0,0,0,0,0,0,0.2,0,0,18,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Evans, Chris",RB,CIN,NA,0.8,3,NA,0,0.6,0.5,4,NA,NA,0,0,0.8,NA,NA,FantasySharks,15275,PIT,0,0,0,0,0,0,0.1,0,0,14,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ham, C.J.",RB,MIN,NA,0.4,2,NA,0,0.8,0.7,6,NA,NA,0,0,0.8,NA,NA,FantasySharks,12923,GBP,0,0,0,0,0,0,0.1,0,0,4,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boone, Mike",RB,DEN,NA,0.8,4,NA,0,0.1,0.1,1,NA,NA,0,0,0.7,NA,NA,FantasySharks,13868,@SEA,0,0,0,0,0,0,0,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ward, Jonathan",RB,ARI,NA,0.5,2,NA,0,0.2,0.1,2,NA,NA,0,0,0.5,NA,NA,FantasySharks,15042,KCC,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dowdle, Rico",RB,DAL,NA,0.6,2,NA,0,0,0,0,NA,NA,0,0,0.4,NA,NA,FantasySharks,14823,TBB,0,0,0,0,0,0,0,0,0,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ingold, Alec",RB,MIA,NA,0.1,0.1,NA,0,0.3,0.3,4,NA,NA,0,0,0.4,NA,NA,FantasySharks,14420,NEP,0,0,0,0,0,0,0.1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Williams, Kyren",RB,LAR,NA,1.1,3,NA,0,0.2,0.1,1,NA,NA,0,0,0.3,NA,NA,FantasySharks,15710,BUF,0,0,0,0,0,0,0,0,0,4,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ricard, Patrick",RB,BAL,NA,0.1,0,NA,0,0.5,0.3,2,NA,NA,0,0,0.3,NA,NA,FantasySharks,13455,@NYJ,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hill, Kylin",RB,GBP,NA,0.9,2,NA,0,0.2,0.1,1,NA,NA,0,0,0.3,NA,NA,FantasySharks,15265,@MIN,0,0,0,0,0,0,0,0,0,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mason, Jordan",RB,SFO,NA,0.7,2,NA,0,0.3,0.2,1,NA,NA,0,0,0.3,NA,NA,FantasySharks,15972,@CHI,0,0,0,0,0,0,0,0,0,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Warren, Jaylen",RB,PIT,NA,1,2,NA,0,0.2,0.1,1,NA,NA,0,0,0.3,NA,NA,FantasySharks,15742,@CIN,0,0,0,0,0,0,0,0,0,1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Strong Jr., Pierre",RB,NEP,NA,0.5,2,NA,0,0.5,0.3,1,NA,NA,0,0,0.3,NA,NA,FantasySharks,15733,@MIA,0,0,0,0,0,0,0.1,0,0,4,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Prentice, Adam",RB,NOS,NA,0.8,1,NA,0,0.3,0.2,1,NA,NA,0,0,0.2,NA,NA,FantasySharks,15650,@ATL,0,0,0,0,0,0,0,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Smith, Keith",RB,ATL,NA,0.4,1,NA,0,0.3,0.2,1,NA,NA,0,0,0.2,NA,NA,FantasySharks,12040,NOS,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brightwell, Gary",RB,NYG,NA,0.3,1,NA,0,0.1,0.1,1,NA,NA,0,0,0.2,NA,NA,FantasySharks,15462,@TEN,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hill, Justice",RB,BAL,NA,0.2,1,NA,0,0.2,0.1,1,NA,NA,0,0,0.1,NA,NA,FantasySharks,14086,@NYJ,0,0,0,0,0,0,0.1,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Watt, Derek",RB,PIT,NA,0.2,1,NA,0,0.2,0.1,1,NA,NA,0,0,0.1,NA,NA,FantasySharks,12823,@CIN,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ford, Jerome",RB,CLE,NA,0.2,1,NA,0,0.1,0,0.1,NA,NA,0,0,0.1,NA,NA,FantasySharks,15713,@CAR,0,0,0,0,0,0,0,0,0,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Conner, Snoop",RB,JAC,NA,0.4,0,NA,0,0.2,0.1,0,NA,NA,0,0,0.1,NA,NA,FantasySharks,15725,@WAS,0,0,0,0,0,0,0.1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ebner, Trestan",RB,CHI,NA,0.4,1,NA,0,0.2,0.1,0,NA,NA,0,0,0.1,NA,NA,FantasySharks,15748,SFO,0,0,0,0,0,0,0,0,0,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Williams, Avery",RB,ATL,NA,0.5,-0.2,NA,0,0.4,0.2,1,NA,NA,0,0,0.1,NA,NA,FantasySharks,15454,NOS,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chandler, Ty",RB,MIN,NA,0.1,0,NA,0,0.1,0.1,0,NA,NA,0,0,0.1,NA,NA,FantasySharks,15723,GBP,0,0,0,0,0,0,0,0,0,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jonathan Taylor,RB,IND,NA,23.4,112.7,NA,1.1,2.4,2.4,19.5,NA,NA,0.1,0.1,20.2,NA,15604,FleaFlicker,14802,@HOUSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,RB1,1.2,132.2,98%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Derrick Henry,RB,TEN,NA,25.5,109.2,NA,0.9,1.7,1.7,14.1,NA,NA,0.1,0.1,18.67,NA,12042,FleaFlicker,12626,NYGSun 4:25 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,RB3,1.1,123.3,98%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
