player,pos,team,games,pass_att,pass_comp,pass_yds,pass_yds_g,pass_tds,pass_int,pass_rate,rush_att,rush_yds,rush_avg,rush_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,opp,pass_09_tds,pass_1019_tds,pass_2029_tds,pass_3039_tds,pass_4049_tds,pass_50_tds,sacks,scoring_opp,bye,draft_rank,pass_comp_pct,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_ovr,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,draftkings_salary,draftkings_value,yahoo_site_points,yahoo_salary,yahoo_value,rec,rec_yds,rec_tds,two_pts
Matt Ryan,QB,IND,NA,33.4,22.1,244.1,NA,1.7,0.8,NA,2.2,7,NA,0.1,0.3,16.3,NA,9444,FantasyPros,9099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daniel Jones,QB,NYG,NA,32,20.4,219,NA,1.4,1,NA,5.4,25.4,NA,0.2,0.3,16.2,NA,18232,FantasyPros,14059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mitch Trubisky,QB,PIT,NA,34.4,21.8,235,NA,1.4,1,NA,3.6,15.8,NA,0.1,0.2,15.9,NA,16381,FantasyPros,13115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trevor Lawrence,QB,JAC,NA,36.4,22.3,241,NA,1.4,1.1,NA,3.7,16.3,NA,0.1,0.2,15.9,NA,19780,FantasyPros,15237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jacoby Brissett,QB,CLE,NA,31.3,19.9,223.7,NA,1.4,0.6,NA,3,11.1,NA,0.2,0.2,15.7,NA,15642,FantasyPros,12616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ryan Tannehill,QB,TEN,NA,33.1,21,227.8,NA,1.3,0.9,NA,3.1,13.4,NA,0.2,0.2,15.4,NA,11174,FantasyPros,10697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baker Mayfield,QB,CAR,NA,34.7,21.5,243.6,NA,1.3,0.9,NA,2.7,8.7,NA,0.1,0.2,15.1,NA,17237,FantasyPros,13590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justin Fields,QB,CHI,NA,30.5,18.4,208.7,NA,1,1,NA,6.7,33.6,NA,0.2,0.3,15.1,NA,19781,FantasyPros,15238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cooper Rush,QB,DAL,NA,35.9,22.6,245.5,NA,1.3,1,NA,2.3,8.4,NA,0,0.2,14.9,NA,16477,FantasyPros,13124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Davis Mills,QB,HOU,NA,35,22.5,242.1,NA,1.4,1,NA,1.9,5.4,NA,0,0.2,14.8,NA,22799,FantasyPros,15252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mac Jones,QB,NE,NA,32.5,21.3,234.1,NA,1.4,1,NA,2.2,8,NA,0.1,0.2,14.6,NA,20156,FantasyPros,15241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joe Flacco,QB,NYJ,NA,34.9,21.6,242.5,NA,1.1,1,NA,1.6,4.8,NA,0,0.2,13.7,NA,9300,FantasyPros,9064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Geno Smith,QB,SEA,NA,31.1,20,223.2,NA,1.1,0.9,NA,2.9,10.9,NA,0.1,0.2,13.3,NA,11687,FantasyPros,11150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenny Pickett,QB,PIT,NA,3.9,2.4,21.9,NA,0.1,0.1,NA,0.2,0.8,NA,0,0,1.3,NA,22722,FantasyPros,15692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trace McSorley,QB,ARI,NA,1.4,1,15,NA,0.1,0,NA,0.3,2.3,NA,0,0,1.3,NA,18475,FantasyPros,14061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joshua Dobbs,QB,CLE,NA,1.2,0.8,16.3,NA,0.1,0.1,NA,0.3,2.1,NA,0,0,1.2,NA,16417,FantasyPros,13119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jordan Love,QB,GB,NA,1.4,0.7,17.4,NA,0.1,0,NA,0.3,0.7,NA,0,0,1.1,NA,19246,FantasyPros,14782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jimmy Garoppolo,QB,SF,NA,1.2,0.8,17.6,NA,0.1,0,NA,0.1,0.1,NA,0,0,1,NA,12208,FantasyPros,11760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drew Lock,QB,SEA,NA,2.9,1.8,16.3,NA,0.1,0.1,NA,0.3,0.6,NA,0,0,1,NA,18225,FantasyPros,14057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jarrett Stidham,QB,LV,NA,1.5,1.1,12.3,NA,0.1,0,NA,0.2,0.5,NA,0,0,0.9,NA,18604,FantasyPros,14063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Case Keenum,QB,BUF,NA,1.4,1,11.3,NA,0.1,0,NA,0.1,0.6,NA,0,0,0.9,NA,11425,FantasyPros,10948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taylor Heinicke,QB,WAS,NA,1.3,0.8,10,NA,0.1,0,NA,0.3,1.1,NA,0,0,0.9,NA,13932,FantasyPros,12476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chase Daniel,QB,LAC,NA,1.6,1,11,NA,0.1,0,NA,0.2,0.7,NA,0,0,0.9,NA,9111,FantasyPros,9706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nick Foles,QB,IND,NA,1.3,0.9,9.2,NA,0.1,0,NA,0.3,1.4,NA,0,0,0.9,NA,11176,FantasyPros,10699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Huntley,QB,BAL,NA,1.3,0.8,9.3,NA,0.1,0,NA,0.3,1.3,NA,0,0,0.9,NA,19297,FantasyPros,14789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nate Sudfeld,QB,DET,NA,1.4,0.9,12.4,NA,0.1,0.1,NA,0.2,0.6,NA,0,0,0.9,NA,15833,FantasyPros,12815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chad Henne,QB,KC,NA,1.5,0.9,10.1,NA,0.1,0,NA,0.3,0.5,NA,0,0,0.9,NA,9101,FantasyPros,9073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyrod Taylor,QB,NYG,NA,1.5,0.9,8.8,NA,0.1,0,NA,0.1,1,NA,0,0,0.9,NA,10007,FantasyPros,10413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taysom Hill,QB,NO,NA,0,0,0,NA,0,0,NA,1.1,5.4,NA,0.1,0,0.8,NA,17115,FantasyPros,13424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C.J. Beathard,QB,JAC,NA,1.5,0.9,8.7,NA,0.1,0,NA,0.2,0.9,NA,0,0,0.8,NA,16419,FantasyPros,13125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gardner Minshew II,QB,PHI,NA,1.2,0.7,9.5,NA,0.1,0,NA,0.3,1,NA,0,0,0.8,NA,18562,FantasyPros,14067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trevor Siemian,QB,CHI,NA,1.2,0.7,13.8,NA,0.1,0.1,NA,0.2,0.5,NA,0,0,0.8,NA,14142,FantasyPros,12381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brett Rypien,QB,DEN,NA,0,0,13.3,NA,0.1,0.1,NA,0,0,NA,0,0,0.8,NA,18323,FantasyPros,14065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Teddy Bridgewater,QB,MIA,NA,1.9,1.2,12.8,NA,0.1,0.1,NA,0.1,0.2,NA,0,0,0.8,NA,12088,FantasyPros,11640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malik Willis,QB,TEN,NA,0.9,0.6,12.8,NA,0,0.1,NA,0.1,0.6,NA,0,0,0.8,NA,23499,FantasyPros,15694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mike White,QB,NYJ,NA,1.4,0.8,8.1,NA,0.1,0,NA,0.2,0.2,NA,0,0,0.7,NA,17447,FantasyPros,13598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kyle Trask,QB,TB,NA,1.3,0.7,8.1,NA,0.1,0,NA,0.1,0.2,NA,0,0,0.7,NA,19800,FantasyPros,15242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andy Dalton,QB,NO,NA,1.2,0.8,9.5,NA,0.1,0,NA,0.3,0.6,NA,0,0,0.7,NA,9907,FantasyPros,10313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brian Hoyer,QB,NE,NA,1.1,0.8,12.1,NA,0.1,0.1,NA,0.3,0.2,NA,0,0,0.7,NA,9078,FantasyPros,9714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kyle Allen,QB,HOU,NA,1.3,0.8,8.3,NA,0.1,0.1,NA,0.1,0.4,NA,0,0,0.7,NA,17869,FantasyPros,13879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blaine Gabbert,QB,TB,NA,0,0,12.9,NA,0,0.1,NA,0,0,NA,0,0,0.7,NA,9858,FantasyPros,10262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Desmond Ridder,QB,ATL,NA,1,0.6,12.1,NA,0,0.1,NA,0.1,0.3,NA,0,0,0.6,NA,20080,FantasyPros,15697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nick Mullens,QB,MIN,NA,1.4,1,10.2,NA,0.1,0,NA,0.3,0.4,NA,0,0.1,0.6,NA,16726,FantasyPros,13968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
John Wolford,QB,LAR,NA,1.4,0.9,11,NA,0,0.1,NA,0.2,1,NA,0,0,0.4,NA,18185,FantasyPros,15035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Will Grier,QB,DAL,NA,1.1,0.7,7.3,NA,0,0,NA,0,0,NA,0,0,0.3,NA,18241,FantasyPros,14062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mahomes, Patrick",QB,KCC,NA,38,25.7,308,NA,2.5,0.7,NA,3.3,18,NA,0.1,0.2,26.9,NA,NA,FantasySharks,13116,LAC,1.6,0.3,0.2,0.1,0.2,0.1,1.6,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allen, Josh",QB,BUF,NA,32,21.5,246,NA,2.1,0.9,NA,8,42,NA,0.4,0.1,26.5,NA,NA,FantasySharks,13589,TEN,0.9,0.5,0.5,0.1,0,0.2,1.7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Herbert, Justin",QB,LAC,NA,40,27,300,NA,2.2,0.6,NA,3.5,14,NA,0.2,0.1,26.3,NA,NA,FantasySharks,14779,@KCC,0.9,0.6,0.4,0,0.1,0.2,1.6,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Murray, Kyler",QB,ARI,NA,35.8,24.2,254,NA,1.6,0.6,NA,6.2,34,NA,0.3,0.1,24.2,NA,NA,FantasySharks,14056,@LVR,0.8,0.2,0.3,0,0.1,0.1,1.9,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stafford, Matthew",QB,LAR,NA,36,24.3,280,NA,2.1,1.1,NA,2.2,5,NA,0.1,0.1,22.6,NA,NA,FantasySharks,9431,ATL,1.1,0.7,0.1,0,0,0.2,2.1,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hurts, Jalen",QB,PHI,NA,29.8,17.5,211,NA,1,0.7,NA,9.5,52,NA,0.6,0.2,22.4,NA,NA,FantasySharks,14783,MIN,0.4,0.3,0.1,0.2,0,0,1.9,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wilson, Russell",QB,DEN,NA,30,20.3,255,NA,1.6,0.5,NA,4.7,27,NA,0.1,0,22.3,NA,NA,FantasySharks,10703,HOU,0.7,0.5,0.1,0.1,0,0.2,1.4,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Burrow, Joe",QB,CIN,NA,35.6,24,279,NA,1.8,1,NA,3,12,NA,0.1,0.2,22,NA,NA,FantasySharks,14777,@DAL,0.8,0.3,0.1,0.2,0.1,0.3,3.7,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jackson, Lamar",QB,BAL,NA,26.6,17.7,193,NA,1.2,1.2,NA,12,71,NA,0.3,0.2,21.7,NA,NA,FantasySharks,13593,MIA,0.6,0.3,0.1,0.1,0.1,0.1,3.1,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carr, Derek",QB,LVR,NA,40.3,25.8,303,NA,1.7,0.8,NA,1.8,7,NA,0.1,0.3,21.6,NA,NA,FantasySharks,11644,ARI,0.7,0.5,0.1,0.1,0.1,0.2,2,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rodgers, Aaron",QB,GBP,NA,29,19,237,NA,2,0.3,NA,2.2,6,NA,0.2,0.1,21.1,NA,NA,FantasySharks,7836,CHI,1,0.4,0.3,0.1,0,0.2,2.1,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cousins, Kirk",QB,MIN,NA,32,21.5,253,NA,2,0.5,NA,1.8,8,NA,0,0.2,20.9,NA,NA,FantasySharks,10700,@PHI,0.9,0.4,0.3,0.1,0.1,0.1,2,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brady, Tom",QB,TBB,NA,36.6,24.5,267,NA,1.8,0.8,NA,1.7,3,NA,0.1,0.2,20.2,NA,NA,FantasySharks,5848,@NOS,1,0.2,0.2,0.1,0.1,0.2,1.7,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tagovailoa, Tua",QB,MIA,NA,34.9,23.2,237,NA,1.3,0.6,NA,3.1,9,NA,0.3,0.1,19,NA,NA,FantasySharks,14778,@BAL,0.9,0.2,0.1,0,0.1,0.1,1.8,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ryan, Matt",QB,IND,NA,38.3,25,267,NA,1.4,0.5,NA,2.8,8,NA,0,0.3,18.5,NA,NA,FantasySharks,9099,@JAC,0.5,0.6,0.1,0,0.1,0.1,1.9,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tannehill, Ryan",QB,TEN,NA,27.9,18.4,208,NA,1.4,0.8,NA,3,15,NA,0.3,0.2,18.4,NA,NA,FantasySharks,10697,@BUF,0.7,0.4,0.2,0.1,0,0.1,2.3,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wentz, Carson",QB,WAS,NA,29,19.6,222,NA,1.5,0.6,NA,2.4,9,NA,0,0.1,17.9,NA,NA,FantasySharks,12610,@DET,0.6,0.3,0.2,0.1,0.2,0.1,1.2,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Smith, Geno",QB,SEA,NA,24,16,188,NA,1.7,0.3,NA,3,12,NA,0.1,0.2,17.7,NA,NA,FantasySharks,11150,@SFO,0.5,0.3,0.4,0.2,0.1,0.2,2.5,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Winston, Jameis",QB,NOS,NA,25.4,15.9,182,NA,1.5,0.5,NA,4,19,NA,0.2,0.2,17.6,NA,NA,FantasySharks,12140,TBB,0.6,0.6,0.1,0,0,0.1,2,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mills, Davis",QB,HOU,NA,32.5,21.7,225,NA,1.4,0.4,NA,2,8,NA,0.1,0.2,17.5,NA,NA,FantasySharks,15252,@DEN,0.4,0.3,0.4,0.1,0.2,0,2.6,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lance, Trey",QB,SFO,NA,29.8,18.4,234,NA,1.2,0.9,NA,4.8,19,NA,0,0.1,17.3,NA,NA,FantasySharks,15240,SEA,0.5,0.3,0.1,0,0.2,0.1,1.6,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fields, Justin",QB,CHI,NA,31,19.1,209,NA,1.2,0.9,NA,5,23,NA,0.1,0.3,16.8,NA,NA,FantasySharks,15238,@GBP,0.4,0.4,0.1,0,0.1,0.2,2.6,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rush, Cooper",QB,DAL,NA,32.3,20.6,218,NA,1.4,0.8,NA,2.5,9,NA,0.1,0.3,16.6,NA,NA,FantasySharks,13124,CIN,0.8,0.2,0.2,0.1,0,0.1,2.5,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Goff, Jared",QB,DET,NA,33.5,22,221,NA,1.4,0.6,NA,1.2,5,NA,0,0.2,16.5,NA,NA,FantasySharks,12611,WAS,0.7,0.1,0.3,0.2,0,0,1.7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lawrence, Trevor",QB,JAC,NA,37,23,227,NA,1,0.9,NA,4,17,NA,0.1,0.3,16.3,NA,NA,FantasySharks,15237,IND,0.5,0.3,0.2,0,0,0,2.1,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mayfield, Baker",QB,CAR,NA,28.1,16.4,195,NA,1,1.1,NA,4.1,15,NA,0.4,0.2,16.1,NA,NA,FantasySharks,13590,@NYG,0.4,0.1,0.1,0,0,0.3,3.2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mariota, Marcus",QB,ATL,NA,26,17.6,202,NA,0.9,0.2,NA,3.4,16,NA,0.3,0.3,16.1,NA,NA,FantasySharks,12141,@LAR,0.5,0.3,0.1,0,0,0,1,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jones, Mac",QB,NEP,NA,29.9,19.9,214,NA,1.2,0.9,NA,2.9,10,NA,0.1,0.3,15.8,NA,NA,FantasySharks,15241,@PIT,0.7,0.3,0.2,0,0.1,0,1.8,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jones, Daniel",QB,NYG,NA,30.4,19,192,NA,0.9,0.7,NA,4.7,26,NA,0.1,0.4,15.4,NA,NA,FantasySharks,14059,CAR,0.5,0.1,0.1,0.2,0,0.1,2.7,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Trubisky, Mitchell",QB,PIT,NA,28.5,19.2,202,NA,1.1,0.3,NA,2.5,10,NA,0.1,0.2,15.4,NA,NA,FantasySharks,13115,NEP,0.6,0.3,0.2,0,0,0,1.3,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Flacco, Joe",QB,NYJ,NA,30,19,198,NA,1.1,0.7,NA,2,10,NA,0.1,0.1,15,NA,NA,FantasySharks,9064,@CLE,0.5,0.2,0.2,0,0.1,0.1,3.4,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brissett, Jacoby",QB,CLE,NA,28,18.9,206,NA,1.1,0.4,NA,2,6,NA,0,0.1,14.8,NA,NA,FantasySharks,12616,NYJ,0.7,0.3,0,0,0,0.1,1.8,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Garoppolo, Jimmy",QB,SFO,NA,10.2,6.7,86,NA,0.5,0.3,NA,0.7,1,NA,0.1,0,6.5,NA,NA,FantasySharks,11760,SEA,0.2,0.1,0.1,0,0.1,0,0.6,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
