player,pos,team,games,pass_att,pass_comp,pass_yds,pass_yds_g,pass_tds,pass_int,pass_rate,rush_att,rush_yds,rush_avg,rush_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,opp,pass_09_tds,pass_1019_tds,pass_2029_tds,pass_3039_tds,pass_4049_tds,pass_50_tds,sacks,scoring_opp,bye,draft_rank,pass_comp_pct,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_ovr,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,draftkings_salary,draftkings_value,yahoo_site_points,yahoo_salary,yahoo_value,two_pts
Josh Allen,QB,BUF,1,35,22.5,258,258,2.1,1.2,92.1,7.2,43.7,6.1,0.4,0.3,26,26,2181054,CBS,13589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joe Burrow,QB,CIN,1,35.4,23.9,281,281,2.2,0.9,101.5,4,18.7,4.7,0.4,0.1,25.6,25.6,2179798,CBS,14777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Patrick Mahomes,QB,KC,1,39.4,26.1,296,296,2,0.7,98.1,3.8,23.2,6.1,0.2,0.1,24.6,24.6,2142052,CBS,13116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jalen Hurts,QB,PHI,1,29.8,18.8,221,221,1.5,0.6,93.9,9.3,50.4,5.4,0.4,0.1,23,23,2240246,CBS,14783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justin Herbert,QB,LAC,1,39.7,26.9,282,282,2,0.8,96.5,3.5,13.2,3.8,0.1,0.1,22.8,22.8,2221960,CBS,14779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kirk Cousins,QB,MIN,1,36.7,24.1,283,283,2,0.7,99.2,1.9,6.2,3.3,0.1,0.2,21.8,21.8,1272574,CBS,10700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dak Prescott,QB,DAL,1,32.8,21.5,266,266,2,0.8,100.7,2.9,11.2,3.9,0.1,0.2,21.6,21.6,1824864,CBS,12620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tua Tagovailoa,QB,MIA,1,36.5,23.7,287,287,1.9,1,94.9,2.4,7.2,3,0.1,0.1,20.8,20.8,2741209,CBS,14778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deshaun Watson,QB,CLE,1,33.3,19.2,230,230,1.4,0.8,82.9,7.3,36.7,5,0.3,0.2,20.2,20.2,2133482,CBS,13113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jared Goff,QB,DET,1,34.3,23.8,273,273,1.9,0.5,105.5,1.8,4.4,2.4,0,0.2,20,20,2061053,CBS,12611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Geno Smith,QB,SEA,1,31.5,22.6,230,230,1.8,0.6,103.4,4.1,18.1,4.4,0.1,0.3,19.6,19.6,1700358,CBS,11150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kyler Murray,QB,ARI,1,36.2,23.3,238,238,1.3,1.2,81.3,6,32.8,5.5,0.3,0.2,18.8,18.8,2180829,CBS,14056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ryan Tannehill,QB,TEN,1,27.4,18.1,213,213,1.5,1,92.6,3.1,10.9,3.5,0.2,0.1,17,17,1273654,CBS,10697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Derek Carr,QB,LV,1,36.3,24.1,266,266,1.5,0.9,91.4,1.7,5.8,3.4,0,0.1,17,17,1664819,CBS,11644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Huntley,QB,BAL,1,30.8,18.4,209,209,1.2,1.2,76.9,6.6,31.8,4.8,0.2,0.2,16.6,16.6,3159137,CBS,14789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daniel Jones,QB,NYG,1,29.5,19.1,183,183,1.2,0.7,85.6,6.8,39.9,5.9,0.2,0.3,16.4,16.4,2179245,CBS,14059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenny Pickett,QB,PIT,1,36.2,23.8,236,236,1.2,1,83.6,3.6,17.3,4.8,0.2,0.1,16.2,16.2,2804969,CBS,15692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mac Jones,QB,NE,1,30,21.3,215,215,1.3,0.9,93.1,3.4,11,3.2,0.1,0.1,15.4,15.4,2741202,CBS,15241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trevor Lawrence,QB,JAC,1,35,22.7,237,237,1.1,0.7,86.5,3.5,15.3,4.4,0.1,0.4,15,15,2967185,CBS,15237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tom Brady,QB,TB,1,40,25.9,251,251,1,0.8,82.2,1.7,1.2,0.7,0,0.1,14.2,14.2,187741,CBS,5848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Russell Wilson,QB,DEN,1,32.8,19.6,216,216,1,0.7,80.6,3.9,18.4,4.7,0.1,0.1,14,14,1272242,CBS,10703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sam Darnold,QB,CAR,1,28.7,17.4,202,202,1,1,79,3.1,15.6,5,0.2,0.2,13.8,13.8,2180320,CBS,13592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mike White,QB,NYJ,1,35.3,20.3,223,223,1.2,1.2,73.5,2.2,5,2.3,0.1,0.1,13.2,13.2,2072143,CBS,13598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brock Purdy,QB,SF,1,30.4,17.5,195,195,1.1,0.9,76.5,2.4,5.7,2.4,0,0.1,11.6,11.6,2961306,CBS,15698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
John Wolford,QB,LAR,1,28.3,17.4,175,175,1,1.1,74.7,2.2,6.9,3.1,0,0.2,10.4,10.4,2983467,CBS,15035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Davis Mills,QB,HOU,1,31.3,18.8,188,188,1,1.6,66.5,1.6,3.6,2.3,0.1,0.1,10.2,10.2,2867381,CBS,15252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baker Mayfield,QB,LAR,1,5,3.4,34.3,34.3,0.2,0.2,84,0.5,1,2,0,0,1.8,1.8,2080032,CBS,13590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyrod Taylor,QB,NYG,1,1.2,0.8,7.5,7.5,0.1,0,111.5,0.3,1.4,4.7,0,0,0.6,0.6,1243338,CBS,10413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cooper Rush,QB,DAL,1,1.3,0.8,10,10,0.1,0,111.1,0.3,0.7,2.3,0,0,0.6,0.6,2000176,CBS,13124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jacoby Brissett,QB,CLE,1,1.3,0.8,10.2,10.2,0.1,0,111.7,0.3,1.6,5.3,0,0,0.6,0.6,1877247,CBS,12616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mitch Trubisky,QB,PIT,1,1.5,0.9,9.4,9.4,0.1,0,100.4,0.3,0.9,3,0,0,0.6,0.6,2060476,CBS,13115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jarrett Stidham,QB,LV,1,1.5,1,10.9,10.9,0.1,0,110.1,0.2,0.5,2.5,0,0,0.6,0.6,2180697,CBS,14063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Josh Johnson,QB,SF,1,1.2,0.8,8.8,8.8,0.1,0,116,0.3,1.4,4.7,0,0,0.6,0.6,1325808,CBS,9207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Teddy Bridgewater,QB,MIA,1,1.5,1,11.7,11.7,0.1,0,112.4,0.2,1.2,6,0,0,0.6,0.6,1825122,CBS,11640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drew Lock,QB,SEA,1,1.3,0.9,9.4,9.4,0.1,0,115.5,0.2,1.1,5.5,0,0,0.6,0.6,2185479,CBS,14057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon Allen,QB,CIN,1,1.4,1,11.4,11.4,0.1,0,119.3,0.2,0.8,4,0,0,0.6,0.6,1852876,CBS,12621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chase Daniel,QB,LAC,1,1.6,1,10.7,10.7,0.1,0,102.9,0.2,0.9,4.5,0,0,0.6,0.6,565754,CBS,9706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gardner Minshew,QB,PHI,1,1.2,0.8,9,9,0.1,0,116.7,0.3,1.6,5.3,0,0,0.6,0.6,2183083,CBS,14067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chad Henne,QB,KC,1,1.6,1,11,11,0.1,0,103.6,0.2,0.2,1,0,0,0.6,0.6,517291,CBS,9073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bailey Zappe,QB,NE,1,1.2,0.9,8.8,8.8,0.1,0,122.9,0.3,0.2,0.7,0,0.1,0.4,0.4,2866483,CBS,15696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Case Keenum,QB,BUF,1,1.4,0.8,9.6,9.6,0.1,0.1,72.3,0.1,0.5,5,0,0,0.4,0.4,1137118,CBS,10948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zach Wilson,QB,NYJ,1,1.4,0.8,9.1,9.1,0.1,0.1,70.8,0.2,1.3,6.5,0,0,0.4,0.4,2960892,CBS,15239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nick Mullens,QB,MIN,1,1.5,1,11.5,11.5,0.1,0,111.8,0.2,0.5,2.5,0,0.1,0.4,0.4,2819104,CBS,13968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colt McCoy,QB,ARI,1,1.5,0.9,9.7,9.7,0.1,0.1,73.5,0.2,0.8,4,0,0,0.4,0.4,584648,CBS,9899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joe Flacco,QB,NYJ,1,1.4,0.8,9.1,9.1,0.1,0.1,70.8,0.2,1.1,5.5,0,0.1,0.2,0.2,1250697,CBS,9064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Josh Allen,QB,BUF,NA,34.5,22.2,258.9,NA,1.9,0.8,NA,7.9,44.7,NA,0.3,0.3,22.9,NA,17298,FantasyPros,13589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jalen Hurts,QB,PHI,NA,29.7,19.4,233.9,NA,1.6,0.5,NA,9.6,49.8,NA,0.5,0.2,22.6,NA,19275,FantasyPros,14783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joe Burrow,QB,CIN,NA,34.5,23.4,276.6,NA,2.1,0.8,NA,4.4,19.2,NA,0.3,0.2,21.8,NA,19196,FantasyPros,14777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Patrick Mahomes II,QB,KC,NA,37.5,24.7,289.1,NA,2,0.8,NA,3.6,21.5,NA,0.1,0.1,21.2,NA,16413,FantasyPros,13116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justin Herbert,QB,LAC,NA,38.4,25.8,280.1,NA,1.9,0.8,NA,3.3,13.7,NA,0.1,0.1,19.6,NA,18635,FantasyPros,14779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tua Tagovailoa,QB,MIA,NA,35.9,23.6,287,NA,2,0.8,NA,1.9,6.9,NA,0.1,0.2,19.4,NA,19198,FantasyPros,14778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kyler Murray,QB,ARI,NA,33.6,22.1,237.3,NA,1.3,0.7,NA,6.4,36.1,NA,0.4,0.2,19.4,NA,18600,FantasyPros,14056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Geno Smith,QB,SEA,NA,33.4,22.9,248.8,NA,1.9,0.8,NA,4.1,19.3,NA,0.1,0.2,18.7,NA,11687,FantasyPros,11150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kirk Cousins,QB,MIN,NA,36.2,23.5,274.7,NA,1.9,0.8,NA,2.6,6.6,NA,0.1,0.2,18.5,NA,11177,FantasyPros,10700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dak Prescott,QB,DAL,NA,31.4,20.8,244.6,NA,1.9,0.7,NA,2.8,11.8,NA,0.1,0.2,18.2,NA,15600,FantasyPros,12620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Huntley,QB,BAL,NA,29.7,18.7,204.3,NA,1,0.7,NA,11.4,41.7,NA,0.4,0.2,17.7,NA,19297,FantasyPros,14789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
