player,pos,team,games,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,opp,rec_rz_tgt,rec_09_tds,rec_1019_tds,rec_2029_tds,rec_3039_tds,rec_4049_tds,rec_50_tds,rush_yds,rush_tds,return_yds,scoring_opp,bye,draft_rank,rush_att,misc_tds,misc_yds,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_ovr,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,yahoo_site_points,yahoo_salary,yahoo_value,pass_comp,pass_att,pass_yds,pass_tds,pass_int
Will Dissly,TE,SEA,NA,NA,3.37,32.49,NA,NA,0.21,NA,4.47,NA,will-dissly,NumberFire,13763,NYG,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-0.21,9.15,#25,151,16,6.15,4800,1.28,7.87,6.15,11,0.56,NA,NA,NA,NA,NA
Zach Ertz,TE,ARI,NA,NA,3.48,31.1,NA,NA,0.22,NA,4.44,NA,zach-ertz-1,NumberFire,11247,MIN,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-0.23,9.11,#13,153,17,6.19,6000,1.03,7.93,6.19,20,0.31,NA,NA,NA,NA,NA
Evan Engram,TE,JAC,NA,NA,3.47,31.8,NA,NA,0.17,NA,4.19,NA,evan-engram,NumberFire,13189,DEN,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-0.39,8.77,#3,160,18,5.92,5100,1.16,7.67,5.92,12,0.49,NA,NA,NA,NA,NA
Logan Thomas,TE,WSH,NA,NA,3.2,30.2,NA,NA,0.19,NA,4.14,NA,logan-thomas,NumberFire,11647,IND,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-0.43,8.71,#17,161,19,5.76,5000,1.15,7.37,5.76,14,0.41,NA,NA,NA,NA,NA
Mike Gesicki,TE,MIA,NA,NA,2.47,27.34,NA,NA,0.21,NA,3.97,NA,michael-gesicki,NumberFire,13672,DET,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-0.54,8.48,#32,165,20,5.23,5400,0.97,6.47,5.23,14,0.37,NA,NA,NA,NA,NA
Dawson Knox,TE,BUF,NA,NA,2.41,25.7,NA,NA,0.23,NA,3.91,NA,dawson-knox,NumberFire,14143,GB,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-0.58,8.4,#16,167,21,5.12,5200,0.98,6.34,5.12,13,0.39,NA,NA,NA,NA,NA
Tyler Conklin,TE,NYJ,NA,NA,2.75,25.99,NA,NA,0.16,NA,3.73,NA,tyler-conklin,NumberFire,13675,NE,NA,NA,NA,NA,NA,NA,NA,1.18,0.01,NA,NA,NA,NA,0.27,NA,NA,NA,-0.69,8.15,#9,170,22,5.05,4800,1.05,6.47,5.05,12,0.42,NA,NA,NA,NA,NA
Harrison Bryant,TE,CLE,NA,NA,2.78,26.81,NA,NA,0.15,NA,3.58,NA,harrison-bryant,NumberFire,14875,CIN,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-0.79,7.95,#8,176,23,4.95,4800,1.03,6.36,4.95,10,0.5,NA,NA,NA,NA,NA
Hunter Henry,TE,NE,NA,NA,2.2,25.29,NA,NA,0.17,NA,3.56,NA,hunter-henry,NumberFire,12676,NYJ,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-0.8,7.92,#5,178,24,4.63,5100,0.91,5.74,4.63,12,0.39,NA,NA,NA,NA,NA
Cade Otton,TE,TB,NA,NA,2.6,24.39,NA,NA,0.17,NA,3.45,NA,cade-otton,NumberFire,15802,BAL,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-0.87,7.77,#22,182,25,4.74,5000,0.95,6.05,4.74,12,0.4,NA,NA,NA,NA,NA
Brevin Jordan,TE,HOU,NA,NA,2.47,26,NA,NA,0.14,NA,3.45,NA,brevin-jordan,NumberFire,15330,TEN,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-0.87,7.77,#15,182,25,4.66,4400,1.06,5.9,4.66,10,0.47,NA,NA,NA,NA,NA
Cole Kmet,TE,CHI,NA,NA,2.31,22.57,NA,NA,0.12,NA,2.97,NA,cole-kmet,NumberFire,14867,DAL,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-1.19,7.13,#1,196,27,4.11,4600,0.89,5.28,4.11,10,0.41,NA,NA,NA,NA,NA
Isaiah Likely,TE,BAL,NA,NA,2.08,19.56,NA,NA,0.16,NA,2.9,NA,isaiah-likely,NumberFire,15798,TB,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-1.23,7.03,#4,198,28,3.94,4400,0.9,4.99,3.94,10,0.39,NA,NA,NA,NA,NA
Mo Alie-Cox,TE,IND,NA,NA,1.59,21.28,NA,NA,0.11,NA,2.75,NA,mo-alie-cox,NumberFire,13246,WSH,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-1.33,6.83,#20,201,29,3.56,4600,0.77,4.37,3.56,10,0.36,NA,NA,NA,NA,NA
Austin Hooper,TE,TEN,NA,NA,1.76,18.8,NA,NA,0.12,NA,2.62,NA,austin-hooper,NumberFire,12677,HOU,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-1.41,6.65,#28,208,30,3.48,4700,0.74,4.36,3.48,10,0.35,NA,NA,NA,NA,NA
Ian Thomas,TE,CAR,NA,NA,2.03,19.39,NA,NA,0.12,NA,2.62,NA,ian-thomas,NumberFire,13678,ATL,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-1.41,6.65,#31,208,30,3.65,4400,0.83,4.68,3.65,12,0.3,NA,NA,NA,NA,NA
Tommy Tremble,TE,CAR,NA,NA,1.6,16.02,NA,NA,0.09,NA,2.15,NA,tommy-tremble,NumberFire,15332,ATL,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-1.72,6.02,#31,219,32,2.92,4700,0.62,3.73,2.92,10,0.29,NA,NA,NA,NA,NA
Colby Parkinson,TE,SEA,NA,NA,1.62,15.29,NA,NA,0.09,NA,2.09,NA,colby-parkinson,NumberFire,14871,NYG,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-1.76,5.94,#25,223,33,2.86,4400,0.65,3.68,2.86,10,0.29,NA,NA,NA,NA,NA
Geoff Swaim,TE,TEN,NA,NA,1.59,14.41,NA,NA,0.1,NA,2.04,NA,geoff-swaim,NumberFire,12378,HOU,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-1.79,5.87,#28,227,34,2.84,4300,0.66,3.63,2.84,10,0.28,NA,NA,NA,NA,NA
Kylen Granson,TE,IND,NA,NA,1.43,15.69,NA,NA,0.08,NA,2.04,NA,kylen-granson,NumberFire,15419,WSH,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-1.79,5.87,#20,227,34,2.74,4400,0.62,3.47,2.74,10,0.27,NA,NA,NA,NA,NA
Johnny Mundt,TE,MIN,NA,NA,1.4,13.56,NA,NA,0.1,NA,1.93,NA,johnny-mundt,NumberFire,13940,ARI,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-1.86,5.72,#11,232,36,2.64,4300,0.61,3.35,2.64,10,0.26,NA,NA,NA,NA,NA
John Bates,TE,WSH,NA,NA,1.45,14.31,NA,NA,0.07,NA,1.85,NA,john-bates,NumberFire,15344,IND,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-1.91,5.61,#17,237,37,2.56,4400,0.58,3.29,2.56,10,0.26,NA,NA,NA,NA,NA
Quintin Morris,TE,BUF,NA,NA,1.28,11.97,NA,NA,0.1,NA,1.76,NA,quintin-morris,NumberFire,15341,GB,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-1.97,5.49,#16,240,38,2.42,4300,0.56,3.07,2.42,10,0.24,NA,NA,NA,NA,NA
Juwan Johnson,TE,NO,NA,NA,1.19,11.6,NA,NA,0.09,NA,1.69,NA,juwan-johnson,NumberFire,14861,LV,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.01,5.39,#26,243,39,2.3,5200,0.44,2.89,2.3,12,0.19,NA,NA,NA,NA,NA
Peyton Hendershot,TE,DAL,NA,NA,1.16,10.8,NA,NA,0.09,NA,1.61,NA,peyton-hendershot,NumberFire,16000,CHI,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.07,5.29,#18,247,40,2.18,4500,0.48,2.77,2.18,10,0.22,NA,NA,NA,NA,NA
Jake Ferguson,TE,DAL,NA,NA,1.17,10.7,NA,NA,0.09,NA,1.6,NA,jake-ferguson,NumberFire,15799,CHI,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.07,5.27,#18,249,41,2.18,4300,0.51,2.77,2.18,10,0.22,NA,NA,NA,NA,NA
Jonnu Smith,TE,NE,NA,NA,0.99,11.29,NA,NA,0.07,NA,1.53,NA,jonnu-smith,NumberFire,13193,NYJ,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.12,5.18,#5,250,42,2.02,4500,0.45,2.53,2.02,10,0.2,NA,NA,NA,NA,NA
Pharaoh Brown,TE,CLE,NA,NA,1.21,11.44,NA,NA,0.06,NA,1.52,NA,pharaoh-brown,NumberFire,13994,CIN,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.13,5.17,#8,251,43,2.09,4500,0.46,2.7,2.09,10,0.21,NA,NA,NA,NA,NA
Jelani Woods,TE,IND,NA,NA,1.02,11.34,NA,NA,0.06,NA,1.5,NA,jelani-woods,NumberFire,15840,WSH,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.14,5.14,#20,253,44,2,4500,0.44,2.51,2,10,0.2,NA,NA,NA,NA,NA
Eric Saubert,TE,DEN,NA,NA,1.05,10.77,NA,NA,0.06,NA,1.44,NA,eric-saubert,NumberFire,13315,JAC,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.18,5.06,#24,257,45,1.96,4100,0.48,2.49,1.96,10,0.2,NA,NA,NA,NA,NA
Chigoziem Okonkwo,TE,TEN,NA,NA,0.96,10.58,NA,NA,0.06,NA,1.43,NA,chigoziem-okonkwo,NumberFire,15889,HOU,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.18,5.04,#28,258,46,1.9,4400,0.43,2.38,1.9,NA,NA,NA,NA,NA,NA,NA
Foster Moreau,TE,LV,NA,NA,1.03,10.06,NA,NA,0.06,NA,1.38,NA,foster-moreau,NumberFire,14239,NO,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.22,4.98,#23,260,47,1.86,5000,0.37,2.39,1.86,10,0.19,NA,NA,NA,NA,NA
Zach Gentry,TE,PIT,NA,NA,1.09,10.11,NA,NA,0.05,NA,1.33,NA,zach-gentry,NumberFire,14240,PHI,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.25,4.91,#7,263,48,1.84,4500,0.41,2.39,1.84,10,0.18,NA,NA,NA,NA,NA
Cole Turner,TE,WSH,NA,NA,0.99,9.51,NA,NA,0.05,NA,1.25,NA,cole-turner,NumberFire,15803,IND,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.3,4.8,#17,267,49,1.73,4300,0.4,2.23,1.73,10,0.17,NA,NA,NA,NA,NA
C.J. Uzomah,TE,NYJ,NA,NA,0.88,8.34,NA,NA,0.06,NA,1.18,NA,c-j-uzomah,NumberFire,12317,NE,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.35,4.71,#9,271,50,1.63,4400,0.37,2.07,1.63,10,0.16,NA,NA,NA,NA,NA
O.J. Howard,TE,HOU,NA,NA,0.66,8.91,NA,NA,0.04,NA,1.14,NA,o-j-howard,NumberFire,13188,TEN,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.37,4.65,#15,273,51,1.44,4400,0.33,1.78,1.44,12,0.12,NA,NA,NA,NA,NA
Durham Smythe,TE,MIA,NA,NA,0.75,7.53,NA,NA,0.05,NA,1.06,NA,durham-smythe,NumberFire,13676,DET,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.42,4.54,#32,279,52,1.43,4400,0.33,1.8,1.43,10,0.14,NA,NA,NA,NA,NA
Dan Arnold,TE,JAC,NA,NA,0.69,8.41,NA,NA,0.03,NA,1.03,NA,dan-arnold,NumberFire,13880,DEN,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.44,4.5,#3,285,53,1.35,4100,0.33,1.7,1.35,10,0.14,NA,NA,NA,NA,NA
Tanner Hudson,TE,NYG,NA,NA,0.7,6.78,NA,NA,0.04,NA,0.93,NA,tanner-hudson,NumberFire,14370,SEA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.51,4.37,#29,292,54,1.27,4100,0.31,1.62,1.27,10,0.13,NA,NA,NA,NA,NA
Tanner Conner,TE,MIA,NA,NA,0.61,6.36,NA,NA,0.04,NA,0.9,NA,tanner-conner,NumberFire,15991,DET,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.53,4.33,#32,293,55,1.18,4000,0.3,1.49,1.18,10,0.12,NA,NA,NA,NA,NA
Ko Kieft,TE,TB,NA,NA,0.65,6.15,NA,NA,0.04,NA,0.87,NA,ko-kieft,NumberFire,15929,BAL,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.55,4.29,#22,298,56,1.18,4100,0.29,1.51,1.18,10,0.12,NA,NA,NA,NA,NA
Kyle Rudolph,TE,TB,NA,NA,0.54,5.26,NA,NA,0.05,NA,0.8,NA,kyle-rudolph,NumberFire,10312,BAL,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.59,4.19,#22,302,57,1.1,4300,0.26,1.37,1.1,10,0.11,NA,NA,NA,NA,NA
Adam Trautman,TE,NO,NA,NA,0.55,5.48,NA,NA,0.04,NA,0.79,NA,adam-trautman,NumberFire,14870,LV,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.6,4.18,#26,304,58,1.06,4400,0.24,1.34,1.06,12,0.09,NA,NA,NA,NA,NA
Connor Heyward,TE,PIT,NA,NA,0.6,5.86,NA,NA,0.03,NA,0.76,NA,connor-heyward,NumberFire,15800,PHI,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.62,4.14,#7,306,59,1.07,4400,0.24,1.37,1.07,10,0.11,NA,NA,NA,NA,NA
Parker Hesse,TE,ATL,NA,NA,0.55,5.24,NA,NA,0.04,NA,0.75,NA,parker-hesse,NumberFire,15564,CAR,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.62,4.12,#12,307,60,1.04,4200,0.25,1.31,1.04,10,0.1,NA,NA,NA,NA,NA
Mitchell Wilcox,TE,CIN,NA,NA,0.47,5.14,NA,NA,0.04,NA,0.73,NA,mitchell-wilcox,NumberFire,15563,CLE,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.64,4.1,#30,309,61,0.99,4200,0.24,1.22,0.99,10,0.1,NA,NA,NA,NA,NA
Reggie Gilliam,TE,BUF,NA,NA,0.51,4.69,NA,NA,0.04,NA,0.71,NA,reggie-gilliam,NumberFire,15103,GB,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.65,4.07,#16,311,62,0.96,4600,0.21,1.22,0.96,10,0.1,NA,NA,NA,NA,NA
Brock Wright,TE,DET,NA,NA,0.48,4.91,NA,NA,0.03,NA,0.68,NA,brock-wright,NumberFire,15626,MIA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.67,4.03,#19,313,63,0.91,4600,0.2,1.15,0.91,10,0.09,NA,NA,NA,NA,NA
Josiah Deguara,TE,GB,NA,NA,0.47,4.68,NA,NA,0.03,NA,0.62,NA,josiah-deguara,NumberFire,14876,BUF,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.71,3.95,#2,318,64,0.88,4300,0.2,1.12,0.88,10,0.09,NA,NA,NA,NA,NA
Tyler Davis,TE,GB,NA,NA,0.46,4.53,NA,NA,0.03,NA,0.61,NA,tyler-davis,NumberFire,14996,BUF,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.71,3.93,#2,321,65,0.86,4100,0.21,1.09,0.86,10,0.09,NA,NA,NA,NA,NA
Eric Tomlinson,TE,DEN,NA,NA,0.42,4.56,NA,NA,0.02,NA,0.6,NA,eric-tomlinson,NumberFire,13065,JAC,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.72,3.92,#24,323,66,0.79,4400,0.18,1,0.79,10,0.08,NA,NA,NA,NA,NA
Josh Oliver,TE,BAL,NA,NA,0.41,3.72,NA,NA,0.03,NA,0.56,NA,josh-oliver,NumberFire,14209,TB,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.75,3.87,#4,326,67,0.76,4300,0.18,0.96,0.76,10,0.08,NA,NA,NA,NA,NA
Jack Stoll,TE,PHI,NA,NA,0.43,3.9,NA,NA,0.03,NA,0.55,NA,jack-stoll,NumberFire,15541,PIT,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.75,3.85,#14,329,68,0.79,4300,0.18,1,0.79,10,0.08,NA,NA,NA,NA,NA
Chris Myarick,TE,NYG,NA,NA,0.41,3.77,NA,NA,0.02,NA,0.52,NA,chris-myarick,NumberFire,15620,SEA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.77,3.81,#29,331,69,0.7,4600,0.15,0.91,0.7,10,0.07,NA,NA,NA,NA,NA
MyCole Pruitt,TE,ATL,NA,NA,0.37,3.57,NA,NA,0.03,NA,0.52,NA,mycole-pruitt,NumberFire,12309,CAR,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.77,3.81,#12,331,69,0.72,4400,0.16,0.91,0.72,10,0.07,NA,NA,NA,NA,NA
Anthony Firkser,TE,ATL,NA,NA,0.37,3.66,NA,NA,0.02,NA,0.51,NA,anthony-firkser,NumberFire,13919,CAR,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.78,3.8,#12,333,71,0.67,4100,0.16,0.86,0.67,10,0.07,NA,NA,NA,NA,NA
Marcedes Lewis,TE,GB,NA,NA,0.31,3.09,NA,NA,0.02,NA,0.44,NA,marcedes-lewis,NumberFire,8269,BUF,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.82,3.7,#2,339,72,0.58,4200,0.14,0.74,0.58,10,0.06,NA,NA,NA,NA,NA
Devin Asiasi,TE,CIN,NA,NA,0.23,2.61,NA,NA,0.02,NA,0.37,NA,devin-asiasi,NumberFire,14936,CLE,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.87,3.61,#30,359,73,0.5,4000,0.13,0.61,0.5,10,0.05,NA,NA,NA,NA,NA
Cethan Carter,TE,MIA,NA,NA,0.24,2.55,NA,NA,0.02,NA,0.36,NA,cethan-carter,NumberFire,13369,DET,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.88,3.6,#32,361,74,0.5,4000,0.13,0.62,0.5,NA,NA,NA,NA,NA,NA,NA
Ben Ellefson,TE,MIN,NA,NA,0.25,2.51,NA,NA,0.02,NA,0.36,NA,ben-ellefson,NumberFire,15088,ARI,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.88,3.6,#11,361,74,0.5,4100,0.12,0.62,0.5,NA,NA,NA,NA,NA,NA,NA
Tommy Sweeney,TE,BUF,NA,NA,0.26,2.35,NA,NA,0.02,NA,0.35,NA,tommy-sweeney,NumberFire,14294,GB,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.88,3.58,#16,364,76,0.49,4100,0.12,0.62,0.49,10,0.05,NA,NA,NA,NA,NA
Maxx Williams,TE,ARI,NA,NA,0.25,2.35,NA,NA,0.01,NA,0.32,NA,maxx-williams,NumberFire,12206,MIN,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.9,3.54,#13,373,77,0.42,4000,0.11,0.55,0.42,NA,NA,NA,NA,NA,NA,NA
Stephen Anderson,TE,ARI,NA,NA,0.23,2.39,NA,NA,0.01,NA,0.32,NA,stephen-anderson,NumberFire,12859,MIN,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.9,3.54,#13,373,77,0.41,4100,0.1,0.53,0.41,10,0.04,NA,NA,NA,NA,NA
Stephen Sullivan,TE,CAR,NA,NA,0.23,2.35,NA,NA,0.01,NA,0.32,NA,stephen-sullivan,NumberFire,15026,ATL,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.9,3.54,#31,373,77,0.41,4100,0.1,0.53,0.41,10,0.04,NA,NA,NA,NA,NA
J.P. Holtz,TE,NO,NA,NA,0.22,2.14,NA,NA,0.02,NA,0.31,NA,j-p-holtz,NumberFire,14372,LV,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.91,3.53,#26,378,80,0.44,4000,0.11,0.55,0.44,10,0.04,NA,NA,NA,NA,NA
Trey McBride,TE,ARI,NA,NA,0.24,2.28,NA,NA,0.01,NA,0.31,NA,trey-mcbride,NumberFire,15794,MIN,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.91,3.53,#13,378,80,0.41,4200,0.1,0.53,0.41,10,0.04,NA,NA,NA,NA,NA
Nick Vannett,TE,NO,NA,NA,0.22,2.06,NA,NA,0.02,NA,0.3,NA,nick-vannett,NumberFire,12680,LV,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.92,3.52,#26,383,82,0.44,4100,0.11,0.55,0.44,10,0.04,NA,NA,NA,NA,NA
Chris Manhertz,TE,JAC,NA,NA,0.23,2.3,NA,NA,0.01,NA,0.3,NA,chris-manhertz,NumberFire,12955,DEN,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.92,3.52,#3,383,82,0.41,4200,0.1,0.52,0.41,10,0.04,NA,NA,NA,NA,NA
Albert Okwuegbunam,TE,DEN,NA,NA,0.22,2.27,NA,NA,0.01,NA,0.3,NA,albert-okwuegbunam,NumberFire,14873,JAC,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.92,3.52,#24,383,82,0.4,4200,0.1,0.51,0.4,10,0.04,NA,NA,NA,NA,NA
Kendall Blanton,TE,LA,NA,NA,0.23,2.23,NA,NA,0.01,NA,0.3,NA,kendall-blanton,NumberFire,14357,SF,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.92,3.52,#10,383,82,0.4,4200,0.1,0.51,0.4,10,0.04,NA,NA,NA,NA,NA
Brycen Hopkins,TE,LA,NA,NA,0.23,2.21,NA,NA,0.01,NA,0.3,NA,brycen-hopkins,NumberFire,14868,SF,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.92,3.52,#10,383,82,0.4,4100,0.1,0.51,0.4,10,0.04,NA,NA,NA,NA,NA
Luke Farrell,TE,JAC,NA,NA,0.23,2.25,NA,NA,0.01,NA,0.29,NA,luke-farrell,NumberFire,15335,DEN,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.92,3.5,#3,390,87,0.4,4100,0.1,0.52,0.4,10,0.04,NA,NA,NA,NA,NA
Ross Dwelley,TE,SF,NA,NA,0.21,2.12,NA,NA,0.01,NA,0.29,NA,ross-dwelley,NumberFire,13988,LA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.92,3.5,#6,390,87,0.38,4200,0.09,0.48,0.38,10,0.04,NA,NA,NA,NA,NA
Nick Boyle,TE,BAL,NA,NA,0.21,1.82,NA,NA,0.02,NA,0.28,NA,nick-boyle,NumberFire,12328,TB,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.93,3.49,#4,393,89,0.41,4100,0.1,0.51,0.41,10,0.04,NA,NA,NA,NA,NA
Tyler Kroft,TE,SF,NA,NA,0.21,2.01,NA,NA,0.01,NA,0.28,NA,tyler-kroft,NumberFire,12212,LA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.93,3.49,#6,393,89,0.37,4100,0.09,0.47,0.37,10,0.04,NA,NA,NA,NA,NA
Jesper Horsted,TE,LV,NA,NA,0.23,2.02,NA,NA,0.01,NA,0.28,NA,jesper-horsted,NumberFire,14752,NO,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.93,3.49,#23,393,89,0.38,4200,0.09,0.49,0.38,10,0.04,NA,NA,NA,NA,NA
Charlie Woerner,TE,SF,NA,NA,0.21,2.06,NA,NA,0.01,NA,0.28,NA,charlie-woerner,NumberFire,14984,LA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.93,3.49,#6,393,89,0.37,4000,0.09,0.48,0.37,10,0.04,NA,NA,NA,NA,NA
Tyree Jackson,TE,PHI,NA,NA,0.21,1.94,NA,NA,0.01,NA,0.28,NA,tyree-jackson,NumberFire,14060,PIT,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.93,3.49,#14,393,89,0.36,4000,0.09,0.46,0.36,10,0.04,NA,NA,NA,NA,NA
