player,pos,team,games,fg,fg_att,fg_0019,fg_att_0019,fg_2029,fg_att_2029,fg_3039,fg_att_3039,fg_4049,fg_att_4049,fg_50,fg_att_50,xp,xp_att,site_pts,site_fppg,src_id,data_src,id,opp,fg_miss,xp_miss,bye,draft_rank,fg_pct,xp_pct,pct_owned,curr_site_pts,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,draftkings_site_points,yahoo_site_points
Greg Joseph,K,MIN,1,2.2,2.4,0,0,0.7,0.7,0.6,0.6,0.5,0.6,0.4,0.4,2.8,3.1,9.4,9.4,2926810,CBS,13898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evan McPherson,K,CIN,1,2.1,2.4,0,0,0.5,0.6,0.6,0.7,0.6,0.7,0.4,0.4,2.8,3,9.1,9.1,2962681,CBS,15368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daniel Carlson,K,LV,1,2.2,2.4,0,0,0.7,0.8,0.6,0.6,0.5,0.6,0.4,0.4,2,2.1,8.6,8.6,2079862,CBS,13718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Gay,K,LAR,1,1.7,1.9,0,0,0.4,0.4,0.7,0.7,0.5,0.6,0.2,0.2,2.9,2.9,8,8,2870511,CBS,14244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Elliott,K,PHI,1,1.7,1.9,0,0,0.4,0.4,0.6,0.6,0.4,0.6,0.2,0.2,2.9,2.9,8,8,2080295,CBS,13303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Younghoe Koo,K,ATL,1,1.8,2.1,0,0,0.6,0.6,0.5,0.5,0.4,0.6,0.3,0.3,2.5,2.5,7.9,7.9,2820093,CBS,13403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Graham Gano,K,NYG,1,2,2.2,0,0,0.4,0.4,0.8,0.8,0.5,0.5,0.3,0.3,1.8,1.9,7.8,7.8,558839,CBS,9694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Bass,K,BUF,1,1.6,1.9,0,0,0.6,0.6,0.5,0.5,0.4,0.5,0.2,0.2,2.9,3,7.7,7.7,2188356,CBS,14983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wil Lutz,K,NO,1,1.7,2.1,0,0,0.3,0.4,0.6,0.6,0.5,0.8,0.3,0.3,2.4,2.4,7.5,7.5,2008545,CBS,12956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justin Tucker,K,BAL,1,1.7,1.8,0,0,0.4,0.4,0.4,0.4,0.5,0.6,0.3,0.3,2.4,2.5,7.5,7.5,1985374,CBS,10976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Ammendola,K,KC,1,1.5,1.8,0,0,0.4,0.4,0.6,0.7,0.4,0.6,0.1,0.1,2.9,3.1,7.4,7.4,2185684,CBS,15523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eddy Pineiro,K,CAR,1,1.8,2,0,0,0.5,0.5,0.7,0.7,0.5,0.6,0.1,0.1,1.9,2,7.3,7.3,2221833,CBS,13719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Robbie Gould,K,SF,1,1.7,2,0,0,0.6,0.6,0.4,0.5,0.5,0.6,0.2,0.2,2.1,2.2,7.2,7.2,553121,CBS,8153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jason Sanders,K,MIA,1,1.5,1.8,0,0,0.3,0.4,0.4,0.5,0.5,0.6,0.2,0.2,2.4,2.5,6.9,6.9,2131909,CBS,13832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austin Seibert,K,DET,1,1.5,1.7,0,0,0.3,0.3,0.6,0.6,0.5,0.6,0.1,0.1,2.2,2.2,6.7,6.7,2179668,CBS,14258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
