player,pos,team,games,fg,fg_att,fg_0019,fg_att_0019,fg_2029,fg_att_2029,fg_3039,fg_att_3039,fg_4049,fg_att_4049,fg_50,fg_att_50,xp,xp_att,site_pts,site_fppg,src_id,data_src,id,opp,fg_miss,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,draftkings_site_points,yahoo_site_points
"Zuerlein, Greg",K,NYJ,NA,1.8,2.1,0,NA,0.4,NA,0.6,NA,0.5,NA,0.4,NA,2.5,2.6,8.2,NA,NA,FantasySharks,10868,@MIN,0.3,NA,NA,NA,NA,NA,NA,NA
"Succop, Ryan",K,TBB,NA,1.7,2,0,NA,0.6,NA,0.4,NA,0.6,NA,0.1,NA,2.3,2.3,7.4,NA,NA,FantasySharks,9686,NOS,0.3,NA,NA,NA,NA,NA,NA,NA
"Slye, Joey",K,WAS,NA,1.8,2,0.1,NA,0.6,NA,0.4,NA,0.5,NA,0.3,NA,1.5,1.6,7.3,NA,NA,FantasySharks,14600,@NYG,0.2,NA,NA,NA,NA,NA,NA,NA
"Fairbairn, Ka'imi",K,HOU,NA,1.7,1.8,0,NA,0.4,NA,0.5,NA,0.4,NA,0.3,NA,1.5,1.6,7,NA,NA,FantasySharks,12860,CLE,0.2,NA,NA,NA,NA,NA,NA,NA
"Badgley, Mike",K,DET,NA,1.4,1.7,0,NA,0.5,NA,0.3,NA,0.5,NA,0.2,NA,2.5,2.6,6.9,NA,NA,FantasySharks,13980,JAC,0.3,NA,NA,NA,NA,NA,NA,NA
"Gano, Graham",K,NYG,NA,1.5,1.7,0,NA,0.1,NA,0.7,NA,0.5,NA,0.4,NA,1.3,1.4,6.7,NA,NA,FantasySharks,9694,WAS,0.1,NA,NA,NA,NA,NA,NA,NA
"Santos, Cairo",K,CHI,NA,1.5,1.6,0,NA,0.4,NA,0.4,NA,0.5,NA,0.2,NA,1.7,1.9,6.6,NA,NA,FantasySharks,11945,GBP,0.1,NA,NA,NA,NA,NA,NA,NA
"Gould, Robbie",K,SFO,NA,1.4,1.7,0,NA,0.6,NA,0.3,NA,0.4,NA,0.2,NA,2.3,2.4,6.6,NA,NA,FantasySharks,8153,MIA,0.2,NA,NA,NA,NA,NA,NA,NA
"Gay, Matt",K,LAR,NA,1.4,1.6,0,NA,0.4,NA,0.5,NA,0.3,NA,0.2,NA,1.9,1.9,6.4,NA,NA,FantasySharks,14244,SEA,0.1,NA,NA,NA,NA,NA,NA,NA
"McLaughlin, Chase",K,IND,NA,1.7,2.3,0,NA,0.3,NA,0.4,NA,0.6,NA,0.4,NA,1.6,1.6,6.3,NA,NA,FantasySharks,14717,@DAL,0.6,NA,NA,NA,NA,NA,NA,NA
"Wright, Matthew",K,PIT,NA,1.7,2.1,0,NA,0.3,NA,0.7,NA,0.4,NA,0.3,NA,1.4,1.5,6.2,NA,NA,FantasySharks,14426,@ATL,0.4,NA,NA,NA,NA,NA,NA,NA
"Bullock, Randy",K,TEN,NA,1.4,1.6,0,NA,0.4,NA,0.5,NA,0.4,NA,0,NA,2.3,2.4,6.1,NA,NA,FantasySharks,10862,@PHI,0.3,NA,NA,NA,NA,NA,NA,NA
"McManus, Brandon",K,DEN,NA,1.6,2.2,0,NA,0.5,NA,0.3,NA,0.5,NA,0.4,NA,1.4,1.6,6,NA,NA,FantasySharks,11947,@BAL,0.5,NA,NA,NA,NA,NA,NA,NA
"Hopkins, Dustin",K,LAC,NA,1.3,1.5,0,NA,0.5,NA,0.5,NA,0.4,NA,0,NA,1.8,1.9,5.8,NA,NA,FantasySharks,11387,@LVR,0.1,NA,NA,NA,NA,NA,NA,NA
"Joseph, Greg",K,MIN,NA,1.4,1.8,0,NA,0.5,NA,0.5,NA,0.2,NA,0.2,NA,2,2.3,5.7,NA,NA,FantasySharks,13898,NYJ,0.4,NA,NA,NA,NA,NA,NA,NA
"Elliott, Jake",K,PHI,NA,1,1.2,0,NA,0.3,NA,0.4,NA,0.2,NA,0.2,NA,2.5,2.6,5.7,NA,NA,FantasySharks,13303,TEN,0.2,NA,NA,NA,NA,NA,NA,NA
"York, Cade",K,CLE,NA,1.3,1.7,0,NA,0.2,NA,0.5,NA,0.3,NA,0.3,NA,2.1,2.3,5.5,NA,NA,FantasySharks,15882,@HOU,0.4,NA,NA,NA,NA,NA,NA,NA
"Sanders, Jason",K,MIA,NA,1.3,1.8,0,NA,0.3,NA,0.4,NA,0.6,NA,0,NA,2.2,2.4,5.5,NA,NA,FantasySharks,13832,@SFO,0.5,NA,NA,NA,NA,NA,NA,NA
"Lutz, Wil",K,NOS,NA,1.3,1.7,0,NA,0.3,NA,0.6,NA,0.4,NA,0.2,NA,1.9,2,5.4,NA,NA,FantasySharks,12956,@TBB,0.4,NA,NA,NA,NA,NA,NA,NA
"Crosby, Mason",K,GBP,NA,1.2,1.6,0,NA,0.5,NA,0.5,NA,0.2,NA,0,NA,2.2,2.4,5,NA,NA,FantasySharks,8742,@CHI,0.4,NA,NA,NA,NA,NA,NA,NA
"Dicker, Cameron",K,LAC,NA,1.1,1.1,0,NA,0.4,NA,0.3,NA,0.4,NA,0,NA,1.1,1.1,4.9,NA,NA,FantasySharks,15979,@LVR,0,NA,NA,NA,NA,NA,NA,NA
"Patterson, Riley",K,JAC,NA,1.2,1.6,0,NA,0.5,NA,0.3,NA,0.4,NA,0.1,NA,1.6,1.7,4.7,NA,NA,FantasySharks,15369,@DET,0.4,NA,NA,NA,NA,NA,NA,NA
"Bertolet, Taylor",K,LAC,NA,0.2,0.2,0,NA,0.2,NA,0,NA,0,NA,0,NA,0.2,0.2,0.9,NA,NA,FantasySharks,13900,@LVR,0,NA,NA,NA,NA,NA,NA,NA
Cameron Dicker,K,LAC,NA,1.91,2.22,0.03,NA,0.18,NA,0.61,NA,0.66,NA,0.42,NA,2.87,NA,10.11,NA,cameron-dicker,NumberFire,15979,LV,NA,4.33,15.89,#32,1,10.07,10.07,10.07
Jason Myers,K,SEA,NA,2.04,2.22,0,NA,0.75,NA,0.56,NA,0.49,NA,0.27,NA,2.79,NA,10,NA,jason-myers,NumberFire,12437,LA,NA,5.5,14.5,#15,2,10.03,10.03,10.03
Justin Tucker,K,BAL,NA,1.88,2,0.05,NA,0.48,NA,0.7,NA,0.57,NA,0.09,NA,3.13,NA,9.56,NA,justin-tucker,NumberFire,10976,DEN,NA,5.27,13.85,#5,3,9.55,9.55,9.55
Brett Maher,K,DAL,NA,1.91,2.15,0.02,NA,0.71,NA,0.56,NA,0.45,NA,0.16,NA,3.01,NA,9.49,NA,brett-maher,NumberFire,13909,IND,NA,4.33,14.65,#12,4,9.48,9.48,9.48
Younghoe Koo,K,ATL,NA,1.96,2.21,0,NA,0.78,NA,0.44,NA,0.63,NA,0.11,NA,2.55,NA,9.28,NA,younghoe-koo,NumberFire,13403,PIT,NA,4.5,14.06,#17,5,9.28,9.28,9.28
Mike Badgley,K,DET,NA,1.78,2.27,0.06,NA,0.66,NA,0.48,NA,0.37,NA,0.19,NA,3.06,NA,9.1,NA,mike-badgley,NumberFire,13980,JAC,NA,5.04,13.16,#25,6,9.09,9.09,9.09
Tyler Bass,K,BUF,NA,1.78,2.01,0.02,NA,0.5,NA,0.4,NA,0.68,NA,0.17,NA,2.64,NA,8.97,NA,tyler-bass,NumberFire,14983,NE,NA,4.66,13.28,#1,7,8.97,8.97,8.97
Cairo Santos,K,CHI,NA,1.85,2.02,0.02,NA,0.52,NA,0.5,NA,0.63,NA,0.16,NA,2.49,NA,8.94,NA,cairo-santos,NumberFire,11945,GB,NA,4.77,13.11,#21,8,8.93,8.93,8.93
Daniel Carlson,K,LV,NA,1.76,2.11,0.02,NA,0.6,NA,0.69,NA,0.34,NA,0.11,NA,3.06,NA,8.91,NA,daniel-carlson,NumberFire,13718,LAC,NA,4.2,13.62,#20,9,8.9,8.9,8.9
Greg Joseph,K,MIN,NA,1.89,2.48,0.02,NA,0.55,NA,0.55,NA,0.57,NA,0.18,NA,2.12,NA,8.71,NA,greg-joseph,NumberFire,13898,NYJ,NA,3.1,14.32,#3,10,8.66,8.66,8.66
Ryan Succop,K,TB,NA,1.81,2.47,0.06,NA,0.53,NA,0.53,NA,0.57,NA,0.09,NA,2.54,NA,8.67,NA,ryan-succop,NumberFire,9686,NO,NA,4.27,13.07,#23,11,8.63,8.63,8.63
Mason Crosby,K,GB,NA,1.71,1.94,0.02,NA,0.47,NA,0.57,NA,0.53,NA,0.13,NA,2.68,NA,8.62,NA,mason-crosby,NumberFire,8742,CHI,NA,4.72,12.52,#29,12,8.63,8.63,8.63
Graham Gano,K,NYG,NA,1.75,1.93,0.02,NA,0.51,NA,0.56,NA,0.42,NA,0.22,NA,2.49,NA,8.55,NA,graham-gano,NumberFire,9694,WSH,NA,2.95,14.15,#8,13,8.54,8.54,8.54
Cade York,K,CLE,NA,1.52,2.01,0.02,NA,0.38,NA,0.56,NA,0.47,NA,0.11,NA,3.25,NA,8.54,NA,cade-york,NumberFire,15882,HOU,NA,3.94,13.14,#28,14,8.56,8.56,8.56
Jake Elliott,K,PHI,NA,1.75,2.1,0.04,NA,0.63,NA,0.52,NA,0.48,NA,0.08,NA,2.51,NA,8.41,NA,jake-elliott,NumberFire,13303,TEN,NA,3.82,13,#9,15,8.4,8.4,8.4
Riley Patterson,K,JAC,NA,1.58,1.9,0.04,NA,0.42,NA,0.67,NA,0.29,NA,0.17,NA,2.92,NA,8.31,NA,riley-patterson,NumberFire,15369,DET,NA,3.83,12.79,#30,16,8.32,8.32,8.32
Greg Zuerlein,K,NYJ,NA,1.7,2.09,0.05,NA,0.64,NA,0.48,NA,0.46,NA,0.09,NA,2.51,NA,8.28,NA,greg-zuerlein,NumberFire,10868,MIN,NA,4.09,12.47,#16,17,8.31,8.31,8.31
Joey Slye,K,WSH,NA,1.82,2.12,0.04,NA,0.66,NA,0.54,NA,0.37,NA,0.2,NA,2.03,NA,8.24,NA,joey-slye,NumberFire,14600,NYG,NA,3.69,12.79,#22,18,8.23,8.23,8.23
Evan McPherson,K,CIN,NA,1.5,1.81,0.02,NA,0.45,NA,0.57,NA,0.34,NA,0.13,NA,2.92,NA,8.06,NA,evan-mcpherson,NumberFire,15368,KC,NA,4.96,11.16,#18,19,8.05,8.05,8.05
Matthew Wright,K,PIT,NA,1.56,1.91,0.08,NA,0.37,NA,0.63,NA,0.38,NA,0.1,NA,2.67,NA,7.92,NA,matthew-wright,NumberFire,14426,ATL,NA,3.93,11.91,#31,20,7.93,7.93,7.93
Harrison Butker,K,KC,NA,1.4,2.18,0.07,NA,0.41,NA,0.5,NA,0.29,NA,0.14,NA,3.09,NA,7.88,NA,harrison-butker,NumberFire,13354,CIN,NA,3.75,12.01,#10,21,7.89,7.89,7.89
Ka'imi Fairbairn,K,HOU,NA,1.66,1.87,0.02,NA,0.47,NA,0.63,NA,0.44,NA,0.11,NA,2.15,NA,7.83,NA,ka-imi-fairbairn,NumberFire,12860,CLE,NA,4.2,11.46,#27,22,7.82,7.82,7.82
Randy Bullock,K,TEN,NA,1.65,1.99,0.04,NA,0.62,NA,0.49,NA,0.28,NA,0.24,NA,1.99,NA,7.73,NA,randy-bullock,NumberFire,10862,PHI,NA,3.65,11.81,#13,23,7.76,7.76,7.76
Jason Sanders,K,MIA,NA,1.5,1.94,0.02,NA,0.53,NA,0.43,NA,0.47,NA,0.05,NA,2.62,NA,7.68,NA,jason-sanders,NumberFire,13832,SF,NA,4.21,11.15,#6,24,7.69,7.69,7.69
