player,pos,team,games,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,rush_att,rush_yds,rush_avg,rush_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,opp,rec_rz_tgt,rec_09_tds,rec_1019_tds,rec_2029_tds,rec_3039_tds,rec_4049_tds,rec_50_tds,return_yds,scoring_opp,bye,draft_rank,misc_tds,misc_yds,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_ovr,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,draftkings_salary,draftkings_value,yahoo_site_points,return_tds,two_pts
Tyler Lockett,WR,SEA,1,8.5,6.4,72.9,72.9,11.4,0.5,0.1,-0.1,-1,0,0.1,9.8,9.8,1860834,CBS,12187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Godwin,WR,TB,1,7.3,5.2,70.7,70.7,13.6,0.5,0.1,0.5,5,0,0.1,9.8,9.8,2818150,CBS,13163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jerry Jeudy,WR,DEN,1,10.3,4.7,80,80,17,0.3,0,0,0,0,0,9.8,9.8,2741201,CBS,14833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon Aiyuk,WR,SF,1,7.7,4.7,69,69,14.7,0.4,1.8,10.7,5.9,0.1,0.1,9.8,9.8,2967489,CBS,14840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marvin Jones,WR,JAC,1,7.4,4.9,61.3,61.3,12.5,0.6,0.1,0,0,0,0,9.6,9.6,1631804,CBS,10738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A.J. Brown,WR,PHI,1,6.9,4.4,65.4,65.4,14.9,0.6,0.1,2.3,23,0,0,9.6,9.6,2258303,CBS,14104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D.J. Chark,WR,DET,1,7.3,4.3,65.1,65.1,15.1,0.5,0.1,0.8,8,0,0,9,9,2131689,CBS,13668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tee Higgins,WR,CIN,1,7.1,4.4,64.3,64.3,14.6,0.5,0.3,1.7,5.7,0,0.1,8.8,8.8,2809208,CBS,14835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cooper Kupp,WR,LAR,1,8.4,5.9,65.1,65.1,11,0.5,0.2,1.1,5.5,0,0.1,8.8,8.8,2006951,CBS,13164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Laviska Shenault Jr.,WR,CAR,1,6.3,4.6,54.2,54.2,11.8,0.4,1.7,12.6,7.4,0.1,0.1,8.8,8.8,2866321,CBS,14838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deebo Samuel,WR,SF,1,5.8,4,60.5,60.5,15.1,0.2,1.4,13.6,9.7,0.1,0.1,8.6,8.6,2139735,CBS,14136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DeVonta Smith,WR,PHI,1,7,4.3,71.3,71.3,16.6,0.3,0.1,0.8,8,0,0.1,8.6,8.6,2866975,CBS,15282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandin Cooks,WR,HOU,1,7.7,5,75.9,75.9,15.2,0.3,0.2,1.8,9,0,0.1,8.6,8.6,1880880,CBS,11674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D.J. Moore,WR,CAR,1,8.2,4.9,73.6,73.6,15,0.3,0.3,1.8,6,0,0.1,8.6,8.6,2179328,CBS,13635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Julio Jones,WR,TB,1,7.1,4.7,64.5,64.5,13.7,0.4,0.1,-0.2,-2,0,0,8.4,8.4,1623794,CBS,10271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DeVante Parker,WR,NE,1,7.6,4.4,63.1,63.1,14.3,0.4,0,0,0,0,0,8.4,8.4,1851283,CBS,12176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jaylen Waddle,WR,MIA,1,7.2,4.4,73.1,73.1,16.6,0.3,0.1,0.6,6,0,0.2,8.4,8.4,2962110,CBS,15284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Courtland Sutton,WR,DEN,1,7.8,4.4,67.3,67.3,15.3,0.4,0.2,1.3,6.5,0,0,8.4,8.4,2218461,CBS,13630,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antonio Brown,WR,TB,1,6.8,4.8,50,50,10.4,0.6,0.3,2.1,7,0,0.1,8.4,8.4,1272852,CBS,9988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amari Cooper,WR,CLE,1,7.5,5.2,62,62,11.9,0.4,0.2,0.5,2.5,0,0.1,8.2,8.2,1984220,CBS,12175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Keenan Allen,WR,LAC,1,9.2,6.3,68.4,68.4,10.9,0.4,0.1,0.5,5,0,0.1,8.2,8.2,1737096,CBS,11222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Robert Woods,WR,TEN,1,9.1,6.1,65.3,65.3,10.7,0.3,1.2,8,6.7,0.1,0.1,8.2,8.2,1754280,CBS,11228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Boyd,WR,CIN,1,8,5.3,61.1,61.1,11.5,0.4,0.3,2.3,7.7,0,0.1,8.2,8.2,2071582,CBS,12650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenny Golladay,WR,NYG,1,6.3,3.6,52.7,52.7,14.6,0.5,0,0,0,0,0,8,8,2005894,CBS,13277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marquise Brown,WR,ARI,1,6.6,4.1,58.1,58.1,14.2,0.5,0.1,0.7,7,0,0,8,8,2804128,CBS,14105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jarvis Landry,WR,NO,1,7.6,4.9,61.4,61.4,12.5,0.3,0.2,0.7,3.5,0,0.1,7.6,7.6,1824833,CBS,11680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marquez Callaway,WR,NO,1,7.2,4.9,61.3,61.3,12.5,0.3,0.1,0.3,3,0,0.1,7.6,7.6,2247505,CBS,15034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ja'Marr Chase,WR,CIN,1,6.6,4.1,64.4,64.4,15.7,0.3,0.1,0.6,6,0,0.1,7.6,7.6,2966320,CBS,15281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Robbie Anderson,WR,CAR,1,8,5,62.2,62.2,12.4,0.3,0.2,0.6,3,0,0.1,7.6,7.6,1886746,CBS,12930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corey Davis,WR,NYJ,1,8.9,5.8,65.6,65.6,11.3,0.3,0,0,0,0,0.1,7.6,7.6,2061005,CBS,13153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allen Robinson,WR,LAR,1,9.2,6.1,64.4,64.4,10.6,0.3,0.1,0,0,0,0.1,7.6,7.6,1889923,CBS,11678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CeeDee Lamb,WR,DAL,1,6.9,4.7,56.9,56.9,12.1,0.3,0.7,4.5,6.4,0.1,0.1,7.2,7.2,2865251,CBS,14832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chase Claypool,WR,PIT,1,6.9,4,46.4,46.4,11.6,0.4,1.4,7.6,5.4,0.1,0.1,6.8,6.8,2260676,CBS,14841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Conley,WR,HOU,1,5.8,3.3,56,56,17,0.3,0,0,0,0,0,6.8,6.8,1824756,CBS,12257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michael Gallup,WR,DAL,1,6.4,3.7,51.3,51.3,13.9,0.3,0,0,0,0,0,6.8,6.8,2240415,CBS,13646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Russell Gage,WR,TB,1,7.2,4.7,52.2,52.2,11.1,0.3,0.2,0.7,3.5,0,0,6.8,6.8,2131694,CBS,13809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tim Patrick,WR,DEN,1,5.8,3.5,51.9,51.9,14.8,0.3,0,0,0,0,0,6.8,6.8,2818910,CBS,13377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JuJu Smith-Schuster,WR,KC,1,8.5,5.9,51.3,51.3,8.7,0.3,0,0,0,0,0.1,6.6,6.6,2139620,CBS,13156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diontae Johnson,WR,PIT,1,9.2,5.7,52.8,52.8,9.3,0.3,0.2,1.9,9.5,0,0.1,6.6,6.6,2194164,CBS,14208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Terrace Marshall Jr.,WR,CAR,1,5.4,3.3,52.6,52.6,15.9,0.3,0.1,0.6,6,0,0.1,6.6,6.6,2963214,CBS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jalen Reagor,WR,MIN,1,6.7,3.9,56,56,14.4,0.3,0.4,2.5,6.3,0,0.1,6.6,6.6,2803733,CBS,14839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elijah Moore,WR,NYJ,1,6.1,3.8,52.8,52.8,13.9,0.3,0.1,0.7,7,0,0.1,6.6,6.6,2963569,CBS,15288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mike Williams,WR,LAC,1,5.4,3,55.2,55.2,18.4,0.2,0.1,0.1,1,0,0,6.2,6.2,2082516,CBS,13154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jakobi Meyers,WR,NE,1,5.8,4,58.1,58.1,14.5,0.2,0.1,0.5,5,0,0,6.2,6.2,2183835,CBS,14127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michael Pittman,WR,IND,1,6.3,4.1,54,54,13.2,0.2,0.3,2,6.7,0,0,6.2,6.2,2240188,CBS,14842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mecole Hardman,WR,KC,1,4.8,3.1,47.1,47.1,15.2,0.4,0.3,2.6,8.7,0,0.1,6.2,6.2,2248618,CBS,14113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cole Beasley,WR,BUF,1,5.8,4.1,48.5,48.5,11.8,0.3,0,0,0,0,0,5.8,5.8,1977145,CBS,10973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emmanuel Sanders,WR,BUF,1,4.9,3.4,43.7,43.7,12.9,0.3,0,0.2,0,0,0,5.8,5.8,564943,CBS,9918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nelson Agholor,WR,NE,1,4.9,2.8,43,43,15.4,0.3,0.1,0.3,3,0,0,5.8,5.8,1996508,CBS,12181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Randall Cobb,WR,GB,1,5,3.6,42.1,42.1,11.7,0.3,0.1,0.4,4,0,0,5.8,5.8,1632091,CBS,10308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyrell Williams,WR,DET,1,4.8,3.2,47.5,47.5,14.8,0.3,0,0,0,0,0,5.8,5.8,2175352,CBS,12391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marquez Valdes-Scantling,WR,KC,1,4.8,2.4,43.4,43.4,18.1,0.3,0.2,0.7,3.5,0,0,5.8,5.8,2071540,CBS,13793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Christian Kirk,WR,JAC,1,6.4,4,45.2,45.2,11.3,0.3,0.5,3.7,7.4,0,0.1,5.6,5.6,2180820,CBS,13633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Darnell Mooney,WR,CHI,1,7.8,4.9,44.3,44.3,9,0.3,0.2,1,5,0,0.1,5.6,5.6,2240651,CBS,14974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A.J. Green,WR,ARI,1,8.1,3.7,43.5,43.5,11.8,0.2,0,0,0,0,0,5.2,5.2,1673207,CBS,10261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allen Lazard,WR,GB,1,4.4,3,41.3,41.3,13.8,0.2,0.2,1.4,7,0,0,5.2,5.2,2141655,CBS,13632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hunter Renfrow,WR,LV,1,5.1,3.6,40.1,40.1,11.1,0.2,0,0,0,0,0,5.2,5.2,2144726,CBS,14123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DeSean Jackson,WR,LV,1,3.8,2.4,37.1,37.1,15.5,0.3,0.1,1.2,12,0,0,4.8,4.8,559554,CBS,9075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Darius Slayton,WR,NYG,1,4.9,2.7,36.9,36.9,13.7,0.3,0.1,0,0,0,0,4.8,4.8,2183982,CBS,14122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zach Pascal,WR,PHI,1,4.5,2.7,37.6,37.6,13.9,0.3,0.1,0.4,4,0,0,4.8,4.8,1989197,CBS,13488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rondale Moore,WR,ARI,1,5.6,3.4,46.5,46.5,13.7,0.2,1.4,8.6,6.1,0,0.2,4.8,4.8,2968526,CBS,15283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gabe Davis,WR,BUF,1,3.7,2,35.6,35.6,17.8,0.3,0.1,0,0,0,0,4.8,4.8,2804813,CBS,14845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K.J. Hamler,WR,DEN,1,5.4,2.9,38.9,38.9,13.4,0.3,0.9,3.6,4,0,0,4.8,4.8,2804432,CBS,14837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Olamide Zaccheaus,WR,ATL,1,3.2,2,36.3,36.3,18.2,0.2,0,0,0,0,0,4.2,4.2,2186266,CBS,14592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mohamed Sanu,WR,MIA,1,4.8,3.1,35.1,35.1,11.3,0.2,0.3,1.1,3.7,0,0,4.2,4.2,1664646,CBS,10723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sterling Shepard,WR,NYG,1,6.3,4.4,39.9,39.9,9.1,0.2,0.5,4.9,9.8,0,0,4.2,4.2,1996786,CBS,12658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
James Washington,WR,DAL,1,5.1,2.9,36.6,36.6,12.6,0.2,0,0,0,0,0,4.2,4.2,2146188,CBS,13631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rashard Higgins,WR,CAR,1,3.7,2.3,37.6,37.6,16.4,0.2,0,0,0,0,0,4.2,4.2,2071919,CBS,12656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Donovan Peoples-Jones,WR,CLE,1,2.9,1.9,34,34,17.9,0.2,0,0.2,0,0,0,4.2,4.2,2819119,CBS,14857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kendrick Bourne,WR,NE,1,3.4,2.3,30.5,30.5,13.3,0.2,0,0,0,0,0,4.2,4.2,2088428,CBS,13418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyron Johnson,WR,LV,1,2.5,1.9,33.5,33.5,17.6,0.2,0.2,1.9,9.5,0,0,4.2,4.2,2180626,CBS,14117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sammy Watkins,WR,GB,1,4.8,3,39,39,13,0.2,0.2,1.9,9.5,0,0.1,4,4,1850743,CBS,11670,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amon-Ra St. Brown,WR,DET,1,4.4,2.7,37.5,37.5,13.9,0.2,0.1,0.5,5,0,0.1,4,4,2967690,CBS,15287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
