player,pos,team,games,fg,fg_att,fg_0019,fg_att_0019,fg_2029,fg_att_2029,fg_3039,fg_att_3039,fg_4049,fg_att_4049,fg_50,fg_att_50,xp,xp_att,site_pts,site_fppg,src_id,data_src,id,opp,fg_miss,xp_miss,bye,curr_site_pts,draft_rank,fg_pct,xp_pct,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,draftkings_site_points,yahoo_site_points
Graham Gano,K,NYG,1,2.1,2.3,0,0,0.4,0.4,0.7,0.8,0.6,0.6,0.3,0.3,2.8,2.8,9.1,9.1,558839,CBS,9694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justin Tucker,K,BAL,1,2.1,2.3,0,0,0.5,0.5,0.7,0.7,0.5,0.6,0.4,0.4,2.8,2.9,9.1,9.1,1985374,CBS,10976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Younghoe Koo,K,ATL,1,2,2.2,0,0,0.5,0.5,0.6,0.6,0.5,0.6,0.3,0.3,3.1,3.3,9.1,9.1,2820093,CBS,13403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harrison Butker,K,KC,1,1.8,2.3,0,0,0.5,0.5,0.5,0.6,0.5,0.7,0.3,0.3,3.1,3.4,8.5,8.5,2078888,CBS,13354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nick Folk,K,NE,1,2,2.2,0,0,0.4,0.5,0.6,0.6,0.7,0.8,0.2,0.2,2.5,2.6,8.5,8.5,410721,CBS,8851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brett Maher,K,DAL,1,2,2.2,0,0,0.6,0.6,0.5,0.5,0.5,0.5,0.3,0.3,2.4,2.5,8.4,8.4,1630817,CBS,13909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Bass,K,BUF,1,1.7,2,0,0,0.5,0.5,0.6,0.8,0.4,0.5,0.2,0.2,3.3,3.4,8.4,8.4,2188356,CBS,14983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dustin Hopkins,K,LAC,1,1.7,2,0,0,0.4,0.4,0.7,0.7,0.5,0.7,0.1,0.1,2.7,2.8,7.8,7.8,1664151,CBS,11387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greg Joseph,K,MIN,1,1.9,2.3,0,0,0.6,0.6,0.5,0.6,0.5,0.5,0.2,0.2,2,2.3,7.7,7.7,2926810,CBS,13898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cairo Santos,K,CHI,1,1.8,2,0,0,0.4,0.4,0.6,0.6,0.6,0.6,0.3,0.3,2,2.2,7.4,7.4,2132690,CBS,11945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
