player,pos,team,games,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,rush_att,rush_yds,rush_avg,rush_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,opp,rec_rz_tgt,rec_09_tds,rec_1019_tds,rec_2029_tds,rec_3039_tds,rec_4049_tds,rec_50_tds,return_yds,scoring_opp,bye,curr_site_pts,draft_rank,misc_tds,misc_yds,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_ovr,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,draftkings_salary,draftkings_value,yahoo_site_points,yahoo_salary,yahoo_value,return_tds,two_pts,pass_comp,pass_att,pass_yds,pass_tds,pass_int
Jamal Agnew,WR,JAC,NA,NA,0.86,9.26,NA,NA,0.04,0.53,2.94,NA,0.05,NA,1.7,NA,jamal-agnew,NumberFire,13308,KC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.01,5.41,#23,231,99,2.11,4700,0.45,2.58,3200,0.81,2.11,10,0.21,NA,NA,NA,NA,NA,NA,NA
Breshad Perriman,WR,TB,NA,NA,0.72,10.72,NA,NA,0.06,0.27,1.54,NA,0.02,NA,1.68,NA,breshad-perriman,NumberFire,12197,SEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.02,5.38,#24,232,100,2.05,NA,NA,2.42,3200,0.76,2.05,10,0.21,NA,NA,NA,NA,NA,NA,NA
Kadarius Toney,WR,KC,NA,NA,0.95,11.19,NA,NA,0.09,0,0,NA,0,NA,1.64,NA,kadarius-toney,NumberFire,15289,JAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.05,5.33,#25,234,101,2.11,5500,0.38,2.6,5000,0.52,2.11,13,0.16,NA,NA,NA,NA,NA,NA,NA
Zach Pascal,WR,PHI,NA,NA,0.78,9.45,NA,NA,0.06,0.31,1.75,NA,0.02,NA,1.59,NA,zach-pascal,NumberFire,13488,WSH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.08,5.26,#13,237,102,1.97,5200,0.38,2.37,3200,0.74,1.97,10,0.2,NA,NA,NA,NA,NA,NA,NA
N'Keal Harry,WR,CHI,NA,NA,0.94,10.94,NA,NA,0.08,0,0,NA,0,NA,1.57,NA,n-keal-harry,NumberFire,14101,DET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.09,5.23,#32,238,103,2.02,4900,0.41,2.5,3200,0.78,2.02,10,0.2,NA,NA,NA,NA,NA,NA,NA
Ray-Ray McCloud,WR,SF,NA,NA,1.13,10.7,NA,NA,0.09,0,0,NA,0,NA,1.51,NA,ray-ray-mccloud,NumberFire,13641,LAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.13,5.15,#19,240,104,2.08,5300,0.39,2.69,NA,NA,2.08,NA,NA,NA,NA,NA,NA,NA,NA,NA
Richie James,WR,NYG,NA,NA,0.71,9.16,NA,NA,0.04,0.34,1.95,NA,0.02,NA,1.42,NA,richie-james,NumberFire,13724,HOU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.19,5.03,#30,244,105,1.77,5100,0.35,2.15,3200,0.67,1.77,10,0.18,NA,NA,NA,NA,NA,NA,NA
Rashid Shaheed,WR,NO,NA,NA,0.57,7.19,NA,NA,0.03,0.59,3,NA,0.04,NA,1.41,NA,rashid-shaheed,NumberFire,16080,PIT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.2,5.02,#20,245,106,1.68,5300,0.32,1.99,3700,0.54,1.68,15,0.11,NA,NA,NA,NA,NA,NA,NA
Dax Milne,WR,WSH,NA,NA,0.98,10.79,NA,NA,0.05,0,0,NA,0,NA,1.35,NA,dax-milne,NumberFire,15326,PHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.24,4.94,#7,247,107,1.83,4800,0.38,2.34,3000,0.78,1.83,10,0.18,NA,NA,NA,NA,NA,NA,NA
Justin Watson,WR,KC,NA,NA,0.7,8.84,NA,NA,0.07,0,0,NA,0,NA,1.29,NA,justin-watson-1,NumberFire,13776,JAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.27,4.85,#25,250,108,1.63,4700,0.35,1.99,3000,0.66,1.63,10,0.16,NA,NA,NA,NA,NA,NA,NA
DJ Turner,WR,LV,NA,NA,0.18,2.14,NA,NA,0.01,1.12,6.38,NA,0.07,NA,1.27,NA,dj-turner,NumberFire,15995,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.29,4.83,#14,251,109,1.36,4500,0.3,1.48,3000,0.49,1.36,10,0.14,NA,NA,NA,NA,NA,NA,NA
Jahan Dotson,WR,WSH,NA,NA,0.83,9.79,NA,NA,0.04,0,0,NA,0,NA,1.23,NA,jahan-dotson,NumberFire,15755,PHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.31,4.77,#7,252,110,1.61,5500,0.29,2.04,3800,0.54,1.61,14,0.12,NA,NA,NA,NA,NA,NA,NA
Velus Jones,WR,CHI,NA,NA,0.28,3.4,NA,NA,0.02,0.76,4.39,NA,0.06,NA,1.22,NA,velus-jones,NumberFire,15767,DET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.32,4.76,#32,253,111,1.36,4600,0.3,1.52,3000,0.51,1.36,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marquise Goodwin,WR,SEA,NA,NA,0.73,9.64,NA,NA,0.04,0,0,NA,0,NA,1.22,NA,marquise-goodwin-1,NumberFire,11239,TB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.32,4.76,#6,253,111,1.55,NA,NA,1.92,3700,0.52,1.55,13,0.12,NA,NA,NA,NA,NA,NA,NA
Jake Kumerow,WR,BUF,NA,NA,0.64,8.3,NA,NA,0.05,0,0,NA,0,NA,1.12,NA,jake-kumerow,NumberFire,12443,MIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.38,4.62,#9,261,113,1.43,4600,0.31,1.76,3000,0.59,1.43,10,0.14,NA,NA,NA,NA,NA,NA,NA
Montrell Washington,WR,DEN,NA,NA,0.55,7.2,NA,NA,0.04,0.27,1.52,NA,0.01,NA,1.11,NA,montrell-washington,NumberFire,15900,TEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.39,4.61,#10,263,114,1.41,4700,0.3,1.7,3000,0.57,1.41,10,0.14,NA,NA,NA,NA,NA,NA,NA
Bryan Edwards,WR,ATL,NA,NA,0.61,8.42,NA,NA,0.04,0,0,NA,0,NA,1.09,NA,bryan-edwards,NumberFire,14844,CAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.4,4.58,#22,265,115,1.37,NA,NA,1.68,3000,0.56,1.37,10,0.14,NA,NA,NA,NA,NA,NA,NA
David Bell,WR,CLE,NA,NA,0.78,8.7,NA,NA,0.04,0,0,NA,0,NA,1.09,NA,david-bell,NumberFire,15758,MIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.4,4.58,#27,265,115,1.48,4900,0.3,1.88,3300,0.57,1.48,10,0.15,NA,NA,NA,NA,NA,NA,NA
Cedrick Wilson,WR,MIA,NA,NA,0.66,7.73,NA,NA,0.05,0,0,NA,0,NA,1.05,NA,cedrick-wilson,NumberFire,13652,CLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.43,4.53,#26,268,117,1.38,5000,0.28,1.72,3100,0.55,1.38,NA,NA,NA,NA,NA,NA,NA,NA,NA
Keelan Cole,WR,LV,NA,NA,0.55,6.89,NA,NA,0.04,0,0,NA,0,NA,0.91,NA,keelan-cole,NumberFire,13412,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.52,4.34,#14,277,118,1.18,4700,0.25,1.47,3000,0.49,1.18,10,0.12,NA,NA,NA,NA,NA,NA,NA
Anthony Schwartz,WR,CLE,NA,NA,0.56,6.38,NA,NA,0.03,0,0,NA,0,NA,0.81,NA,anthony-schwartz,NumberFire,15296,MIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.59,4.21,#27,284,119,1.08,4600,0.23,1.37,3000,0.46,1.08,10,0.11,NA,NA,NA,NA,NA,NA,NA
Michael Woods II,WR,CLE,NA,NA,0.56,6.27,NA,NA,0.03,0,0,NA,0,NA,0.8,NA,michael-woods-ii,NumberFire,15792,MIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.59,4.19,#27,285,120,1.07,4700,0.23,1.36,3000,0.45,1.07,10,0.11,NA,NA,NA,NA,NA,NA,NA
Kendall Hinton,WR,DEN,NA,NA,0.37,5.05,NA,NA,0.02,0,0,NA,0,NA,0.64,NA,kendall-hinton,NumberFire,15183,TEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.7,3.98,#10,294,121,0.79,4600,0.17,0.99,3000,0.33,0.79,10,0.08,NA,NA,NA,NA,NA,NA,NA
River Cracraft,WR,MIA,NA,NA,0.4,4.64,NA,NA,0.03,0,0,NA,0,NA,0.64,NA,river-cracraft,NumberFire,13862,CLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.7,3.98,#26,294,121,0.82,4600,0.18,1.03,3000,0.34,0.82,10,0.08,NA,NA,NA,NA,NA,NA,NA
Miles Boykin,WR,PIT,NA,NA,0.39,5.07,NA,NA,0.02,0,0,NA,0,NA,0.64,NA,miles-boykin,NumberFire,14125,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.7,3.98,#15,294,121,0.82,5000,0.16,1.02,3000,0.34,0.82,10,0.08,NA,NA,NA,NA,NA,NA,NA
Tyron Johnson,WR,HOU,NA,NA,0.37,5.17,NA,NA,0.02,0,0,NA,0,NA,0.63,NA,tyron-johnson,NumberFire,14117,NYG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.7,3.96,#18,298,124,0.8,4600,0.17,1,3000,0.33,0.8,10,0.08,NA,NA,NA,NA,NA,NA,NA
Mike Strachan,WR,IND,NA,NA,0.39,4.66,NA,NA,0.02,0,0,NA,0,NA,0.58,NA,mike-strachan,NumberFire,15478,LV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.73,3.89,#29,304,125,0.76,4600,0.17,0.97,3000,0.32,0.76,10,0.08,NA,NA,NA,NA,NA,NA,NA
Jalen Camp,WR,HOU,NA,NA,0.36,4.62,NA,NA,0.02,0,0,NA,0,NA,0.57,NA,jalen-camp,NumberFire,15467,NYG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.74,3.88,#18,305,126,0.74,4600,0.16,0.93,3000,0.31,0.74,NA,NA,NA,NA,NA,NA,NA,NA,NA
KaVontae Turpin,WR,DAL,NA,NA,0.19,2.09,NA,NA,0.01,0.3,1.69,NA,0.02,NA,0.56,NA,kavontae-turpin,NumberFire,15981,GB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.75,3.87,#17,307,127,0.63,4600,0.14,0.74,3000,0.25,0.63,10,0.06,NA,NA,NA,NA,NA,NA,NA
Cam Sims,WR,WSH,NA,NA,0.36,4.44,NA,NA,0.02,0,0,NA,0,NA,0.55,NA,cam-sims,NumberFire,13895,PHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.75,3.85,#7,309,128,0.74,4700,0.16,0.92,3000,0.31,0.74,10,0.07,NA,NA,NA,NA,NA,NA,NA
Gunner Olszewski,WR,PIT,NA,NA,0.19,2.42,NA,NA,0.01,0.27,1.52,NA,0.02,NA,0.54,NA,gunner-olszewski,NumberFire,14555,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.76,3.84,#15,312,129,0.63,4700,0.13,0.74,3000,0.25,0.63,10,0.06,NA,NA,NA,NA,NA,NA,NA
