player,pos,team,games,fg,fg_att,fg_0019,fg_att_0019,fg_2029,fg_att_2029,fg_3039,fg_att_3039,fg_4049,fg_att_4049,fg_50,fg_att_50,xp,xp_att,site_pts,site_fppg,src_id,data_src,id,opp,fg_miss,xp_miss,bye,curr_site_pts,draft_rank,fg_pct,xp_pct,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,draftkings_site_points,yahoo_site_points
Harrison Butker,K,KC,1,1.9,2.3,0,0,0.6,0.6,0.5,0.6,0.4,0.6,0.3,0.3,2.9,3.2,8.6,8.6,2078888,CBS,13354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Bass,K,BUF,1,1.7,2,0,0,0.4,0.4,0.6,0.7,0.5,0.6,0.2,0.2,2.9,3.1,8,8,2188356,CBS,14983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greg Joseph,K,MIN,1,1.9,2.4,0,0,0.6,0.6,0.5,0.6,0.5,0.5,0.3,0.3,2.3,2.6,8,8,2926810,CBS,13898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brett Maher,K,DAL,1,1.7,2,0,0,0.5,0.5,0.5,0.5,0.4,0.5,0.3,0.3,2.7,2.9,7.8,7.8,1630817,CBS,13909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Robbie Gould,K,SF,1,1.7,2,0,0,0.5,0.6,0.4,0.4,0.5,0.8,0.2,0.2,2.7,2.8,7.8,7.8,553121,CBS,8153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jason Sanders,K,MIA,1,1.7,2.1,0,0,0.4,0.5,0.5,0.5,0.6,0.7,0.2,0.2,2.6,2.7,7.7,7.7,2131909,CBS,13832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cameron Dicker,K,LAC,1,1.6,1.9,0,0,0.5,0.5,0.6,0.6,0.5,0.6,0.1,0.1,2.6,2.7,7.4,7.4,2961997,CBS,15979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Graham Gano,K,NYG,1,1.8,2,0,0,0.4,0.4,0.6,0.7,0.5,0.6,0.3,0.3,1.9,2,7.3,7.3,558839,CBS,9694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evan McPherson,K,CIN,1,1.6,1.8,0,0,0.3,0.4,0.4,0.4,0.5,0.7,0.3,0.3,2.2,2.4,7,7,2962681,CBS,15368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justin Tucker,K,BAL,1,1.6,1.9,0,0,0.4,0.4,0.5,0.5,0.4,0.5,0.3,0.3,2.2,2.2,7,7,1985374,CBS,10976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ryan Succop,K,TB,1,1.6,1.9,0,0,0.5,0.5,0.4,0.5,0.5,0.6,0.1,0.1,2.2,2.2,7,7,1674148,CBS,9686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chase McLaughlin,K,IND,1,1.6,2,0,0,0.4,0.4,0.4,0.5,0.5,0.6,0.3,0.3,2.2,2.2,7,7,2165272,CBS,14717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nick Folk,K,NE,1,1.7,2,0,0,0.4,0.4,0.5,0.5,0.5,0.7,0.2,0.2,1.9,1.9,7,7,410721,CBS,8851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Boswell,K,PIT,1,1.7,2.1,0,0,0.4,0.4,0.5,0.6,0.4,0.7,0.3,0.3,1.9,2,7,7,1724930,CBS,11936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
