player,pos,team,games,rush_att,rush_yds,rush_avg,rush_tds,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,opp,rush_09_tds,rush_1019_tds,rush_2029_tds,rush_3039_tds,rush_4049_tds,rush_50_tds,rec_rz_tgt,rush_50_yds,rush_100_yds,return_yds,scoring_opp,bye,curr_site_pts,draft_rank,misc_tds,misc_yds,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_ovr,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,yahoo_site_points,yahoo_salary,yahoo_value,return_tds,two_pts
Justice Hill,RB,BAL,NA,3,14.7,NA,0.1,0.8,0.8,5.5,NA,NA,0,0.1,2.28,NA,14767,FleaFlicker,14086,@TBW 27-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2.28,RB76,0.1,20.2,14%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Travis Homer,RB,SEA,NA,2.3,10.8,NA,0.1,0.7,0.7,5.7,NA,NA,0,0,2.19,NA,14810,FleaFlicker,14083,NYGSun 4:25 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,RB106,0.1,16.6,6%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trey Sermon,RB,PHI,NA,2.3,13.1,NA,0.1,0.1,0.1,0.7,NA,NA,0,0,1.98,NA,16323,FleaFlicker,15257,PITSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,RB101,0.1,13.8,17%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ty Johnson,RB,NYJ,NA,2.6,9.4,NA,0.1,0.6,0.6,5.2,NA,NA,0,0,1.98,NA,14842,FleaFlicker,14095,NESun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,RB80,0.1,14.6,8%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deon Jackson,RB,IND,NA,2.3,10.3,NA,0.1,0.4,0.4,3.4,NA,NA,0,0,1.85,NA,16681,FleaFlicker,15277,WASSun 4:25 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,RB81,0.1,13.7,25%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon Bolden,RB,LV,NA,1.6,5.5,NA,0,0.9,0.9,7.7,NA,NA,0.1,0,1.78,NA,9114,FleaFlicker,10932,@NOSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,0.1,13.3,11%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kevin Harris,RB,NE,NA,2.1,9.7,NA,0.1,0.3,0.3,1.9,NA,NA,0,0,1.68,NA,16946,FleaFlicker,15719,@NYJSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.1,11.6,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Avery Williams,RB,ATL,NA,2,7.6,NA,0.1,0.6,0.6,4.5,NA,NA,0,0,1.63,NA,13524,FleaFlicker,15454,CARSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,0.1,12,5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brittain Brown,RB,LV,NA,1.7,7.7,NA,0.1,0.2,0.2,2.6,NA,NA,0,0,1.63,NA,17032,FleaFlicker,15953,@NOSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,0.1,10.3,1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dare Ogunbowale,RB,HOU,NA,1.5,6,NA,0,0.7,0.7,6.4,NA,NA,0,0,1.47,NA,13581,FleaFlicker,13148,TENSun 4:05 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,0,12.3,3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hassan Haskins,RB,TEN,NA,1.5,7.4,NA,0.1,0.3,0.3,1.9,NA,NA,0,0,1.3,NA,16913,FleaFlicker,15720,@HOUSun 4:05 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,RB85,0.1,9.3,23%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRTy Montgomery,RB,NE,NA,0.3,1.6,NA,0,0.8,0.8,6.7,NA,NA,0.1,0,1.25,NA,11213,FleaFlicker,12261,@NYJSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,RB98,0.1,8.2,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D'Ernest Johnson,RB,CLE,NA,1.3,6.7,NA,0.1,0.3,0.3,2.2,NA,NA,0,0,1.25,NA,15453,FleaFlicker,14331,CINMon 8:15 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,RB75,0.1,8.8,20%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ronnie Rivers,RB,LAR,NA,2,7.2,NA,0,0.4,0.4,2.8,NA,NA,0,0,1.24,NA,17188,FleaFlicker,15726,SFSun 4:25 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,0,10.1,5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alec Ingold,RB,MIA,NA,0.6,1.7,NA,0,0.7,0.7,6,NA,NA,0.1,0,1.21,NA,15279,FleaFlicker,14420,@DETSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0.1,7.6,1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zamir White,RB,LV,NA,2,7.9,NA,0.1,0.1,0.1,0.5,NA,NA,0,0,1.18,NA,16918,FleaFlicker,15714,@NOSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,RB61,0.1,8.4,31%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justin Jackson,RB,DET,NA,1.4,6.2,NA,0,0.3,0.3,2.6,NA,NA,0,0,1.07,NA,14018,FleaFlicker,13620,MIASun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,RB104,0,8.8,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyrion Davis-Price,RB,SF,NA,1.5,6.7,NA,0,0.2,0.2,1.2,NA,NA,0,0,1.07,NA,16886,FleaFlicker,15746,@LARSun 4:25 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,RB71,0.1,7.9,26%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jordan Mason,RB,SF,NA,1.9,5.1,NA,0.1,0.2,0.2,1.1,NA,NA,0,0,1.04,NA,17167,FleaFlicker,15972,@LARSun 4:25 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,RB97,0.1,6.2,9%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ameer Abdullah,RB,LV,NA,0.5,2.2,NA,0,0.8,0.8,6.9,NA,NA,0,0,1.03,NA,11207,FleaFlicker,12155,@NOSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,RB93,0,9.1,6%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pierre Strong,RB,NE,NA,1.1,5.2,NA,0.1,0.2,0.2,1.9,NA,NA,0,0,1.01,NA,16909,FleaFlicker,NA,@NYJSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,RB95,0.1,7.1,18%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DEzekiel Elliott,RB,DAL,NA,2,10,NA,0,0,0,0,NA,NA,0,0,1,NA,12025,FleaFlicker,12625,CHISun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,RB20,0,10,97%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trestan Ebner,RB,CHI,NA,1.6,6.2,NA,0,0.3,0.3,2.1,NA,NA,0,0,0.95,NA,17011,FleaFlicker,15748,@DALSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,RB90,0,8.3,11%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ke'Shawn Vaughn,RB,TB,NA,0.8,5,NA,0.1,0.2,0.2,0.8,NA,NA,0,0,0.92,NA,15620,FleaFlicker,14810,BALL 22-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,RB89,0.1,5.8,9%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gary Brightwell,RB,NYG,NA,0.7,4.4,NA,0.1,0.1,0.1,1,NA,NA,0,0,0.9,NA,16461,FleaFlicker,15462,@SEASun 4:25 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,0.1,5.4,3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salvon Ahmed,RB,MIA,NA,1.1,4.8,NA,0,0.1,0.1,0.8,NA,NA,0,0,0.8,NA,15937,FleaFlicker,14811,@DETSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,5.5,4%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRGiovani Bernard,RB,TB,NA,1.5,4.6,NA,0,0.5,0.5,3.3,NA,NA,0,0,0.79,NA,9341,FleaFlicker,11193,BALL 22-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,RB91,0,7.9,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dwayne Washington,RB,NO,NA,1.2,4.9,NA,0,0.1,0.1,1.4,NA,NA,0,0,0.75,NA,12247,FleaFlicker,12845,LVSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,0,6.3,1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C.J. Ham,RB,MIN,NA,0.3,0.5,NA,0,0.7,0.7,6.4,NA,NA,0,0,0.75,NA,12694,FleaFlicker,12923,ARISun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,0,6.8,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Patrick Taylor,RB,GB,NA,0.1,4.1,NA,0,0.2,0.2,1,NA,NA,0,0,0.73,NA,16024,FleaFlicker,14817,@BUFSun 8:20 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,0,5.2,1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Evans,RB,CIN,NA,0.5,2.8,NA,0,0.4,0.4,2.7,NA,NA,0,0,0.67,NA,16458,FleaFlicker,15275,@CLEMon 8:15 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,RB84,0,5.5,11%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jonathan Taylor,RB,IND,NA,21.32,103.71,NA,0.74,NA,2.03,16.61,NA,NA,0.1,NA,16.98,NA,jonathan-taylor,NumberFire,14802,WSH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.09,25.87,#20,10,1,17.97,8300,2.17,22.05,17.97,32,0.56,NA,NA
Christian McCaffrey,RB,SF,NA,17.26,79.11,NA,0.62,NA,4.35,40.06,NA,NA,0.21,NA,16.76,NA,christian-mccaffrey,NumberFire,13130,LA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.95,25.57,#6,12,2,18.97,8500,2.23,21.22,18.97,33,0.57,NA,NA
Derrick Henry,RB,TEN,NA,20.26,98.97,NA,0.74,NA,2.21,20.05,NA,NA,0.09,NA,16.6,NA,derrick-henry,NumberFire,12626,HOU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.84,25.36,#28,13,3,17.73,10000,1.77,18.97,17.73,40,0.44,NA,NA
Saquon Barkley,RB,NYG,NA,19.74,87.95,NA,0.6,NA,3.54,23.32,NA,NA,0.15,NA,15.47,NA,saquon-barkley,NumberFire,13604,SEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.08,23.86,#29,18,4,17.28,9500,1.82,19.13,17.28,39,0.44,NA,NA
Joe Mixon,RB,CIN,NA,17.56,71.49,NA,0.54,NA,4.02,30.37,NA,NA,0.25,NA,14.96,NA,joe-mixon,NumberFire,13131,CLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.74,23.18,#30,21,5,16.98,7800,2.18,18.99,16.98,25,0.68,NA,NA
Tony Pollard,RB,DAL,NA,18.99,87.65,NA,0.57,NA,2.73,19.8,NA,NA,0.14,NA,14.81,NA,tony-pollard,NumberFire,14085,CHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.63,22.99,#18,22,6,16.13,6300,2.56,17.63,16.13,17,0.95,NA,NA
Josh Jacobs,RB,LV,NA,18.19,77.87,NA,0.8,NA,2.53,15.6,NA,NA,0.13,NA,14.72,NA,josh-jacobs,NumberFire,14073,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.57,22.87,#23,24,7,16.01,9000,1.78,17.38,16.01,29,0.55,NA,NA
Alvin Kamara,RB,NO,NA,14.94,65.87,NA,0.59,NA,4.38,33.85,NA,NA,0.22,NA,14.64,NA,alvin-kamara,NumberFire,13132,LV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.52,22.76,#26,25,8,16.84,7800,2.16,19.14,16.84,26,0.65,NA,NA
Nick Chubb,RB,CLE,NA,17.21,90.31,NA,0.68,NA,1.5,11.04,NA,NA,0.06,NA,14.56,NA,nick-chubb,NumberFire,13610,CIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.47,22.65,#8,29,9,15.33,8700,1.76,16.09,15.33,36,0.43,NA,NA
Dameon Pierce,RB,HOU,NA,20.05,83.51,NA,0.53,NA,3.21,22.91,NA,NA,0.12,NA,14.23,NA,dameon-pierce,NumberFire,15717,TEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.24,22.22,#15,31,10,15.81,7300,2.17,17.6,15.81,21,0.75,NA,NA
Rhamondre Stevenson,RB,NE,NA,17.89,83.17,NA,0.57,NA,2.35,17.64,NA,NA,0.09,NA,13.97,NA,rhamondre-stevenson,NumberFire,15259,NYJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.07,21.87,#5,32,11,15.14,8000,1.89,16.36,15.14,23,0.66,NA,NA
Leonard Fournette,RB,TB,NA,18.27,73.54,NA,0.53,NA,3.44,23.9,NA,NA,0.16,NA,13.87,NA,leonard-fournette,NumberFire,13129,BAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,21.74,#22,34,12,15.56,7800,1.99,17.32,15.56,29,0.54,NA,NA
Travis Etienne,RB,JAC,NA,16.4,75.26,NA,0.56,NA,2.92,22.33,NA,NA,0.11,NA,13.38,NA,travis-etienne,NumberFire,15253,DEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.67,21.09,#3,38,13,14.88,6500,2.29,16.54,14.88,NA,NA,NA,NA
Dalvin Cook,RB,MIN,NA,16.96,78.26,NA,0.58,NA,1.95,14.32,NA,NA,0.1,NA,13.2,NA,dalvin-cook,NumberFire,13128,ARI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.55,20.85,#11,43,14,14.13,8200,1.72,15.21,14.13,26,0.54,NA,NA
Raheem Mostert,RB,MIA,NA,15.46,75.46,NA,0.63,NA,1.31,10.82,NA,NA,0.09,NA,12.86,NA,raheem-mostert,NumberFire,12447,DET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.32,20.4,#32,46,15,13.52,6800,1.99,14.23,13.52,21,0.64,NA,NA
Kenneth Walker III,RB,SEA,NA,16.72,77.69,NA,0.61,NA,1.56,9.78,NA,NA,0.07,NA,12.72,NA,kenneth-walker-iii,NumberFire,15711,NYG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.23,20.21,#25,49,16,13.51,8400,1.61,14.35,13.51,25,0.54,NA,NA
Aaron Jones,RB,GB,NA,12.84,61.78,NA,0.35,NA,3.56,26.14,NA,NA,0.18,NA,11.97,NA,aaron-jones,NumberFire,13319,BUF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.72,19.22,#2,52,17,13.71,7100,1.93,15.53,13.71,21,0.65,NA,NA
D'Andre Swift,RB,DET,NA,12.08,54.38,NA,0.5,NA,3.36,25.17,NA,NA,0.16,NA,11.8,NA,d-andre-swift,NumberFire,14797,MIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.61,18.99,#19,54,18,13.48,7500,1.8,15.24,13.48,27,0.5,NA,NA
Miles Sanders,RB,PHI,NA,15.07,72.87,NA,0.47,NA,1.59,9.92,NA,NA,0.08,NA,11.47,NA,miles-sanders,NumberFire,14079,PIT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.39,18.55,#14,55,19,12.29,7400,1.66,13.14,12.29,22,0.56,NA,NA
David Montgomery,RB,CHI,NA,16.12,64.86,NA,0.4,NA,2.54,19.88,NA,NA,0.09,NA,11.32,NA,david-montgomery,NumberFire,14071,DAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.29,18.35,#1,56,20,12.58,6700,1.88,13.91,12.58,19,0.66,NA,NA
Tyler Allgeier,RB,ATL,NA,17.08,72.11,NA,0.53,NA,0.75,5.49,NA,NA,0.04,NA,10.98,NA,tyler-allgeier,NumberFire,15712,CAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.06,17.9,#12,60,21,11.36,6100,1.86,11.84,11.36,14,0.81,NA,NA
Eno Benjamin,RB,ARI,NA,11.77,53.99,NA,0.36,NA,3.18,20.93,NA,NA,0.12,NA,10.35,NA,eno-benjamin,NumberFire,14801,MIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.63,17.07,#13,64,22,11.92,7000,1.7,13.55,11.92,20,0.6,NA,NA
Michael Carter,RB,NYJ,NA,11.71,52.79,NA,0.32,NA,2.52,20.7,NA,NA,0.09,NA,9.65,NA,michael-carter-ii,NumberFire,15258,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.16,16.14,#9,71,23,10.95,6600,1.66,12.29,10.95,15,0.73,NA,NA
Najee Harris,RB,PIT,NA,15.28,63.02,NA,0.33,NA,1.95,10.99,NA,NA,0.06,NA,9.65,NA,najee-harris,NumberFire,15254,PHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.16,16.14,#7,71,23,10.64,6600,1.61,11.66,10.64,19,0.56,NA,NA
Brian Robinson,RB,WSH,NA,15.84,68.65,NA,0.39,NA,0.48,3.37,NA,NA,0.02,NA,9.58,NA,brian-robinson,NumberFire,15716,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.12,16.04,#17,73,25,9.82,6000,1.64,10.11,9.82,NA,NA,NA,NA
Darrell Henderson,RB,LA,NA,13.1,56,NA,0.34,NA,1.98,13.1,NA,NA,0.09,NA,9.49,NA,darrell-henderson,NumberFire,14087,SF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.05,15.93,#10,74,26,10.48,6500,1.61,11.48,10.48,13,0.81,NA,NA
D'Onta Foreman,RB,CAR,NA,14.11,60.07,NA,0.35,NA,1.43,12.05,NA,NA,0.06,NA,9.42,NA,d-onta-foreman,NumberFire,13134,ATL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.01,15.83,#31,75,27,10.13,6400,1.58,10.98,10.13,19,0.53,NA,NA
Devin Singletary,RB,BUF,NA,9.51,44,NA,0.24,NA,2.47,15.32,NA,NA,0.14,NA,8.16,NA,devin-singletary,NumberFire,14080,GB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.16,14.16,#16,82,28,9.41,5900,1.59,10.67,9.41,18,0.52,NA,NA
Melvin Gordon,RB,DEN,NA,11.41,49.39,NA,0.3,NA,1.46,10.35,NA,NA,0.07,NA,7.81,NA,melvin-gordon,NumberFire,12151,JAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.92,13.7,#24,85,29,8.52,5800,1.47,9.46,8.52,19,0.45,NA,NA
Latavius Murray,RB,DEN,NA,10.27,43.69,NA,0.28,NA,1.76,12.23,NA,NA,0.06,NA,7.65,NA,latavius-murray,NumberFire,11390,JAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.82,13.48,#24,87,30,8.53,5600,1.52,9.41,8.53,13,0.66,NA,NA
A.J. Dillon,RB,GB,NA,10.12,43.85,NA,0.18,NA,2.05,15.55,NA,NA,0.09,NA,7.58,NA,aj-dillon,NumberFire,14805,BUF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.77,13.39,#2,88,31,8.61,5500,1.57,9.63,8.61,15,0.57,NA,NA
Gus Edwards,RB,BAL,NA,11.18,53.96,NA,0.25,NA,0.78,5.76,NA,NA,0.04,NA,7.54,NA,gus-edwards,NumberFire,13850,TB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.74,13.34,#4,89,32,7.92,6700,1.18,8.41,7.92,19,0.42,NA,NA
Kareem Hunt,RB,CLE,NA,8.01,34.47,NA,0.29,NA,1.97,14.28,NA,NA,0.09,NA,7.15,NA,kareem-hunt,NumberFire,13138,CIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.48,12.82,#8,95,33,8.12,5600,1.45,9.12,8.12,15,0.54,NA,NA
Jamaal Williams,RB,DET,NA,10.74,43.71,NA,0.35,NA,0.77,5.23,NA,NA,0.03,NA,7,NA,jamaal-williams,NumberFire,13139,MIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.38,12.62,#19,96,34,7.38,7500,0.98,7.86,7.38,23,0.32,NA,NA
Antonio Gibson,RB,WSH,NA,7.04,30.45,NA,0.21,NA,2.38,16.52,NA,NA,0.08,NA,6.36,NA,antonio-gibson,NumberFire,14852,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95,11.77,#17,104,35,7.57,5600,1.35,8.79,7.57,16,0.47,NA,NA
Caleb Huntley,RB,ATL,NA,8.54,36.2,NA,0.27,NA,0.37,2.71,NA,NA,0.02,NA,5.51,NA,caleb-huntley,NumberFire,15505,CAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38,10.64,#12,117,36,5.68,5200,1.09,5.93,5.68,14,0.41,NA,NA
Rex Burkhead,RB,HOU,NA,3.13,13.01,NA,0.09,NA,3.63,28.76,NA,NA,0.13,NA,5.48,NA,rex-burkhead,NumberFire,11182,TEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36,10.6,#15,118,37,7.29,5200,1.4,9.13,7.29,10,0.73,NA,NA
Chase Edmonds,RB,MIA,NA,5.02,23.11,NA,0.2,NA,1.56,12.41,NA,NA,0.09,NA,5.31,NA,chase-edmonds,NumberFire,13726,DET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24,10.38,#32,122,38,6.03,5700,1.06,6.83,6.03,14,0.43,NA,NA
James Robinson,RB,NYJ,NA,7.03,31.97,NA,0.21,NA,0.85,6.25,NA,NA,0.03,NA,5.13,NA,james-robinson,NumberFire,14813,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,10.14,#9,125,39,5.55,5600,0.99,6.04,5.55,NA,NA,NA,NA
Jeff Wilson,RB,SF,NA,8.48,36.28,NA,0.22,NA,0.23,1.92,NA,NA,0.01,NA,5.04,NA,jeff-wilson,NumberFire,NA,LA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,10.02,#6,127,40,5.18,5700,0.91,5.36,5.18,11,0.47,NA,NA
Mark Ingram,RB,NO,NA,5.92,26.39,NA,0.22,NA,1.26,8.66,NA,NA,0.05,NA,5.02,NA,mark-ingram-1,NumberFire,10276,LV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,9.99,#26,128,41,5.64,5000,1.13,6.33,5.64,11,0.51,NA,NA
JaMycal Hasty,RB,JAC,NA,5.88,25.46,NA,0.18,NA,1.56,11.8,NA,NA,0.06,NA,4.99,NA,jamycal-hasty,NumberFire,14821,DEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,9.95,#3,130,42,5.75,4900,1.17,6.63,5.75,11,0.52,NA,NA
Damien Harris,RB,NE,NA,5.52,25.1,NA,0.2,NA,1.22,8.87,NA,NA,0.05,NA,4.96,NA,damien-harris,NumberFire,14075,NYJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,9.91,#5,131,43,5.51,7000,0.79,6.12,5.51,18,0.31,NA,NA
Rachaad White,RB,TB,NA,4.66,21.01,NA,0.14,NA,2.03,15.04,NA,NA,0.09,NA,4.9,NA,rachaad-white,NumberFire,15721,BAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.03,9.83,#22,133,44,5.9,5400,1.09,6.97,5.9,10,0.59,NA,NA
