id,pos,fantasy_sharks_pts,number_fire_pts,fantasy_pros_pts,flea_flicker_pts,cbs_pts,nfl_pts,avg_type,points,sd_pts,dropoff,floor,ceiling,points_vor,floor_vor,ceiling_vor,rank,floor_rank,ceiling_rank,pos_rank,tier,first_name,last_name,team,position,age,exp,season,week
15281,WR,17.1,18.122,19.39,21.19,12.200000000000001,17.949,average,17.62516666666667,3.0245159888264217,0.05700000000000216,13.425,20.740000000000002,4.725666666666669,2.9350000000000005,6.375,21,42,12,6,3,Ja'Marr,Chase,CIN,WR,22,-1,2022,1
15282,WR,11.8,11.461,11.96,11.96,13.11,11.697,average,11.964666666666666,0.6063892039496303,0.04749999999999943,11.42,12.8225,-0.9348333333333336,0.9299999999999997,-1.5425000000000022,166,78,187,42,8,DeVonta,Smith,PHI,WR,24,-1,2022,1
15283,WR,9.100000000000001,11.054,10.67,10.67,9.71,8.429,average,9.9055,1.0431371434284178,0.01266666666666616,8.52175,10.883000000000001,-2.9939999999999998,-1.9682499999999994,-3.482000000000001,232,206,239,59,9,Rondale,Moore,ARI,WR,22,-1,2022,1
15284,WR,13.3,13.744,13.76,13.77,13.17,14.39,average,13.679666666666666,0.44470469602497664,0.2501666666666651,13.2025,14.268,0.7801666666666662,2.7125000000000004,-0.09700000000000131,76,47,112,27,6,Jaylen,Waddle,MIA,WR,24,-1,2022,1
15285,WR,1.1,3.677,2.64,NA,NA,1.29,average,2.17675,1.2125821965266244,0.012750000000000039,1.1285,3.5214499999999997,-10.72275,-9.3615,-10.843550000000002,540,539,493,158,16,Tylan,Wallace,BAL,WR,23,-1,2022,1
15286,WR,NA,1.099,0.9,NA,NA,NA,average,0.9995,0.14071424945612293,0.027750000000000052,0.90995,1.0890499999999999,-11.9,-9.58005,-13.275950000000002,581,553,589,199,17,Seth,Williams,FA,WR,22,-1,2022,1
15287,WR,14.8,12.968,14.44,14.450000000000001,7.5,14.536,average,13.099,2.8221344404546005,0.19716666666666605,8.8545,14.721500000000002,0.19950000000000045,-1.6355000000000004,0.3565000000000005,91,190,88,34,7,Amon-Ra,St. Brown,DET,WR,23,-1,2022,1
15288,WR,11.600000000000001,12.314,14.860000000000001,17.86,10.75,13.142,average,13.42046827309237,2.5930014912277737,0.010468273092369529,10.9625,17.11,0.5209682730923699,0.47250000000000014,2.7449999999999974,78,86,45,29,6,Elijah,Moore,NYJ,WR,22,-1,2022,1
15289,WR,9.91,10.325,12.64,12.64,NA,14.925,average,12.090748387096774,2.0364155282363274,0.12608172043010768,9.993,14.478993548387097,-0.808751612903226,-0.4969999999999999,0.11399354838709463,162,126,96,41,8,Kadarius,Toney,NYG,WR,23,-1,2022,1
15290,WR,6.4,9.574,9.94,9.94,7.39,8.269,average,8.568833333333334,1.475697044337579,0.009999999999999787,6.647500000000001,9.94,-4.330666666666666,-3.8424999999999994,-4.4250000000000025,265,264,274,70,11,Nico,Collins,HOU,WR,23,-1,2022,1
15291,WR,NA,1.203,NA,NA,NA,NA,average,1.203,NA,0.033666666666666734,1.203,1.203,-11.6965,-9.287,-13.162000000000003,570,535,584,188,17,Dazz,Newsome,FA,WR,23,-1,2022,1
15292,WR,1.68,2.094,1.3,NA,NA,1.106,average,1.545,0.4367959096267576,0.025666666666666504,1.1351,2.0319,-11.3545,-9.3549,-12.333100000000002,553,538,554,171,17,Dyami,Brown,WAS,WR,23,-1,2022,1
15293,WR,13.2,13.218,12.76,12.76,NA,9.479000000000001,average,12.2834,1.5837129790463922,0.19265161290322652,10.135200000000001,13.2144,-0.6160999999999994,-0.3547999999999991,-1.1506000000000025,147,116,168,40,8,Rashod,Bateman,BAL,WR,23,-1,2022,1
