id,first_name,last_name,team,position,age,exp,pos,avg_type,points,pos_rank,drop_off,sd_pts,floor,ceiling,V1,tier,season,week,CBS,FantasyPros,FantasySharks,FleaFlicker,NFL,NumberFire,Yahoo,FFToday
506,Cincinnati,Bengals,CIN,DST,NA,50,DST,average,5.897714285714286,15,0.18254761904761896,0.5957308436661962,5.302,6.71,NA,9,2021,1,4.1000000000000005,5.4,2.64,4.800000000000001,6.140000000000001,5.42,5.4,NA
506,Cincinnati,Bengals,CIN,DST,NA,50,DST,average,5.897714285714286,15,0.18254761904761896,0.5957308436661962,5.302,6.71,NA,9,2021,2,NA,5.8,3.74,5.8,5.92,5.68,6.1,NA
506,Cincinnati,Bengals,CIN,DST,NA,50,DST,average,5.897714285714286,15,0.18254761904761896,0.5957308436661962,5.302,6.71,NA,9,2021,3,4.7,4.800000000000001,4.34,4.800000000000001,5.07,5.42,6.1000000000000005,NA
506,Cincinnati,Bengals,CIN,DST,NA,50,DST,average,5.897714285714286,15,0.18254761904761896,0.5957308436661962,5.302,6.71,NA,9,2021,4,7.1,6.9,5.54,6.9,6.97,5.98,7.800000000000001,NA
506,Cincinnati,Bengals,CIN,DST,NA,50,DST,average,5.897714285714286,15,0.18254761904761896,0.5957308436661962,5.302,6.71,NA,9,2021,5,3.9000000000000004,4.8,3.72,4.8,5.75,3.87,5.1,NA
506,Cincinnati,Bengals,CIN,DST,NA,50,DST,average,5.897714285714286,15,0.18254761904761896,0.5957308436661962,5.302,6.71,NA,9,2021,6,6.5,5.4,5.26,5.4,6.1,5.800000000000001,6.8,NA
507,Cleveland,Browns,CLE,DST,NA,50,DST,average,6.007428571428572,13,0.06128571428571483,0.42861904497383896,5.496,6.596,NA,8,2021,1,7.6,4.9,5.86,NA,5.52,5.85,4.5,NA
507,Cleveland,Browns,CLE,DST,NA,50,DST,average,6.007428571428572,13,0.06128571428571483,0.42861904497383896,5.496,6.596,NA,8,2021,2,NA,6.3,5.24,NA,6.9799999999999995,5.9399999999999995,8.1,NA
507,Cleveland,Browns,CLE,DST,NA,50,DST,average,6.007428571428572,13,0.06128571428571483,0.42861904497383896,5.496,6.596,NA,8,2021,3,7.5,6.9,4.94,NA,6.77,5.91,7.4,NA
507,Cleveland,Browns,CLE,DST,NA,50,DST,average,6.007428571428572,13,0.06128571428571483,0.42861904497383896,5.496,6.596,NA,8,2021,4,7.6,6.1000000000000005,4.34,5.9,6.25,5.66,6.4,NA
507,Cleveland,Browns,CLE,DST,NA,50,DST,average,6.007428571428572,13,0.06128571428571483,0.42861904497383896,5.496,6.596,NA,8,2021,5,7.8,6.1,4.64,6.1,6.36,5.38,5.9,NA
507,Cleveland,Browns,CLE,DST,NA,50,DST,average,6.007428571428572,13,0.06128571428571483,0.42861904497383896,5.496,6.596,NA,8,2021,6,6.800000000000001,6,5.4,6,6.12,5.720000000000001,5.9,NA
508,Tennessee,Titans,TEN,DST,NA,50,DST,average,4.919142857142857,27,NA,0.940600112390261,3.54,5.907,NA,13,2021,1,5.5,5.6000000000000005,6.7,NA,6.2,6.8500000000000005,5.9,NA
508,Tennessee,Titans,TEN,DST,NA,50,DST,average,4.919142857142857,27,NA,0.940600112390261,3.54,5.907,NA,13,2021,2,NA,5.7,5,NA,6.63,5.57,4.8,NA
508,Tennessee,Titans,TEN,DST,NA,50,DST,average,4.919142857142857,27,NA,0.940600112390261,3.54,5.907,NA,13,2021,3,5.5,6.1000000000000005,4.6000000000000005,NA,6.54,7.33,6.8,NA
508,Tennessee,Titans,TEN,DST,NA,50,DST,average,4.919142857142857,27,NA,0.940600112390261,3.54,5.907,NA,13,2021,4,7.800000000000001,7.5,6,NA,7.779999999999999,7.04,7.9,NA
508,Tennessee,Titans,TEN,DST,NA,50,DST,average,4.919142857142857,27,NA,0.940600112390261,3.54,5.907,NA,13,2021,5,6.800000000000001,5.9,5.2,NA,6.609999999999999,5.880000000000001,7.2,NA
508,Tennessee,Titans,TEN,DST,NA,50,DST,average,4.919142857142857,27,NA,0.940600112390261,3.54,5.907,NA,13,2021,6,4.1,5.1,3.3000000000000003,5.1,5.91,5.9,5,NA
509,Jacksonville,Jaguars,JAC,DST,NA,50,DST,average,5.576666666666667,19,0.03850000000000087,0.6981594851226093,4.625,6.282500000000001,NA,10,2021,1,5,5.7,4.4,NA,6.42,5.35,6.5,NA
509,Jacksonville,Jaguars,JAC,DST,NA,50,DST,average,5.576666666666667,19,0.03850000000000087,0.6981594851226093,4.625,6.282500000000001,NA,10,2021,2,NA,5,4.3,NA,6.01,5.1,5.7,NA
509,Jacksonville,Jaguars,JAC,DST,NA,50,DST,average,5.576666666666667,19,0.03850000000000087,0.6981594851226093,4.625,6.282500000000001,NA,10,2021,3,5,5.2,4.8999999999999995,NA,5.72,5.35,5.4,NA
509,Jacksonville,Jaguars,JAC,DST,NA,50,DST,average,5.576666666666667,19,0.03850000000000087,0.6981594851226093,4.625,6.282500000000001,NA,10,2021,4,6.4,5.6,5.3,5.6,6.109999999999999,5.51,4.8,NA
509,Jacksonville,Jaguars,JAC,DST,NA,50,DST,average,5.576666666666667,19,0.03850000000000087,0.6981594851226093,4.625,6.282500000000001,NA,10,2021,5,4.7,5.1,3.7,NA,6.01,4.95,5,NA
509,Jacksonville,Jaguars,JAC,DST,NA,50,DST,average,5.576666666666667,19,0.03850000000000087,0.6981594851226093,4.625,6.282500000000001,NA,10,2021,6,6.300000000000001,5.3,4.4,NA,6.23,5.47,5.7,NA
510,Pittsburgh,Steelers,PIT,DST,NA,50,DST,average,6.685428571428572,8,0.3091428571428576,0.2338599499497,6.5,7.007,NA,4,2021,1,10.1,6.300000000000001,4.76,6.9,6.47,5.7,5.3,NA
510,Pittsburgh,Steelers,PIT,DST,NA,50,DST,average,6.685428571428572,8,0.3091428571428576,0.2338599499497,6.5,7.007,NA,4,2021,2,NA,6.2,8.1,6.2,6.44,5.85,6.6,NA
510,Pittsburgh,Steelers,PIT,DST,NA,50,DST,average,6.685428571428572,8,0.3091428571428576,0.2338599499497,6.5,7.007,NA,4,2021,3,9.8,6.800000000000001,8.7,7.1,6.8999999999999995,5.76,6.800000000000001,NA
510,Pittsburgh,Steelers,PIT,DST,NA,50,DST,average,6.685428571428572,8,0.3091428571428576,0.2338599499497,6.5,7.007,NA,4,2021,4,5.2,5.1,4.9,5.1,5.83,3.72,5.4,NA
510,Pittsburgh,Steelers,PIT,DST,NA,50,DST,average,6.685428571428572,8,0.3091428571428576,0.2338599499497,6.5,7.007,NA,4,2021,5,7.2,6.2,6.2,6.2,6.67,5.78,6.9,NA
510,Pittsburgh,Steelers,PIT,DST,NA,50,DST,average,6.685428571428572,8,0.3091428571428576,0.2338599499497,6.5,7.007,NA,4,2021,6,6.5,6.5,6.6,6.5,6.56,7.01,7,NA
511,Denver,Broncos,DEN,DST,NA,50,DST,average,6.123428571428572,11,0.08954761904761899,0.5636108079669365,5.577999999999999,6.95,NA,6,2021,1,8.4,6.7,6,NA,6.77,6.72,6.8,NA
511,Denver,Broncos,DEN,DST,NA,50,DST,average,6.123428571428572,11,0.08954761904761899,0.5636108079669365,5.577999999999999,6.95,NA,6,2021,2,NA,6.9,6.3,6.9,6.52,5.390000000000001,8,NA
511,Denver,Broncos,DEN,DST,NA,50,DST,average,6.123428571428572,11,0.08954761904761899,0.5636108079669365,5.577999999999999,6.95,NA,6,2021,3,9.3,7.7,6.64,NA,7.52,6.8,8.5,NA
511,Denver,Broncos,DEN,DST,NA,50,DST,average,6.123428571428572,11,0.08954761904761899,0.5636108079669365,5.577999999999999,6.95,NA,6,2021,4,7.7,5.9,4.2,5.9,6.85,5.72,6.4,NA
511,Denver,Broncos,DEN,DST,NA,50,DST,average,6.123428571428572,11,0.08954761904761899,0.5636108079669365,5.577999999999999,6.95,NA,6,2021,5,6.2,5.4,5.76,5.4,5.66,5.78,6.6,NA
511,Denver,Broncos,DEN,DST,NA,50,DST,average,6.123428571428572,11,0.08954761904761899,0.5636108079669365,5.577999999999999,6.95,NA,6,2021,6,7.1000000000000005,5.8,5.5,5.8,6.12,5.76,6.6,NA
512,Kansas City,Chiefs,KCC,DST,NA,50,DST,average,6.060333333333333,12,0.059333333333333016,0.555040539059986,5.425,6.7524999999999995,NA,7,2021,1,6.800000000000001,6.2,5.96,5.6,6.3,5.94,5.4,NA
512,Kansas City,Chiefs,KCC,DST,NA,50,DST,average,6.060333333333333,12,0.059333333333333016,0.555040539059986,5.425,6.7524999999999995,NA,7,2021,2,NA,6,5.5200000000000005,5.9,6.84,5.46,6,NA
512,Kansas City,Chiefs,KCC,DST,NA,50,DST,average,6.060333333333333,12,0.059333333333333016,0.555040539059986,5.425,6.7524999999999995,NA,7,2021,3,7,5.6,7.24,5.6,6.29,5.68,6,NA
512,Kansas City,Chiefs,KCC,DST,NA,50,DST,average,6.060333333333333,12,0.059333333333333016,0.555040539059986,5.425,6.7524999999999995,NA,7,2021,4,7.7,6.4,7.04,NA,6.1899999999999995,6.58,5.9,NA
512,Kansas City,Chiefs,KCC,DST,NA,50,DST,average,6.060333333333333,12,0.059333333333333016,0.555040539059986,5.425,6.7524999999999995,NA,7,2021,5,5.6000000000000005,5.6000000000000005,4.680000000000001,5.6000000000000005,6.02,6.07,5.3,NA
512,Kansas City,Chiefs,KCC,DST,NA,50,DST,average,6.060333333333333,12,0.059333333333333016,0.555040539059986,5.425,6.7524999999999995,NA,7,2021,6,6.8,5.800000000000001,5.92,NA,5.8999999999999995,6.609999999999999,5.3,NA
513,Las Vegas,Raiders,LVR,DST,NA,50,DST,average,5.425000000000001,22,0.0033333333333338544,1.3450526631573452,3.8,6.385,NA,11,2021,1,6.7,NA,3,5.4,6.74,NA,5.6,NA
513,Las Vegas,Raiders,LVR,DST,NA,50,DST,average,5.425000000000001,22,0.0033333333333338544,1.3450526631573452,3.8,6.385,NA,11,2021,2,NA,NA,4,5,5.33,NA,5.2,NA
513,Las Vegas,Raiders,LVR,DST,NA,50,DST,average,5.425000000000001,22,0.0033333333333338544,1.3450526631573452,3.8,6.385,NA,11,2021,3,6.9,NA,4.8,5.7,6.51,NA,7,NA
513,Las Vegas,Raiders,LVR,DST,NA,50,DST,average,5.425000000000001,22,0.0033333333333338544,1.3450526631573452,3.8,6.385,NA,11,2021,4,6,NA,3.7800000000000002,5.6000000000000005,6.03,NA,5.6000000000000005,NA
