data_src,id,src_id,player,team,rush_att,rush_yds,rush_tds,rec,rec_yds,rec_tds,site_pts,rec_tgt,games,two_pts,fumbles_lost,pos,bye,na,week_4_opp,week_4_fpts,na1,rank_draft,rank_ppr,na2,na3,na4,misc_td,misc_yd,na5,na6,availability_percent_own,rush_avg,rec_yds_g,rec_avg,site_fppg,tm,...37,rush_09_tds,rush_1019_tds,rush_2029_tds,rush_3039_tds,rush_4049_tds,rush_50_tds,rec_rz_tgt,rec_50_yds,rec_100_yds,kick_ret_yds,...48,site_ci_low,site_ci_high,opp_team,opp_team_rank,ranks_ovr,ranks_pos,...55,fanduel_salary,fanduel_value,draftkings_site_points,yahoo_site_points,yahoo_salary,yahoo_value,return_tds
NumberFire,14083,travis-homer,Travis Homer,SEA,1.2,5.06,0.03,1.1,8.05,0.06,1.86,NA,NA,NA,NA,RB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.08,5.8,SF,#16,270,74,2.38,4700,0.51,2.94,2.38,10,0.24,NA
NumberFire,14804,anthony-mcfarland-jr,Anthony McFarland Jr.,PIT,2.31,9.78,0.05,0.61,4.33,0.03,1.84,NA,NA,NA,NA,RB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.09,5.77,GB,#25,272,75,2.18,4500,0.48,2.49,2.18,10,0.22,NA
NumberFire,NA,demetric-felton,Demetric Felton,CLE,0.75,3.27,0.02,0.99,7.67,0.06,1.55,NA,NA,NA,NA,RB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.29,5.39,MIN,#21,280,76,2.05,4600,0.45,2.55,2.05,12,0.17,NA
NumberFire,12152,tevin-coleman,Tevin Coleman,NYJ,1.77,7.57,0.05,0.38,3.46,0.02,1.51,NA,NA,NA,NA,RB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.31,5.33,TEN,#23,282,77,1.71,4800,0.36,1.9,1.71,10,0.17,NA
NumberFire,NA,kylin-hill,Kylin Hill,GB,2.21,9.29,0.05,0.24,1.62,0.01,1.45,NA,NA,NA,NA,RB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.36,5.26,PIT,#11,284,78,1.55,4600,0.34,1.68,1.55,10,0.16,NA
NumberFire,NA,chris-evans,Chris Evans,CIN,0.92,3.97,0.03,0.75,5.52,0.04,1.38,NA,NA,NA,NA,RB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.4,5.16,JAC,#29,288,79,1.72,4500,0.38,2.11,1.72,10,0.17,NA
NumberFire,11182,rex-burkhead,Rex Burkhead,HOU,0.92,3.87,0.02,0.83,6.62,0.03,1.35,NA,NA,NA,NA,RB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.42,5.12,BUF,#2,290,80,1.74,4500,0.39,2.17,1.74,10,0.17,NA
NumberFire,14331,d-ernest-johnson,D'Ernest Johnson,CLE,1.36,5.93,0.04,0.43,3.27,0.02,1.29,NA,NA,NA,NA,RB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.46,5.04,MIN,#21,292,81,1.48,4500,0.33,1.7,1.48,10,0.15,NA
NumberFire,11761,jerick-mckinnon,Jerick McKinnon,KC,0.59,2.4,0.02,0.82,6.3,0.05,1.27,NA,NA,NA,NA,RB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.48,5.02,PHI,#10,293,82,1.7,4600,0.37,2.11,1.7,10,0.17,NA
NumberFire,14098,damarea-crockett,Damarea Crockett,DEN,1.12,4.76,0.03,0.63,4.39,0.03,1.26,NA,NA,NA,NA,RB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.48,5,BAL,#22,294,83,1.57,4500,0.35,1.9,1.57,10,0.16,NA
