id,first_name,last_name,team,position,age,exp,pos,avg_type,points,pos_rank,drop_off,sd_pts,floor,ceiling,V1,tier,season,week,FantasyPros,FantasySharks,FleaFlicker,NFL,NumberFire,Yahoo,FFToday
14087,Darrell,Henderson,LAR,RB,24,1,RB,average,12.370285714285714,27,0.6639523809523808,1.404492655391127,10.866,14.358600000000001,NA,7,2021,2,14.34,13.780000000000001,14.34,10.536,13.796000000000001,16.630000000000003,18.2
14087,Darrell,Henderson,LAR,RB,24,1,RB,average,12.370285714285714,27,0.6639523809523808,1.404492655391127,10.866,14.358600000000001,NA,7,2021,3,12.170000000000002,11.020000000000001,11.97,12.81,13.982000000000001,14.520000000000001,10.8
14095,Ty,Johnson,NYJ,RB,24,1,RB,average,6.321166666666667,48,0.31466666666666576,1.9749762952163923,4.855,9.26875,NA,10,2021,1,5.5,3.42,NA,6.7410000000000005,8.680000000000001,7.1000000000000005,7.1000000000000005
14095,Ty,Johnson,NYJ,RB,24,1,RB,average,6.321166666666667,48,0.31466666666666576,1.9749762952163923,4.855,9.26875,NA,10,2021,2,6.07,3.62,NA,5.947,6.646000000000001,6.98,6
14095,Ty,Johnson,NYJ,RB,24,1,RB,average,6.321166666666667,48,0.31466666666666576,1.9749762952163923,4.855,9.26875,NA,10,2021,3,6.03,4.74,NA,10.119,6.718,5.28,5.2
14097,Qadree,Ollison,FA,RB,25,1,RB,average,0.5700000000000001,110,0.055749999999999966,NA,0.5700000000000001,0.5700000000000001,NA,16,2021,1,0.5700000000000001,NA,NA,NA,NA,NA,NA
14097,Qadree,Ollison,FA,RB,25,1,RB,average,0.5700000000000001,110,0.055749999999999966,NA,0.5700000000000001,0.5700000000000001,NA,16,2021,2,0.5900000000000001,NA,NA,NA,NA,NA,NA
14097,Qadree,Ollison,FA,RB,25,1,RB,average,0.5700000000000001,110,0.055749999999999966,NA,0.5700000000000001,0.5700000000000001,NA,16,2021,3,0.5700000000000001,NA,NA,NA,NA,NA,NA
14098,Damarea,Crockett,DEN,RB,24,1,RB,average,0.3456666666666667,121,0.05399999999999999,0.24687311180712523,0.12930000000000003,0.5730000000000001,NA,17,2021,1,0.020000000000000004,NA,NA,NA,0.026000000000000002,NA,NA
14098,Damarea,Crockett,DEN,RB,24,1,RB,average,0.3456666666666667,121,0.05399999999999999,0.24687311180712523,0.12930000000000003,0.5730000000000001,NA,17,2021,2,0.55,NA,NA,1.29,NA,NA,NA
14098,Damarea,Crockett,DEN,RB,24,1,RB,average,0.3456666666666667,121,0.05399999999999999,0.24687311180712523,0.12930000000000003,0.5730000000000001,NA,17,2021,3,0.33,0.6000000000000001,NA,NA,0.10700000000000001,NA,NA
14102,DK,Metcalf,SEA,WR,24,1,WR,average,18.081736734693877,11,0.4353413315805561,1.576593299988728,16.157338775510205,19.7444,NA,3,2021,1,NA,17.740000000000002,19.4,16.389,17.823,18.93,20.1
14102,DK,Metcalf,SEA,WR,24,1,WR,average,18.081736734693877,11,0.4353413315805561,1.576593299988728,16.157338775510205,19.7444,NA,3,2021,2,NA,17.94,NA,16.498,19.062,19.459999999999997,21.8
14102,DK,Metcalf,SEA,WR,24,1,WR,average,18.081736734693877,11,0.4353413315805561,1.576593299988728,16.157338775510205,19.7444,NA,3,2021,3,NA,17.24,NA,15.886673469387755,18.722,17.27,20
14104,A.J.,Brown,TEN,WR,24,1,WR,average,17.72898047677764,12,0.39226578824361624,1.784538990944094,15.477500000000001,19.89,NA,3,2021,1,17.29,14,19.09,19.256999999999998,17.749,19.2,20.8
14104,A.J.,Brown,TEN,WR,24,1,WR,average,17.72898047677764,12,0.39226578824361624,1.784538990944094,15.477500000000001,19.89,NA,3,2021,2,18.619999999999997,15.5,NA,18.219,18.218,17.27,22.700000000000003
14104,A.J.,Brown,TEN,WR,24,1,WR,average,17.72898047677764,12,0.39226578824361624,1.784538990944094,15.477500000000001,19.89,NA,3,2021,3,18.66,15.040000000000001,NA,17.076441430332924,17.76,16.79,20.3
14105,Marquise,Brown,BAL,WR,24,1,WR,average,15.38182857142857,25,0.23280788314469092,2.550561796191277,12.195500000000001,18.842,NA,4,2021,1,12.24,12.2,NA,13.489,12.656,13.96,10.7
